type,indicator,classification,notes
domain,renouvellements-cartevitale.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-2022.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netfliix-sms.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,carte-vital-ameli.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,amelie-carte-vitale.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,affiliatemarketingtraining.biz,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,connect-escpace.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,accueil-carte.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vital-renouvellement.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,pass-ameli-secur.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,colis-acheminement.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cartmarcos.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,services-abonnements.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellements-abonnements.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,locale-services.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,informations-services.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,forum-ameli-sante.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-formulaire.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,secu-ameli-fr.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,rubrique-ameli.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,mademande-ameli.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,chargement-assist.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,affiliate-course.biz,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,service-aide-paypal.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvelle-ta-carte.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cartes-renouvellement.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,acheminement-colis.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,abonnements-services.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,espace-infos.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,clientameli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,verifsecure.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,registre-cartevitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,thedeathlyelite.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,loginameli.site,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,kinggamerscommunity.ga,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,infoameli.site,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,rexxar-community.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,killer-aliraq.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,streetworldgaming.ga,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitale-account.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-amazon.org,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,securisation-caisse-epargne.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-assurances.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-accueil.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflix-facture.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,macarteverte-ameli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ma-carte-assure.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,gouv-impot.pro,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,gouv-impot.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,espaceinfo-renouvellement.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,espace-client-ameli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,disneyplus-infos.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,clients-mercedes.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cartesvit-renouvels.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,banque-france.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assures-cartevitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assures-cartesvital.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assistance-assurancemaladie.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-renouvelement.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-info-sante.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-info-eu.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-frcpam.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-cpamfr.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,societegeneral-connexion.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,serviceclient-france.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,service-infosante.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflixsupports.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflixaide.org,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,monportail-client.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,mon-renouvellement-ameli.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,macarte-infoservice.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ma-cartevitale-client.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ma-carte-vitale-connexion.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,lbp-verouille.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,infosecu-vitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,informations-client.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,infomaladie.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,info-particuliers-societegenerale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,clients-orange.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cfeg.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,certicode-authentification.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,certicode-active.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,carte-ameli-france.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assistance-clients.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,votre-assurancemaladie.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,tokens-collab.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-assistance.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,resiliation-abonnement.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-cartevit.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,reactivation-info.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflixaides.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,myassets-collab.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,myasset-collab.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,monassurancemaladie-vital.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,macartevitale-connect.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ma-demandeameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,login-caissepargne.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,important-paypal.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,helpfacturation.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,espaceclient-service.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,espace-nouvellecartevitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,espace-assurancemaladie.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cartevital-sante.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,amelie-identification.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-secure-sante.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,yuio7.xyz,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitale-infosante.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vital-cpam.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,verfication-edf.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,suivi-support.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,securite-cartvit.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-tacarte.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
