"type","indicator","classification","source","notes","references"
"domain","claudfront.net","malware","infoblox","This is a C2 domain that communicates with a malicious toolkit named Decoy Dog. Such domains use custom name servers primarily geolocated in Russia, or leverage free dynamic DNS services. Decoy Dog is a variant of the open source remote access trojan tool called Pupy.","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/dog-hunt-finding-decoy-dog-toolkit-via-anomalous-dns-traffic/"
"domain","allowlisted.net","malware","infoblox","This is a C2 domain that communicates with a malicious toolkit named Decoy Dog. Such domains use custom name servers primarily geolocated in Russia, or leverage free dynamic DNS services. Decoy Dog is a variant of the open source remote access trojan tool called Pupy.","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/dog-hunt-finding-decoy-dog-toolkit-via-anomalous-dns-traffic/"
"domain","atlas-upd.com","malware","infoblox","This is a C2 domain that communicates with a malicious toolkit named Decoy Dog. Such domains use custom name servers primarily geolocated in Russia, or leverage free dynamic DNS services. Decoy Dog is a variant of the open source remote access trojan tool called Pupy.","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/dog-hunt-finding-decoy-dog-toolkit-via-anomalous-dns-traffic/"
"domain","ads-tm-glb.click","malware","infoblox","This is a C2 domain that communicates with a malicious toolkit named Decoy Dog. Such domains use custom name servers primarily geolocated in Russia, or leverage free dynamic DNS services. Decoy Dog is a variant of the open source remote access trojan tool called Pupy.","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/dog-hunt-finding-decoy-dog-toolkit-via-anomalous-dns-traffic/"
"domain","cbox4.ignorelist.com","malware","infoblox","This is a C2 domain that communicates with a malicious toolkit named Decoy Dog. Such domains use custom name servers primarily geolocated in Russia, or leverage free dynamic DNS services. Decoy Dog is a variant of the open source remote access trojan tool called Pupy.","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/dog-hunt-finding-decoy-dog-toolkit-via-anomalous-dns-traffic/"
"domain","hsdps.cc","malware","infoblox","This is a C2 domain that communicates with a malicious toolkit named Decoy Dog. Such domains use custom name servers primarily geolocated in Russia, or leverage free dynamic DNS services. Decoy Dog is a variant of the open source remote access trojan tool called Pupy.","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/dog-hunt-finding-decoy-dog-toolkit-via-anomalous-dns-traffic/"
"domain","claudfront.ml","malware","infoblox","This is a C2 domain that communicates with a malicious toolkit named Decoy Dog. Such domains use custom name servers primarily geolocated in Russia, or leverage free dynamic DNS services. Decoy Dog is a variant of the open source remote access trojan tool called Pupy.","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/dog-hunt-finding-decoy-dog-toolkit-via-anomalous-dns-traffic/"
"ip","5.252.176.63","malware","infoblox","This IP address hosts name servers of C2 domains that communicate with a malicious toolkit named Decoy Dog. Such domains use custom name servers primarily geolocated in Russia, or leverage free dynamic DNS services. Decoy Dog is a variant of the open source remote access trojan tool called Pupy.","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/dog-hunt-finding-decoy-dog-toolkit-via-anomalous-dns-traffic/"
"ip","5.199.173.4","malware","infoblox","This IP address hosts name servers of C2 domains that communicate with a malicious toolkit named Decoy Dog. Such domains use custom name servers primarily geolocated in Russia, or leverage free dynamic DNS services. Decoy Dog is a variant of the open source remote access trojan tool called Pupy.","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/dog-hunt-finding-decoy-dog-toolkit-via-anomalous-dns-traffic/"
"ip","5.252.176.22","malware","infoblox","This IP address hosts name servers of C2 domains that communicate with a malicious toolkit named Decoy Dog. Such domains use custom name servers primarily geolocated in Russia, or leverage free dynamic DNS services. Decoy Dog is a variant of the open source remote access trojan tool called Pupy.","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/dog-hunt-finding-decoy-dog-toolkit-via-anomalous-dns-traffic/"
"ip","83.166.240.52","malware","infoblox","This IP address hosts name servers of C2 domains that communicate with a malicious toolkit named Decoy Dog. Such domains use custom name servers primarily geolocated in Russia, or leverage free dynamic DNS services. Decoy Dog is a variant of the open source remote access trojan tool called Pupy.","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/dog-hunt-finding-decoy-dog-toolkit-via-anomalous-dns-traffic/"
