"type","indicator","classification","source","notes","references"
"domain","postofficen-ing.top","suspicious","infoblox","Domain is a lookalike to ing.nl and has suspicious registration, behavior, or associations with known threats. The creation or first seen date is 2023-08-12.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","uspspackets.com","malicious","infoblox","Domain is part of a cluster of 12 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-04-17. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","uspost.quest","malicious","infoblox","Domain is a typosquat to auspost.com.au and likely used for phishing. The creation date is 2023-09-26.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","gwz-postal.top","malicious","infoblox","Domain is a lookalike to post.ch and likely used for phishing. The creation or first seen date is 2023-09-20.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usyxqya.top","malicious","infoblox","Emergent domain recently observed by Infoblox found to have suspicious registration, behavior, or common associations with known threats. Some of the domain's characteristics are: domain created on 2023-10-16. Using TLD that has high risk of being abused for hosting malicious indicators per Infoblox TLD reputation score.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","pliiaol-usps.shop","malicious","infoblox","Domain is a lookalike to usps.com and likely used for phishing. The creation or first seen date is 2023-10-16.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackhke.top","malicious","infoblox","Domain is part of a cluster of 23 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-18. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususbuhi.top","malicious","infoblox","Domain is part of a cluster of 13 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-18. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususnida.top","malicious","infoblox","Domain is part of a cluster of 13 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-18. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usushuji.top","malicious","infoblox","Domain is part of a cluster of 13 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-18. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
