"type","indicator","classification","source","notes","references"
"domain","womanflirting.life","malicious","infoblox","A domain used by VexTrio's TDS that shows a keyword label related to dating.","https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program"
"domain","bonustop-price.life","malicious","infoblox","A domain used by VexTrio's TDS that shows a keyword label related to awards.","https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program"
"domain","allprizeshub.life","malicious","infoblox","A domain used by VexTrio's TDS that shows a keyword label related to awards.","https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program"
"domain","greatbonushere.top","malicious","infoblox","A domain used by VexTrio's TDS that shows a keyword label related to awards.","https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program"
"domain","prizes-topwin.life","malicious","infoblox","A domain used by VexTrio's TDS that shows a keyword label related to awards.","https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program"
"domain","a.crystalcraft.top","malicious","infoblox","A VexTrio TDS domain that is primarily used in VexTrio robot CAPTCHA campaigns.","https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program"
"domain","logsmetrics.com","malicious","infoblox","A domain assigned to a DNS-based TDS server that is operated by VexTrio.","https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program"
"domain","webdatatrace.com","malicious","infoblox","VexTrio's DNS-based TDS servers redirect compromised web traffic to this HTTP-based TDS server.","https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program"
"domain","marybskitchen.com","malicious","infoblox","A domain assigned to a TDS server operated by ClearFake actors.","https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program"
"domain","prom-gg.com","malicious","infoblox","ClearFake redirected victims to this gambling landing webpage.","https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program"
"domain","go.clicksme.org","malicious","infoblox","ClearFake redirected victims to this gambling landing webpage.","https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program"
"domain","machinetext.org","malicious","infoblox","A domain assigned to a TDS server operated by SocGholish actors.","https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program"
