type,indicator,classification,detected_date
domain,5.2.1.6.3.0.0.0.7.4.0.1.0.0.2.ip6.arpa,malicious,2026-02-25
domain,1.9.5.0.9.1.0.0.0.7.4.0.1.0.0.2.ip6.arpa,malicious,2026-02-25
domain,8.1.9.5.0.9.1.0.0.0.7.4.0.1.0.0.2.ip6.arpa,malicious,2026-02-25
domain,9.a.d.0.6.3.0.0.0.7.4.0.1.0.0.2.ip6.arpa,malicious,2026-02-25
domain,d.d.e.0.6.3.0.0.0.7.4.0.1.0.0.2.ip6.arpa,malicious,2026-02-25
domain,2ly.link,malicious,2024-06-12
domain,30iptv.net,malicious,2026-02-24
domain,3dimensionality.com,malicious,2026-02-24
domain,99shoppro.com,malicious,2026-02-24
domain,a4vct8trk.com,malicious,2024-10-23
domain,aaflnow.com,malicious,2023-04-22
domain,abalagan.com,malicious,2024-12-05
domain,abditosculpa.shop,malicious,2023-12-02
domain,absentglare.com,malicious,2024-07-23
domain,accessoriesforbikers.motorcycles,malicious,2025-09-26
domain,acebutololastacidae.art,malicious,2025-08-01
domain,acgqntrk.com,malicious,2024-09-14
domain,actinismloeil.sbs,malicious,2025-12-25
domain,adanalyticshub.com,malicious,2026-02-24
domain,adfixfusion.com,malicious,2025-09-15
domain,adgravityflow.com,malicious,2024-08-29
domain,adhesiveatypical.yachts,malicious,2025-12-29
domain,adjunctsim.sbs,malicious,2026-02-24
domain,adoptionastronauts.org.uk,malicious,2026-02-24
domain,adsanalyticas.com,malicious,2026-02-24
domain,advfn8trk.com,malicious,2025-10-24
domain,aetherionrewards.com,malicious,2026-01-08
domain,agooodtimenotalongtime.com,malicious,2026-02-24
domain,agrihat.sbs,malicious,2026-02-24
domain,aiprocessonline.xyz,malicious,2026-02-24
domain,airnue.com,malicious,2024-09-19
domain,akebt1trk.com,malicious,2024-12-05
domain,alazago.com,malicious,2026-02-24
domain,alkamaratime.site,malicious,2024-02-24
domain,amarr-las.pro,malicious,2026-02-24
domain,americanfishingspots.fun,malicious,2025-12-05
domain,americanshoestore.lat,malicious,2025-03-06
domain,americanstoreshop.sbs,malicious,2026-02-24
domain,amorlamor.digital,malicious,2026-02-24
domain,analytics.warszawa.pl,malicious,2026-02-24
domain,anfop8trk.com,malicious,2024-07-10
domain,angiotelectasiascholastic.yachts,malicious,2026-02-24
domain,annualreview.guru,malicious,2024-06-23
domain,answerandfindout.info,malicious,2025-08-11
domain,antiviralsoftwares.store,malicious,2026-01-28
domain,apart-early-cold-spirit.run,malicious,2025-12-05
domain,apocalypto.org.uk,malicious,2026-02-24
domain,apodeixisstationary.space,malicious,2026-02-24
domain,appointmentdomain.com,malicious,2024-12-31
domain,aprelniks.world,malicious,2026-02-24
domain,aqslg7trk.com,malicious,2025-03-02
domain,aquaharmony101.com,malicious,2026-02-24
domain,arbetsformedling.website,malicious,2023-11-10
domain,arcadaboat.com,malicious,2026-02-24
domain,arizonaloud.de,malicious,2026-02-24
domain,artificialinteke.com,malicious,2026-02-24
domain,arwot1trk.com,malicious,2024-10-23
domain,assocmicroscope.com,malicious,2022-09-13
domain,assurance-multirisque-pro.top,malicious,2024-04-30
domain,astralevo.com,malicious,2025-12-04
domain,astralpulse.su,malicious,2025-05-25
domain,astrostracker.com,malicious,2024-11-21
domain,atlilacstreet.com,malicious,2022-10-04
domain,aurf.eu,suspicious,2025-12-24
domain,averconciliatory.shop,malicious,2025-12-09
domain,azbucir.com,malicious,2025-05-02
domain,baratonu.com,malicious,2024-10-26
domain,barbitaluninspired.autos,malicious,2025-12-09
domain,baremultihost.com,suspicious,2025-07-01
domain,bargainbonanzastore.com,malicious,2026-02-24
domain,bargainhunterparadise.com,malicious,2025-11-21
domain,bariepase.website,malicious,2026-02-24
domain,bassindifferently.lat,malicious,2025-08-13
domain,bastidi.com,malicious,2025-10-31
domain,bcmgj.cc,suspicious,2025-06-24
domain,beastdays.icu,malicious,2026-02-24
domain,bedrolljunius.sbs,suspicious,2024-10-30
domain,beeryduma.beauty,malicious,2025-12-02
domain,bemobtrcks.com,malicious,2024-01-13
domain,bendermetals.com,malicious,2026-02-24
domain,bestbeachproducts.cc,malicious,2025-11-19
domain,bestdealsfortracking.com,malicious,2025-01-17
domain,bestfreesurvey.com,malicious,2024-11-02
domain,bestqualityproducts.skin,malicious,2025-12-09
domain,bestrewardnet.com,malicious,2025-02-22
domain,bigideaq.com,malicious,2025-01-24
domain,binbager.com,malicious,2026-02-24
domain,blinkygadgets.com,malicious,2026-02-24
domain,blossomforbidden.sbs,malicious,2025-02-06
domain,bluenature101.com,malicious,2026-02-24
domain,blurouteink.com,malicious,2025-03-11
domain,bndsr6sdtrk.com,malicious,2026-02-24
domain,bokatrad.de,malicious,2025-12-16
domain,bonechainstop.shop,malicious,2025-12-09
domain,bonezeym.store,malicious,2026-01-22
domain,bonusfeedback.guru,malicious,2026-02-24
domain,booliver.com,malicious,2026-02-24
domain,bootsinthesand.shop,malicious,2024-11-03
domain,boterk.com,malicious,2026-02-24
domain,boulderjupe.info,malicious,2025-09-10
domain,bpsystemdgtl.com,malicious,2025-11-02
domain,bqiurr.com,malicious,2025-07-20
domain,brandsbrazil.com,suspicious,2025-04-30
domain,brightflow.st,malicious,2025-08-24
domain,brightsideclub.com,malicious,2024-01-18
domain,brilliantlystays.world,malicious,2026-02-24
domain,briope.com,malicious,2026-02-24
domain,browse4you.com,malicious,2024-06-26
domain,brushaskcor.com,malicious,2026-02-24
domain,bschaffercancer.com,malicious,2026-02-24
domain,bujravesen.website,malicious,2026-02-24
domain,bukreap.com,malicious,2025-04-24
domain,buypowahh.net,malicious,2026-02-24
domain,buysalesclub.com,malicious,2024-07-24
domain,buyviralvideos.shop,malicious,2025-07-30
domain,buyvistacenter.com,malicious,2026-02-24
domain,buywithdiscount.store,malicious,2026-02-24
domain,cablecomparison.shop,malicious,2025-02-09
domain,cablecomparison.shop,malicious,2025-02-09
domain,cagisogrenciyurdu.com,malicious,2026-02-24
domain,cantbeattheseprices.pro,malicious,2026-02-24
domain,canyonmealybug.makeup,malicious,2026-02-07
domain,capitalismsobriety.xyz,malicious,2026-02-24
domain,carinfopoint.info,malicious,2025-11-19
domain,caseofwork.com,malicious,2025-05-08
domain,cashableolympia.autos,malicious,2024-09-27
domain,cashinsightnow.com,malicious,2026-02-24
domain,cassettestoreday22.com,malicious,2024-10-18
domain,castolorina.com,malicious,2025-10-09
domain,catalystserverdomain.com,malicious,2026-02-24
domain,catasai.com,malicious,2026-02-24
domain,catrunlu.com,malicious,2025-01-23
domain,cdexha.de,malicious,2026-02-24
domain,celvoriaawardsfya.com,malicious,2026-02-24
domain,cesarsgadgetinis.info,malicious,2025-07-13
domain,chalybeateicky.sbs,malicious,2025-03-03
domain,championcore.st,malicious,2025-01-14
domain,championhealthyfoods.com,malicious,2026-02-24
domain,charundiversified.sbs,malicious,2025-11-29
domain,chclatesdabst.com,malicious,2025-12-12
domain,cheapbonanzaoutlet.com,malicious,2026-02-24
domain,cheapbusinesscards.cc,malicious,2025-10-16
domain,cheapperfume.shop,malicious,2025-12-17
domain,cheapperfume.shop,malicious,2025-12-17
domain,cheapsol.store,malicious,2026-01-16
domain,cheaptriptomykonos.store,malicious,2025-12-18
