type,indicator,classification,detected_date
domain,renouvellements-cartevitale[.]info,phishing,2022-11-02
domain,renouvellement-2022[.]info,phishing,2022-11-02
domain,netfliix-sms[.]com,phishing,2022-08-25
domain,carte-vital-ameli[.]info,phishing,2022-11-02
domain,amelie-carte-vitale[.]info,phishing,2022-09-07
domain,affiliatemarketingtraining[.]biz,phishing,2022-11-02
domain,connect-escpace[.]info,phishing,2022-11-02
domain,accueil-carte[.]info,phishing,2022-11-02
domain,vital-renouvellement[.]info,phishing,2022-09-20
domain,pass-ameli-secur[.]com,phishing,2022-11-02
domain,colis-acheminement[.]com,phishing,2022-11-02
domain,cartmarcos[.]com,phishing,2022-11-02
domain,services-abonnements[.]info,phishing,2022-11-02
domain,renouvellements-abonnements[.]info,phishing,2022-11-02
domain,locale-services[.]info,phishing,2022-11-02
domain,informations-services[.]info,phishing,2022-11-02
domain,forum-ameli-sante[.]info,phishing,2022-08-25
domain,ameli-formulaire[.]info,phishing,2022-09-10
domain,secu-ameli-fr[.]info,phishing,2022-11-02
domain,rubrique-ameli[.]info,phishing,2022-11-02
domain,mademande-ameli[.]info,phishing,2022-09-15
domain,chargement-assist[.]info,phishing,2022-11-02
domain,affiliate-course[.]biz,phishing,2022-11-02
domain,service-aide-paypal[.]fr,phishing,2022-08-26
domain,renouvelle-ta-carte[.]com,phishing,2022-11-02
domain,cartes-renouvellement[.]info,phishing,2022-11-02
domain,acheminement-colis[.]com,phishing,2022-10-05
domain,abonnements-services[.]info,phishing,2022-11-02
domain,espace-infos[.]com,phishing,2022-11-02
domain,clientameli[.]com,phishing,2022-11-02
domain,verifsecure[.]fr,phishing,2022-11-02
domain,registre-cartevitale[.]fr,phishing,2022-11-02
domain,thedeathlyelite[.]com,phishing,2022-11-02
domain,loginameli[.]site,phishing,2022-11-02
domain,kinggamerscommunity[.]ga,phishing,2022-11-02
domain,infoameli[.]site,phishing,2022-11-02
domain,rexxar-community[.]fr,phishing,2022-11-02
domain,killer-aliraq[.]com,phishing,2022-11-02
domain,streetworldgaming[.]ga,phishing,2022-11-02
domain,vitale-account[.]info,phishing,2022-09-20
domain,support-amazon[.]org,phishing,2022-09-12
domain,securisation-caisse-epargne[.]fr,phishing,2022-11-02
domain,renouvellement-assurances[.]com,phishing,2022-11-02
domain,renouvellement-accueil[.]com,phishing,2022-10-20
domain,netflix-facture[.]net,phishing,2022-08-17
domain,macarteverte-ameli[.]com,phishing,2022-09-20
domain,ma-carte-assure[.]com,phishing,2022-11-02
domain,gouv-impot[.]pro,phishing,2022-11-02
domain,gouv-impot[.]info,phishing,2022-08-25
domain,espaceinfo-renouvellement[.]info,phishing,2022-09-20
domain,espace-client-ameli[.]com,phishing,2022-11-02
domain,disneyplus-infos[.]com,phishing,2022-09-20
domain,clients-mercedes[.]fr,phishing,2022-11-02
domain,cartesvit-renouvels[.]com,phishing,2022-09-20
domain,banque-france[.]info,phishing,2022-08-27
domain,assures-cartevitale[.]fr,phishing,2022-11-02
