type,indicator,classification,detected_date
domain,15thcmt[.]xyz,malicious,2023-09-17
domain,585858[.]cyou,malicious,2024-12-15
domain,999[.]brvbex[.]cc,malicious,2025-11-04
domain,abbic[.]xyz,malicious,2024-04-29
domain,abfigo[.]cc,malicious,2025-10-28
domain,acevn[.]top,malicious,2025-01-31
domain,aceyi[.]top,malicious,2025-07-07
domain,aceyn[.]top,malicious,2024-10-09
domain,acm5[.]xyz,malicious,2024-02-23
domain,acmh7[.]xyz,malicious,2024-01-21
domain,adind[.]top,malicious,2024-11-16
domain,adminsunat-pe[.]com,malicious,2025-07-30
domain,adml[.]top,suspicious,2024-10-30
domain,ador[.]siynn[.]top,malicious,2026-01-02
domain,adphli[.]top,malicious,2025-03-29
domain,aeondkj[.]com,malicious,2023-09-17
domain,aero[.]axsgo[.]cc,malicious,2025-11-04
domain,aero[.]oszgov[.]cc,malicious,2025-11-04
domain,aero[.]ozgo[.]cc,malicious,2025-11-04
domain,aeuzgo[.]cc,malicious,2025-12-21
domain,afaralt[.]top,malicious,2025-03-29
domain,agego[.]cc,malicious,2025-07-14
domain,ahngo[.]cc,malicious,2025-05-12
domain,ahumobile-2525[.]com,malicious,2025-11-07
domain,ahumobile-2526[.]com,malicious,2025-11-07
domain,ahuonline[.]online,malicious,2025-09-12
domain,aiego[.]cc,malicious,2025-09-09
domain,airline[.]lskid[.]com,malicious,2025-11-04
domain,airpeace[.]aggu[.]cc,malicious,2025-11-04
domain,airth[.]top,malicious,2025-03-30
domain,airways[.]ajgo[.]cc,malicious,2025-11-04
domain,ajal[.]top,malicious,2025-10-15
domain,ajdgakc[.]top,malicious,2024-09-05
domain,ajhgo[.]com,malicious,2025-11-22
domain,aktivasidataktp[.]com,malicious,2025-11-04
domain,aktivasiikd[.]com,malicious,2025-01-17
domain,alafrica[.]xyz,malicious,2025-01-01
domain,alafrt[.]top,malicious,2025-03-23
domain,alblu[.]xyz,malicious,2024-07-01
domain,alegud[.]top,malicious,2025-05-23
domain,aljdd[.]top,malicious,2025-08-07
domain,aljdyn[.]top,malicious,2025-10-08
domain,almco[.]top,malicious,2025-03-15
domain,almlu[.]top,malicious,2025-03-29
domain,almxi[.]top,malicious,2025-03-29
domain,alnf[.]top,malicious,2023-02-05
domain,alnfei[.]vip,malicious,2024-10-06
domain,alperl[.]top,malicious,2025-10-04
domain,alperu[.]top,malicious,2025-08-06
domain,alyn[.]top,malicious,2024-12-08
domain,alynjd[.]top,malicious,2025-09-05
domain,anbgo[.]cc,malicious,2025-08-28
domain,aneygo[.]cc,malicious,2025-12-11
domain,aplikasicoretax[.]com,malicious,2026-02-21
domain,app-mysss[.]com,malicious,2025-06-25
domain,applicationmyssapp[.]com,malicious,2025-11-25
domain,aqego[.]cc,malicious,2025-10-22
domain,asnxgo[.]com,malicious,2025-10-11
domain,auehgo[.]cc,malicious,2025-11-09
domain,aueygo[.]cc,malicious,2025-10-28
domain,auygo[.]cc,malicious,2025-11-26
domain,auyrgo[.]cc,malicious,2025-11-21
domain,ayoregistrasi[.]com,malicious,2025-03-13
domain,azulsolidariobr[.]com,malicious,2025-05-16
domain,bestjsonformatter[.]com,malicious,2025-11-04
domain,bgdvcdtvn[.]cc,malicious,2025-03-08
domain,bgdvctvn[.]cc,malicious,2025-03-08
domain,bkapkk[.]vip,suspicious,2024-12-06
domain,bogiaoducdaotao[.]cc,malicious,2025-03-07
domain,boyte[.]shegov[.]cc,malicious,2025-11-04
domain,bpjs[.]ksvgo[.]cc,malicious,2025-11-04
domain,bpjsgoid[.]cc,malicious,2025-04-26
domain,bpjsgoid[.]com,malicious,2025-04-26
domain,bpjsgoid[.]online,malicious,2025-04-28
domain,busqueda-cedula-registraduria[.]com,malicious,2025-11-04
domain,bvrgo[.]cc,malicious,2025-11-20
domain,bxafczoyr[.]cc,malicious,2025-01-15
domain,bxtjs[.]top,malicious,2025-10-29
domain,cac-gov[.]vip,malicious,2025-03-19
domain,cacaportal[.]org,malicious,2025-05-20
domain,cacportal[.]net,malicious,2025-05-23
domain,cacportal[.]org,malicious,2025-06-22
domain,cacportalapp[.]com,malicious,2025-06-23
domain,cajamar[.]playstore-web[.]com,malicious,2025-11-04
domain,caxgo[.]cc,malicious,2025-06-12
domain,ccdigital-registraduria-gov[.]com,malicious,2025-08-27
domain,cedula-registraduria-digital[.]com,malicious,2025-08-28
domain,cedula-registraduria-gov[.]com,malicious,2025-08-27
domain,cedula-registraduria-gov[.]net,malicious,2025-09-05
domain,cedula-registraduria-gov[.]org,malicious,2025-09-06
domain,cedula-registraduria-serviciol[.]com,malicious,2025-08-28
domain,cedula-registraduria-sistemal[.]com,malicious,2025-08-28
domain,cfphi[.]cc,malicious,2026-01-22
domain,cgd[.]dkhth[.]com,malicious,2025-11-04
domain,chequeo-cedula-registraduria[.]com,malicious,2025-09-26
domain,chruth[.]cc,malicious,2025-02-06
domain,codeamaze[.]com,malicious,2025-11-04
domain,consulta-cedula-registraduria[.]com,malicious,2025-09-09
domain,consultaregistraduria[.]com,malicious,2025-09-12
domain,contenidosunat-pe[.]com,malicious,2025-07-30
domain,control-cedula-registraduria[.]com,malicious,2025-09-18
domain,cophi[.]cc,malicious,2026-01-12
domain,core-taxdjp[.]com,malicious,2026-04-02
domain,coretax-pajak[.]online,malicious,2025-08-22
domain,coretax-pajakonline[.]com,malicious,2025-08-26
domain,coretax-peralihan[.]com,malicious,2025-12-01
domain,coretax-registrasi[.]com,malicious,2025-12-23
domain,coretax-sinkronisasi[.]com,malicious,2025-12-01
domain,coretaxdata[.]com,malicious,2026-01-31
domain,coretaxlayanan[.]com,malicious,2025-08-01
domain,coretaxonline-pajak[.]com,malicious,2025-07-11
domain,coretaxpelayan[.]com,malicious,2025-08-02
domain,coretaxpelayananonline[.]com,malicious,2025-09-14
domain,coretaxperalihan[.]com,malicious,2025-12-09
domain,coretaxperalihandata[.]com,malicious,2026-02-21
domain,coretaxregister[.]com,malicious,2026-01-31
domain,covph[.]cc,malicious,2026-02-13
domain,cpfreceitafederal[.]site,malicious,2025-11-12
domain,cpfreceitafederalonline[.]com,malicious,2025-11-12
domain,crgoe[.]xyz,malicious,2025-12-02
domain,crxind[.]com,malicious,2025-12-05
domain,csgtvnetraffic[.]com,malicious,2025-01-14
domain,cskhdienluc[.]com,malicious,2025-12-09
domain,cskhevnspc[.]com,malicious,2025-05-04
domain,cskhspcevn[.]com,malicious,2025-05-04
domain,ctoyn[.]top,malicious,2025-04-16
domain,ctyn[.]xyz,suspicious,2024-08-09
domain,cxhjjgs[.]fit,malicious,2025-12-02
domain,d5cc5[.]xyz,malicious,2024-06-09
domain,datadigitalktp[.]com,malicious,2025-10-03
domain,datadukcapil[.]com,malicious,2025-11-19
domain,dataktp[.]com,malicious,2025-06-12
domain,dataregisktp[.]com,malicious,2025-11-04
domain,dcpmysss[.]com,malicious,2025-11-29
domain,dichvucong[.]khaibaothongtincutru[.]com,malicious,2025-11-04
domain,dichvucongvn[.]cc,malicious,2025-08-16
domain,dienlucvn[.]com,malicious,2025-05-05
domain,digitaldataktp[.]com,malicious,2025-09-13
domain,digitalikd[.]com,malicious,2025-03-08
domain,digitalktp[.]com,malicious,2025-01-17
domain,digitalktp[.]online,malicious,2025-06-22
domain,digitalktpverifikasi[.]com,malicious,2025-10-10
domain,disdukcapilktp[.]net,malicious,2025-09-09
domain,disdukcapilktp[.]online,malicious,2025-07-28
domain,disdukcapilonline[.]com,malicious,2025-06-07
domain,djp-idnom[.]cc,malicious,2024-08-15
domain,djp-pajakgoid[.]com,malicious,2025-03-16
domain,djp[.]abrgo[.]cc,malicious,2025-11-04
domain,djp[.]bycgo[.]com,malicious,2025-11-04
domain,djp[.]dhuind[.]cc,malicious,2025-11-04
domain,djp[.]dvhid[.]cc,malicious,2025-11-04
domain,djp[.]idnid[.]cc,malicious,2025-11-04
domain,djp[.]indcz[.]com,malicious,2025-11-04
domain,djp[.]indgoid[.]com,malicious,2025-11-04
domain,djp[.]indox[.]cc,malicious,2025-11-04
domain,djp[.]indpajak[.]com,malicious,2025-11-04
domain,djp[.]lvnid[.]cc,malicious,2025-11-04
domain,djp[.]nagkind[.]com,malicious,2025-11-04
domain,djp[.]nvrind[.]cc,malicious,2025-11-04
domain,djp[.]otuind[.]cc,malicious,2025-11-04
domain,djp[.]shnind[.]com,malicious,2025-11-04
domain,djp[.]skjgo[.]com,malicious,2025-11-04
domain,djpcoretax[.]com,malicious,2026-02-21
domain,djpgoid[.]com,malicious,2025-03-25
domain,djpline-go[.]com,malicious,2024-09-11
domain,djpmpajakggid[.]com,malicious,2025-03-18
domain,djpmpajakgoid[.]com,malicious,2025-03-16
domain,djpmpajakogid[.]com,malicious,2025-03-19
domain,djponline-pajakgo[.]com,malicious,2024-09-26
domain,djponline[.]pajakgoid[.]com,malicious,2025-11-04
domain,djponlinecoretax[.]com,malicious,2026-03-26
domain,djponlinepajak-goid[.]com,malicious,2024-11-14
domain,djponlinepajakcoid[.]com,malicious,2025-03-25
domain,djponlinepajakgo[.]com,malicious,2025-01-09
domain,djponlinepajakgoid[.]com,malicious,2025-03-25
domain,djponlinepajakid[.]com,malicious,2025-03-25
domain,djponlinepajakidgo[.]com,malicious,2025-03-25
domain,djponlinkpajakgoid[.]com,malicious,2025-03-13
domain,djppajak-goid[.]com,malicious,2025-03-16
domain,djppajakegoid[.]com,malicious,2025-04-18
domain,djppajakgo-id[.]com,malicious,2025-03-16
domain,djppajakgoid[.]com,malicious,2025-01-09
domain,djppajakigoid[.]com,malicious,2025-04-06
domain,djppajakjgoid[.]com,malicious,2025-04-18
domain,dkgov[.]cc,malicious,2025-04-25
domain,dkhth[.]com,malicious,2025-05-04
domain,dkpgo[.]cc,malicious,2025-07-06
domain,dkzgo[.]cc,malicious,2025-05-03
domain,dnvcskh[.]cc,malicious,2025-04-02
domain,dol[.]slzgo[.]cc,malicious,2025-11-04
domain,doodlenerd[.]com,legitimate,2025-11-04
domain,dps-vipthai[.]com,malicious,2024-11-14
domain,dps[.]atfeu[.]cc,malicious,2025-11-04
domain,dps[.]cbvth[.]com,malicious,2025-11-04
domain,dps[.]djgvtn[.]com,malicious,2025-11-04
domain,dps[.]dkjth[.]com,malicious,2025-11-04
domain,dps[.]nvzth[.]com,malicious,2025-11-04
domain,dps[.]qzsgo[.]com,malicious,2025-11-04
domain,dps[.]wgoth[.]cc,malicious,2025-11-04
domain,dpstha-vip[.]com,malicious,2024-11-15
domain,dpstha[.]com,malicious,2025-03-25
domain,dpsthai-vip[.]com,malicious,2024-11-16
domain,dpsthail[.]com,malicious,2025-05-04
domain,dpsthailand[.]com,malicious,2024-11-17
domain,dpsthailand[.]net,malicious,2024-11-17
domain,dpsthal[.]com,malicious,2025-03-25
domain,drpgovernmentlk[.]com,malicious,2026-04-05
domain,drpgovlk[.]com,malicious,2026-04-05
domain,ds[.]murata[.]co[.]jp,legitimate,2025-11-04
domain,dstv[.]srgo[.]cc,malicious,2025-11-04
domain,dukcapil-goid[.]com,malicious,2025-04-03
domain,dukcapil[.]gunungkidulkabgo[.]com,malicious,2025-11-04
domain,dukcapildigital[.]online,malicious,2025-09-09
domain,dukcapilgoktp[.]com,malicious,2025-09-09
domain,dukcapilktp[.]net,malicious,2025-07-27
domain,dukcapilktp[.]online,malicious,2025-07-28
domain,dukcapilonlinego[.]com,malicious,2025-12-15
domain,dvccc[.]cc,malicious,2025-08-20
domain,dvcdvc[.]cc,malicious,2025-08-21
domain,dvcgov[.]cc,malicious,2025-08-18
domain,dvcgovcc[.]cc,malicious,2025-08-20
domain,dvcgovvn[.]cc,malicious,2025-08-18
domain,dvcvncc[.]cc,malicious,2025-08-21
domain,dvcvnvn[.]cc,malicious,2025-08-16
domain,eclx[.]xyz,suspicious,2024-09-16
domain,egov[.]ahgov[.]cc,malicious,2025-11-04
domain,egov[.]kzxgo[.]cc,malicious,2025-11-04
domain,egov[.]qdigo[.]cc,malicious,2025-11-04
domain,egov[.]udvgo[.]cc,malicious,2025-11-04
domain,egovregistrar[.]com,malicious,2025-03-23
domain,egovregistrar[.]net,malicious,2025-03-25
domain,egovregistrar[.]org,malicious,2025-03-25
domain,egual[.]top,malicious,2025-03-30
domain,ehugo[.]cc,malicious,2025-08-30
domain,emirates[.]acxgo[.]cc,malicious,2025-11-04
domain,emirates[.]vsago[.]cc,malicious,2025-11-04
domain,estado-cedula-registraduria[.]com,malicious,2025-09-09
domain,estadoregistraduria[.]com,malicious,2025-09-12
domain,ethiopian[.]snivgo[.]cc,malicious,2025-11-04
domain,evngov[.]cc,malicious,2025-07-24
domain,exgo[.]cc,malicious,2025-12-07
domain,fagaq[.]xyz,malicious,2024-06-17
domain,fahaq[.]xyz,malicious,2024-06-17
domain,fbgo[.]cc,malicious,2026-01-22
domain,fdgo[.]cc,malicious,2026-02-07
domain,fhaka-yd[.]top,malicious,2024-09-07
domain,fhaka[.]xyz,malicious,2024-06-14
domain,firs-gov[.]com,malicious,2025-03-23
domain,firs-gov[.]info,malicious,2025-04-28
domain,firs-govng[.]cc,malicious,2025-04-17
domain,firs-govng[.]com,malicious,2025-04-17
domain,firsgo[.]com,malicious,2025-04-29
domain,firsgov[.]cc,malicious,2025-04-26
domain,fkgo[.]cc,malicious,2026-01-02
domain,flaoxth[.]top,malicious,2025-09-03
domain,flash[.]cvth[.]cc,malicious,2025-11-04
domain,flgo[.]cc,malicious,2026-01-02
domain,flxth[.]top,malicious,2025-08-28
domain,flyind[.]cc,malicious,2025-12-10
domain,flysaa[.]bmogo[.]cc,malicious,2025-11-04
domain,flysaa[.]bvcgo[.]cc,malicious,2025-11-04
domain,flysaa[.]ovngo[.]cc,malicious,2025-11-04
domain,flysaa[.]rhggo[.]cc,malicious,2025-11-04
domain,flysaa[.]svzgo[.]cc,malicious,2025-11-04
domain,flysaa[.]xnsgo[.]cc,malicious,2025-11-04
domain,fpgo[.]cc,malicious,2026-01-22
domain,fsgo[.]cc,malicious,2024-06-03
domain,fzhou[.]top,malicious,2024-12-08
domain,fzwxs[.]top,malicious,2025-11-11
domain,fzwxt[.]top,malicious,2025-10-08
domain,fzwxtw[.]top,malicious,2025-03-29
domain,gfj-tst[.]top,malicious,2024-11-26
domain,godisdukcapil[.]net,malicious,2025-03-20
domain,goldfull[.]cc,malicious,2025-12-02
domain,googleplay[.]djppajaekgoid[.]com,malicious,2025-11-04
domain,googleplay[.]djppajakgoid[.]com,malicious,2025-11-04
domain,gorco[.]cc,malicious,2026-02-23
domain,govco[.]cc,malicious,2024-08-23
domain,govfirs[.]cc,malicious,2025-04-30
domain,govfirs[.]com,malicious,2025-04-29
domain,govfirs[.]info,malicious,2025-05-02
domain,govph[.]cc,malicious,2025-12-14
domain,gplaymysss[.]com,malicious,2025-09-26
domain,gsbzyy[.]com,malicious,2025-12-02
domain,gunungkidulkabgo[.]com,malicious,2025-07-13
domain,hajipintar[.]com,suspicious,2025-03-25
domain,hawa[.]suygo[.]cc,malicious,2025-11-04
domain,hbbic[.]xyz,malicious,2024-04-28
domain,hh4466[.]cc,malicious,2025-02-15
domain,hipajak-googleplay[.]com,malicious,2024-11-21
domain,hipajak-googleplay[.]info,malicious,2024-11-21
domain,hipajak[.]indmb[.]cc,malicious,2025-11-04
domain,hipajak[.]ovrind[.]com,malicious,2025-11-04
domain,hkar7[.]top,malicious,2024-04-09
domain,httpregistraduria-gov[.]com,malicious,2025-08-29
domain,huvnz[.]top,malicious,2025-05-24
domain,huynz[.]top,malicious,2025-05-24
domain,huzvn[.]top,malicious,2025-02-23
domain,huzyn[.]top,malicious,2025-02-26
domain,hwgej[.]xyz,malicious,2025-12-02
domain,hyuvn[.]top,malicious,2025-03-30
domain,hyvn[.]top,malicious,2025-08-23
domain,hziyn[.]top,malicious,2025-03-29
domain,hzvnn[.]top,malicious,2025-09-10
domain,hzynk[.]top,malicious,2025-09-10
domain,i55gtc[.]top,malicious,2025-05-25
domain,ibokang[.]com,malicious,2025-12-02
domain,id-phil[.]com,malicious,2025-03-25
domain,identitaskita[.]com,malicious,2025-03-25
domain,idnfly[.]eyqgo[.]cc,malicious,2025-11-04
domain,idphil[.]net,malicious,2025-02-08
domain,idphil[.]org,malicious,2024-12-10
domain,idvgo[.]com,malicious,2026-03-10
domain,idzco[.]com,malicious,2026-02-04
domain,ikddigital[.]com,malicious,2025-03-08
domain,ikdgoid-2524[.]com,malicious,2026-02-01
domain,ikdgoid[.]cc,malicious,2024-12-21
domain,ikdgoid[.]com,malicious,2025-03-25
domain,ikdidentitas[.]com,malicious,2025-03-08
domain,imigrasi-paspor[.]com,malicious,2025-04-16
domain,immigration-kr[.]net,malicious,2025-03-21
domain,in-djp[.]com,malicious,2024-07-27
domain,ind-djp[.]com,malicious,2024-07-25
domain,ind-pajak[.]com,malicious,2024-07-31
domain,indcto[.]top,malicious,2024-12-27
domain,indgopajak[.]com,malicious,2025-02-14
domain,indleo[.]top,malicious,2025-03-30
domain,indlwe[.]xyz,malicious,2025-03-10
domain,indly[.]top,malicious,2024-11-05
domain,indsye[.]xyz,malicious,2024-12-20
domain,informacion-cedula-registraduria[.]com,malicious,2025-11-04
domain,installmysssapp[.]com,malicious,2025-08-18
domain,ipotsekuritas[.]com,malicious,2025-09-26
domain,ird[.]arugo[.]cc,malicious,2025-11-04
domain,ird[.]sjvgo[.]cc,malicious,2025-11-04
domain,jady-th[.]xyz,malicious,2023-12-09
domain,jadyind[.]top,malicious,2025-02-19
domain,jadyn[.]top,malicious,2023-10-20
domain,jadyvn[.]top,malicious,2025-01-02
domain,jbce[.]com,malicious,2025-12-02
domain,jdind[.]top,malicious,2025-02-26
domain,jmo[.]obigo[.]cc,malicious,2025-11-04
domain,jskvgo[.]cc,malicious,2025-11-09
domain,kartuidentitas[.]com,malicious,2025-06-08
domain,kawalhaji-2524[.]com,malicious,2025-09-15
domain,kdkgo[.]cc,malicious,2025-03-27
domain,kdoigo[.]cc,malicious,2025-11-15
domain,kdqgo[.]cc,malicious,2025-07-04
domain,keamanandataktp[.]com,malicious,2025-11-04
domain,keamananktp[.]com,malicious,2025-10-11
domain,kef[.]aceyi[.]top,malicious,2026-01-02
domain,kef[.]aljdd[.]topphiwx[.]top,malicious,2026-01-02
domain,kependudukancapil[.]com,malicious,2025-11-20
domain,kgjgo[.]com,malicious,2025-05-29
domain,khaibaobaohiemxahoi[.]com,malicious,2025-03-16
domain,khaibaohosobaohiem[.]com,malicious,2025-03-16
domain,kikcsgo[.]com,malicious,2025-12-02
domain,kinfa-or[.]com,malicious,2025-04-14
domain,krgo[.]cc,malicious,2024-07-04
domain,ksjvgo[.]cc,malicious,2025-10-28
domain,ktpdata[.]com,malicious,2025-06-13
domain,ktpdatadigital[.]com,malicious,2025-11-04
domain,ktpdigital[.]online,malicious,2025-06-27
domain,ktpdigitaldata[.]com,malicious,2025-09-13
domain,ktpdigitalgo[.]com,malicious,2025-06-30
domain,ktpdigitalpembaharuan[.]com,malicious,2025-11-04
domain,ktpdigitalregis[.]com,malicious,2025-09-13
domain,ktpdukcapil[.]com,malicious,2025-03-17
domain,ktpgo[.]online,malicious,2025-06-27
domain,ktpgodigital[.]online,malicious,2025-06-22
domain,ktpidentitas[.]com,malicious,2025-03-25
domain,ktppembaharuan[.]com,malicious,2025-11-04
domain,ktppembetulan[.]com,malicious,2024-11-21
domain,ktpperbaruan[.]com,malicious,2025-03-08
domain,kwjgo[.]cc,malicious,2025-07-28
domain,kyc[.]yeugo[.]cc,malicious,2025-11-04
domain,laokycv2[.]com,malicious,2025-09-17
domain,laoslx[.]top,malicious,2025-09-14
domain,laoxth[.]top,malicious,2025-09-03
domain,laoy-ajab[.]top,malicious,2024-09-13
domain,laoyth[.]top,malicious,2025-02-25
domain,latamairlines[.]bmrgo[.]cc,malicious,2025-11-04
domain,latamairlines[.]orvgo[.]cc,malicious,2025-11-04
domain,latampass[.]rexgo[.]cc,malicious,2025-11-04
domain,latampass[.]stxgo[.]cc,malicious,2025-11-04
domain,latampass[.]urhgo[.]cc,malicious,2025-11-04
domain,latampass[.]wyrgo[.]cc,malicious,2025-11-04
domain,lawind[.]top,malicious,2025-03-29
domain,lawyn[.]top,malicious,2025-09-14
domain,lcr[.]vkjgo[.]cc,malicious,2025-11-04
domain,lcr[.]wlogo[.]cc,malicious,2025-11-04
domain,lemaohuishou[.]com,malicious,2025-12-02
domain,leoids[.]top,malicious,2025-11-14
domain,leovn[.]top,malicious,2025-02-26
domain,lhmzgo[.]cc,malicious,2026-03-18
domain,link10[.]xyz,malicious,2024-02-24
domain,linx-yindu[.]top,malicious,2024-09-16
domain,lkppgoid[.]com,malicious,2026-03-04
domain,lkxgo[.]cc,malicious,2025-09-20
domain,llatamairline[.]vbfgbl[.]cc,malicious,2025-11-04
domain,llatamairline[.]vbflbl[.]cc,malicious,2025-11-04
domain,lrco[.]cc,malicious,2026-02-07
domain,lweind[.]top,malicious,2025-03-28
domain,lweoy[.]top,malicious,2025-07-20
domain,lwevv[.]top,malicious,2025-08-21
domain,lwolx[.]top,malicious,2025-07-20
domain,lwxth[.]top,malicious,2024-06-22
domain,lx-yindu[.]top,malicious,2024-09-11
domain,lxbra[.]top,malicious,2025-04-17
domain,lxface[.]top,malicious,2024-12-28
domain,lxhaz[.]top,malicious,2024-04-21
domain,lxhuz[.]top,malicious,2025-04-16
domain,lxind[.]top,malicious,2023-02-28
domain,lxiph[.]top,malicious,2025-07-23
domain,lxkj5[.]xyz,malicious,2024-03-15
domain,lxkor[.]top,malicious,2024-11-24
domain,lxlao[.]top,malicious,2025-03-29
domain,lxphli[.]top,malicious,2025-03-15
domain,lxsat[.]top,malicious,2025-05-30
domain,lxsyn[.]top,malicious,2025-03-11
domain,lxth4[.]xyz,malicious,2024-06-25
domain,lxthfv[.]xyz,malicious,2024-12-27
domain,lxtht[.]top,malicious,2025-08-28
domain,lxtkj[.]top,malicious,2024-09-30
domain,lxvns[.]top,malicious,2025-09-11
domain,lxyn[.]xyz,suspicious,2025-12-02
domain,lxynn[.]top,malicious,2025-09-14
domain,lybxd[.]xyz,malicious,2025-12-02
domain,lyids[.]top,malicious,2025-05-11
domain,lyinth[.]top,malicious,2025-03-30
domain,lyinvn[.]top,malicious,2025-02-16
domain,lysvn[.]top,malicious,2025-03-30
domain,lyth3[.]xyz,malicious,2025-12-02
domain,lythf[.]top,malicious,2025-10-08
domain,lyvns[.]top,malicious,2025-03-29
domain,lyynf[.]top,malicious,2025-09-05
domain,lyynmp[.]top,malicious,2025-03-29
domain,lyyns[.]top,malicious,2025-10-28
domain,m-pajak[.]email,malicious,2024-11-20
domain,m-pajak[.]net,malicious,2024-11-20
domain,magovn[.]top,malicious,2025-03-30
domain,mck8[.]xyz,malicious,2024-02-19
domain,mcoal[.]top,malicious,2024-12-25
domain,mdwnx[.]top,malicious,2025-08-30
domain,mea[.]dkgth[.]cc,malicious,2025-11-04
domain,meathailand[.]com,malicious,2025-03-25
domain,meathailand[.]net,malicious,2024-12-17
domain,misss[.]molbiie[.]com,malicious,2025-11-04
domain,mobile-sssonline[.]com,malicious,2025-11-04
domain,mocthw[.]top,malicious,2025-10-18
domain,mocwx[.]top,malicious,2025-03-29
domain,mpajak-web[.]com,malicious,2025-06-16
domain,msncgo[.]cc,malicious,2026-03-06
domain,mubyn[.]top,malicious,2025-07-19
domain,muvth[.]com,malicious,2025-04-07
domain,mxal[.]top,malicious,2025-08-24
domain,myallianznd[.]cc,malicious,2025-05-19
domain,mynewsssapp[.]com,malicious,2026-02-05
domain,mynewssslink[.]com,malicious,2026-03-04
domain,mynewsssportallink[.]com,malicious,2026-03-21
domain,mypertamina[.]fhsgo[.]cc,malicious,2025-11-04
domain,mypertamina[.]sbrgo[.]cc,malicious,2025-11-04
domain,myportalsssapp[.]com,malicious,2025-12-16
domain,mysan[.]caxgo[.]cc,malicious,2025-11-04
domain,mysan[.]kszgo[.]cc,malicious,2025-11-04
