type,indicator,classification,detected_date
domain,hfgdfghh.sbs,malicious,2025-08-29
domain,ewioquzn.click,malicious,2025-06-13
domain,xvfsdpotybq.buzz,malicious,2025-09-27
domain,xqxdp.icu,malicious,2025-09-28
domain,likfgg.sbs,malicious,2025-09-12
domain,vahvdiyx.top,malicious,2025-11-18
domain,itpzwa.pics,malicious,2025-12-28
domain,tjvnzs.top,malicious,2025-10-25
domain,holpeupe.sbs,malicious,2025-08-04
domain,ncdryjj.sbs,malicious,2025-10-02
domain,ccatm.top,malicious,2025-12-11
domain,brtuvv.sbs,malicious,2025-08-27
domain,kbhlfzog.top,malicious,2025-10-10
domain,kkrbb.icu,malicious,2025-10-28
domain,sconp.top,malicious,2025-11-27
domain,dcilouq.click,malicious,2025-06-18
domain,ctruhqq.sbs,malicious,2025-09-27
domain,jpdknz.top,malicious,2025-12-26
domain,ekhaxx.icu,malicious,2025-09-16
domain,acccoxz.sbs,malicious,2025-10-02
domain,tibic.top,malicious,2025-12-07
domain,glskdo.com,malicious,2025-12-03
domain,anpjyn.help,malicious,2025-12-14
domain,gtuefy.sbs,malicious,2025-08-01
domain,btedsff.icu,malicious,2025-09-26
domain,cimkuc.pics,malicious,2025-12-17
domain,xqter.icu,malicious,2025-09-24
domain,xqxdm.icu,malicious,2025-09-28
domain,oyncx.top,malicious,2025-12-07
domain,tbryjj.sbs,malicious,2025-09-04
domain,ayrtioui.icu,malicious,2025-10-28
domain,ecakanh.sbs,malicious,2025-09-26
domain,aleicjed.click,malicious,2026-01-03
domain,ckslef.sbs,malicious,2025-10-24
domain,yakdrg.sbs,malicious,2025-09-28
domain,xdyahh.sbs,malicious,2025-09-19
domain,xqxdh.icu,malicious,2025-09-28
domain,cmgwpp.sbs,malicious,2025-10-31
domain,dfdaes.top,malicious,2025-12-26
domain,mnaczz.sbs,malicious,2025-09-17
domain,lizuqbt.click,malicious,2025-10-30
domain,xqtca.icu,malicious,2025-09-17
domain,xqeel.icu,malicious,2025-09-25
domain,rowlng.icu,malicious,2025-09-04
domain,fasii.icu,malicious,2025-10-28
domain,gjdis.com,malicious,2025-07-29
domain,brupcn.sbs,malicious,2025-10-26
domain,truqzzbi.click,malicious,2025-10-29
domain,rewonb.top,malicious,2025-08-15
domain,aviduhjj.sbs,malicious,2025-08-31
domain,hieoancn.click,malicious,2025-12-28
domain,shhnlc.pics,malicious,2025-12-03
domain,rtbva.shop,malicious,2025-07-22
domain,6867379.xyz,malicious,2025-10-29
domain,ddaapp.icu,malicious,2025-07-27
domain,gbdwgg.sbs,malicious,2025-09-13
domain,aqiabo.help,malicious,2025-12-09
domain,xgfxxx.sbs,malicious,2025-09-15
domain,ayolvnqn.top,malicious,2025-11-21
domain,snllcyfk.top,malicious,2025-12-20
domain,aeodd.sbs,malicious,2025-09-11
domain,axczgg.icu,malicious,2025-09-16
domain,blfdrxx.sbs,malicious,2025-10-02
domain,tohuyhdsjk.sbs,malicious,2025-10-12
domain,uuffpe.com,malicious,2025-09-16
domain,nionb.click,malicious,2025-10-30
domain,btppiv.shop,malicious,2025-12-28
domain,illstock.sbs,malicious,2025-01-01
domain,wdhaksdf.top,malicious,2025-05-08
domain,mbdtkxoq.top,malicious,2025-11-12
domain,istvou.sbs,malicious,2025-11-17
domain,vwovmg.shop,malicious,2025-12-22
domain,acctagg.sbs,malicious,2025-10-02
domain,hsgybt.xyz,malicious,2026-01-21
domain,gnlaoprs.click,malicious,2025-10-30
domain,ymdpdi.sbs,malicious,2025-10-20
domain,eniscagb.click,malicious,2025-05-13
domain,ldssdse.top,malicious,2025-01-07
domain,apjvbl.sbs,malicious,2025-11-15
domain,vbcxn.top,malicious,2025-11-03
domain,pinmates.click,malicious,2025-10-29
domain,ftuyqq.sbs,malicious,2025-08-09
domain,vvdfesfde.buzz,malicious,2025-04-21
domain,eovydf.sbs,malicious,2025-11-19
domain,kufarinoveluxa.click,malicious,2025-04-16
domain,zevora.sbs,malicious,2026-02-03
domain,dgxqjnbm.top,malicious,2025-09-23
domain,wmupok.sbs,malicious,2025-11-01
domain,xqsae.icu,malicious,2025-09-20
domain,eqrbnv.shop,malicious,2025-07-22
domain,brkxig.sbs,malicious,2025-11-17
domain,ymptcr.sbs,malicious,2025-10-20
domain,qgpsqc.sbs,malicious,2025-10-31
domain,3628859.top,malicious,2025-10-27
domain,fouvcela.click,malicious,2025-09-09
domain,i3k7c.sbs,malicious,2025-09-07
domain,blirkldx.top,malicious,2025-10-26
domain,f8hs4.icu,malicious,2025-10-28
domain,2f4g6.icu,malicious,2025-06-27
domain,gjufdh.top,malicious,2025-07-23
domain,yyughii.sbs,malicious,2025-08-18
domain,ltypv.top,malicious,2025-10-30
domain,ueodgj.sbs,malicious,2025-11-21
domain,zkjjws.com,malicious,2025-11-19
domain,slzohn.sbs,malicious,2025-11-17
domain,yyughkk.sbs,malicious,2025-08-18
domain,kguunh.click,malicious,2025-11-21
domain,znmeui.click,malicious,2025-12-28
domain,xqtes.icu,malicious,2025-09-23
domain,xqeio.icu,malicious,2025-10-02
domain,gtrdzz.sbs,malicious,2025-09-09
domain,pityke.help,malicious,2025-11-30
domain,sapjw.top,malicious,2025-12-16
domain,k63.icu,malicious,2025-06-03
domain,jpdjfn.top,malicious,2025-12-27
domain,sskkb.top,malicious,2025-12-12
domain,qidcaaa.sbs,malicious,2025-09-28
domain,svsguk.pics,malicious,2025-12-14
domain,dfyafcv.sbs,malicious,2025-08-26
domain,tksass.sbs,malicious,2025-09-24
domain,muforineluxvapo.click,malicious,2025-03-28
domain,xqeci.icu,malicious,2025-09-19
domain,accuracylasergroup.com,malicious,2025-10-03
domain,xqscd.icu,malicious,2025-09-21
domain,tptumc.top,malicious,2025-12-01
domain,aeoss.sbs,malicious,2025-09-11
domain,hbgiin.shop,malicious,2025-12-13
domain,hldfn.top,malicious,2025-12-16
domain,fcxiy.icu,malicious,2025-06-25
domain,kzkvfytweq.top,malicious,2025-08-28
domain,xebuq.top,malicious,2025-12-05
domain,gkqwcb.help,malicious,2025-12-26
domain,eefiueaa.sbs,malicious,2025-09-07
domain,accyazz.sbs,malicious,2025-10-02
domain,dfyafk.sbs,malicious,2025-08-26
domain,bvkmzx.shop,malicious,2025-12-13
domain,jkufhf.top,malicious,2025-12-08
domain,ejoyctws.top,malicious,2025-09-24
domain,edfasaxvw.sbs,malicious,2025-09-04
domain,btedsuu.icu,malicious,2025-09-26
domain,d94.icu,malicious,2025-06-03
domain,qlziev.xyz,malicious,2025-11-26
domain,7ud.icu,malicious,2025-05-29
domain,dhqgxu.top,malicious,2025-12-12
domain,ysredd.sbs,malicious,2025-09-07
domain,z9u3.icu,malicious,2025-06-05
domain,agpuw.top,malicious,2025-11-19
domain,cyror.top,malicious,2025-12-14
domain,oehqxtra.top,malicious,2025-11-17
domain,adllseds.top,malicious,2024-12-30
domain,pfzuqe.help,malicious,2025-12-03
domain,bokvyxhw.top,malicious,2025-10-14
domain,trfggv.sbs,malicious,2025-10-24
domain,ymptdd.sbs,malicious,2025-10-20
domain,kmudjt.sbs,malicious,2025-10-24
domain,ujyhhj.help,malicious,2025-12-22
domain,oewert.icu,malicious,2025-07-12
domain,lwoywbxk.top,malicious,2025-10-03
domain,xjxacr.sbs,malicious,2025-10-17
domain,opqizbnv.click,malicious,2025-10-30
domain,kjhgfdf.sbs,malicious,2025-05-11
domain,oacvtrr.icu,malicious,2025-09-22
domain,xqwdq.icu,malicious,2025-09-29
domain,siitqrpj.cfd,malicious,2025-08-16
domain,dsmconsulting.top,malicious,2025-10-30
domain,oeuyaioe.click,malicious,2025-10-17
domain,csemvb.sbs,malicious,2025-10-06
domain,kwm0mtrw.cfd,malicious,2025-08-11
domain,jniuftv.sbs,malicious,2025-11-01
domain,jamdxb.sbs,malicious,2025-10-31
domain,suppoaido.click,malicious,2025-10-29
domain,obvnv.top,malicious,2025-10-16
domain,mlkylm.sbs,malicious,2025-10-24
domain,lnpfkwxr.top,malicious,2025-11-12
domain,aurapv.help,malicious,2025-12-27
domain,fasfain.icu,malicious,2025-08-30
domain,accytee.sbs,malicious,2025-10-02
domain,absoon.mom,malicious,2025-04-08
domain,q6nk1.icu,malicious,2025-09-09
domain,utbcfwo.buzz,malicious,2025-08-05
domain,kkkzyl.sbs,malicious,2025-11-12
domain,srxbxwsn.top,malicious,2025-09-26
domain,dabvz.buzz,malicious,2025-08-14
domain,iloeianvc.click,malicious,2025-10-08
domain,ylduib.sbs,malicious,2025-10-26
domain,googlestock.top,malicious,2024-12-15
domain,tgtdd.icu,malicious,2025-10-28
domain,9dms4.icu,malicious,2025-08-14
domain,rgxgemei.top,malicious,2025-11-02
domain,zxyuc.com,malicious,2025-08-05
domain,fashnova.top,malicious,2025-11-14
domain,hgx.cx,malicious,2025-09-07
domain,nfhrbfhb.sbs,malicious,2025-10-30
domain,otserizvl.click,malicious,2025-10-08
domain,vieoauie.click,malicious,2025-12-29
domain,alvdfd.help,malicious,2025-12-05
domain,hdfggrfg.sbs,malicious,2025-04-28
domain,bszqva.shop,malicious,2025-11-13
domain,mbqhhm.top,malicious,2025-10-16
domain,mayfth.sbs,malicious,2025-10-24
domain,qcgvyh.sbs,malicious,2025-11-05
domain,googleroof.sbs,malicious,2025-01-01
domain,mubnzjgq.click,malicious,2025-10-29
domain,bllehs.click,malicious,2025-11-21
domain,aszcsjhc.click,malicious,2025-05-22
domain,mmdfess.buzz,malicious,2025-04-21
domain,styuqje.buzz,malicious,2025-07-29
domain,wtfjyuh.buzz,malicious,2025-08-05
domain,dkmsuv.top,malicious,2025-11-13
domain,fqktqw.sbs,malicious,2025-11-15
domain,y8bhx57x.top,malicious,2025-11-11
domain,xikjxu.help,malicious,2025-11-23
domain,xhasbg.sbs,malicious,2025-11-21
domain,yrfehh.sbs,malicious,2025-09-14
domain,wiuytzbl.click,malicious,2025-06-11
domain,bulieao.click,malicious,2026-01-04
domain,gatull.sbs,malicious,2025-09-18
domain,bjcoaj.shop,malicious,2025-12-13
domain,mryhff.sbs,malicious,2025-10-03
domain,acilouq.click,malicious,2025-06-18
domain,xozpa.com,malicious,2025-08-05
domain,axczgt.icu,malicious,2025-09-16
domain,xqxbe.icu,malicious,2025-09-28
domain,ipasnda.top,malicious,2025-12-09
domain,pgbsqdy.buzz,malicious,2025-08-05
domain,tpqion.top,malicious,2025-12-09
domain,ndpkar.sbs,malicious,2025-10-26
domain,obygdcy.sbs,malicious,2025-10-30
domain,uwykq.top,malicious,2025-11-12
domain,zesmivlk.top,malicious,2025-10-10
domain,xqshp.icu,malicious,2025-09-27
domain,g92x.icu,malicious,2025-05-31
domain,tyufvg.sbs,malicious,2025-07-29
domain,dhjksa.com,malicious,2025-12-14
domain,hvsuxe.shop,malicious,2025-12-26
domain,assvef.help,malicious,2025-12-13
domain,heoanloi.top,malicious,2025-10-10
domain,mxpoitdsqw.buzz,malicious,2025-09-09
domain,igexee.sbs,malicious,2025-09-11
domain,mfxaygitoqjs.buzz,malicious,2025-09-12
domain,mtyxtohgfrdbg.sbs,malicious,2025-10-10
domain,xqxae.icu,malicious,2025-09-28
domain,edfasauu.sbs,malicious,2025-09-04
domain,lkcrrcc.icu,malicious,2025-09-26
domain,xqxai.icu,malicious,2025-09-28
domain,txqbekzh.top,malicious,2025-09-24
domain,tivarownazbu.xyz,malicious,2025-11-29
domain,bavck.top,malicious,2025-10-31
domain,etfshh.sbs,malicious,2025-09-07
domain,556285.top,malicious,2025-10-27
domain,fvsuwtt.sbs,malicious,2025-09-28
domain,avondf.help,malicious,2025-12-28
domain,tarvuq.sbs,malicious,2025-11-17
domain,nnxwk.top,malicious,2025-12-07
domain,bdlsuq.shop,malicious,2025-12-14
domain,mbqdyoukpw.sbs,malicious,2025-10-03
domain,snrew.top,malicious,2025-07-07
domain,8gk3z.icu,malicious,2025-07-12
domain,aulnqbwf.top,malicious,2025-10-10
domain,ztwtl.top,malicious,2025-12-09
domain,retyww.sbs,malicious,2025-08-05
domain,acccou.sbs,malicious,2025-10-02
domain,pdcyvt.help,malicious,2025-12-28
domain,xqyao.icu,malicious,2025-09-18
domain,mjhgsmgwomt.buzz,malicious,2025-05-19
domain,xiktb.top,malicious,2025-11-30
domain,dutbnj.top,malicious,2025-12-02
domain,rujvoo.sbs,malicious,2025-10-12
domain,fzedu.top,malicious,2025-05-30
domain,xqtam.icu,malicious,2025-09-17
domain,fumkhh.sbs,malicious,2025-09-22
domain,mbgdyoukpw.sbs,malicious,2025-10-03
domain,lkcrrff.icu,malicious,2025-09-26
domain,ttpkdi.sbs,malicious,2025-10-26
domain,9wkxd.cfd,malicious,2025-07-15
domain,ngelqjk.icu,malicious,2025-09-05
domain,ehiop.com,malicious,2025-08-05
domain,huznff.shop,malicious,2025-12-17
domain,sayrhb.sbs,malicious,2025-10-23
domain,databeacon.top,malicious,2025-12-03
domain,rweoing.top,malicious,2025-08-16
domain,cvscgr.pics,malicious,2025-12-14
domain,btedspp.icu,malicious,2025-09-26
domain,qidcazz.sbs,malicious,2025-09-28
domain,yakdnn.sbs,malicious,2025-09-28
domain,czdaym.com,malicious,2025-12-30
domain,oaeiacd.click,malicious,2026-01-03
domain,prengv.icu,malicious,2025-09-03
domain,pojhgww.sbs,malicious,2025-09-27
domain,ytrv.life,malicious,2026-01-17
domain,jhsnhgwhd.buzz,malicious,2025-05-21
domain,nmkjhgfdoops.sbs,malicious,2025-08-14
domain,qoguy.top,malicious,2026-01-16
domain,adlesearo.click,malicious,2025-10-29
domain,mlieooazc.click,malicious,2025-10-10
domain,idjkasd.top,malicious,2025-04-23
domain,fsywnownget.buzz,malicious,2025-05-22
domain,nfukao.sbs,malicious,2025-11-14
domain,dfutvwm.buzz,malicious,2025-08-05
domain,asnlge.icu,malicious,2025-09-03
domain,jcxvgq.sbs,malicious,2025-11-06
domain,ronbgazh.click,malicious,2025-09-09
domain,kxfdin.help,malicious,2025-11-23
domain,vtili1d.buzz,malicious,2026-01-19
domain,gwhsdq.help,malicious,2025-12-29
