type,indicator,classification,detected_date
domain,crowdstrikefix[.]co,suspicious,2024-07-23
domain,crowdstrike-bsod[.]co,suspicious,2024-07-23
domain,cloudstrike[.]website,suspicious,2024-07-23
domain,crowdstrikebluescreen[.]com,phishing,2024-07-19
domain,crowdstrikefix[.]com,phishing,2024-07-19
domain,crowdstrikelawsuit[.]com,phishing,2024-07-21
domain,crowdstrikeupdate[.]com,phishing,2024-07-21
domain,crowdstrikereport[.]com,phishing,2024-07-21
domain,crowdstrikekernelcar[.]com,phishing,2024-07-24
domain,fix-crowdstrike-apocalypse[.]com,phishing,2024-07-20
domain,crowdstrikeglitch[.]com,phishing,2024-07-21
domain,microsoftcrowdstrike[.]com,phishing,2024-07-21
domain,crowdstrikefix[.]zip,phishing,2024-07-21
domain,whatiscrowdstrike[.]com,phishing,2024-07-21
domain,supportcrowdstrike[.]lol,phishing,2024-07-23
domain,fixcrowdstrike[.]com,phishing,2024-07-23
domain,crowdstrikebug[.]com,phishing,2024-07-21
domain,crowdstriketoken[.]com,phishing,2024-07-19
domain,fix-crowdstrike-bsod[.]com,phishing,2024-07-19
domain,crowdstrikebsod[.]com,phishing,2024-07-20
domain,crowdstrikeclassaction[.]com,phishing,2024-07-21
domain,crowdstrikedown[.]com,phishing,2024-07-19
domain,crowdstrikefail[.]com,phishing,2024-07-21
domain,crowdstrikeoutage[.]com,phishing,2024-07-21
domain,crowdstrikedown[.]site,phishing,2024-07-21
domain,crowdstrikedoomsday[.]com,phishing,2024-07-19
domain,isitcrowdstrike[.]com,phishing,2024-07-21
domain,crowdstrike0day[.]com,phishing,2024-07-19
domain,crowdstrikeoutage[.]info,phishing,2024-07-21
domain,crowdstrike[.]fail,phishing,2024-07-21
domain,crowdstrikeoopsie[.]com,phishing,2024-07-21
domain,crowdstrikeblueteam[.]com,phishing,2024-07-21
domain,crowdstrikeclaim[.]com,phishing,2024-07-21
domain,crowdstrikeodayl[.]com,phishing,2024-07-21
domain,microsoftoutagescrowdstrike[.]com,phishing,2024-07-23
domain,howtofixcrowdstrikeissue[.]com,phishing,2024-07-24
domain,crowdstrikeeventshub[.]com,phishing,2024-07-24
domain,crowdstrikesuporte[.]com,phishing,2024-07-24
domain,crowdstrikerecovery[.]com,phishing,2024-07-24
domain,clownstrike[.]co[.]uk,phishing,2024-07-24
domain,crowdstrikezeroday[.]com,phishing,2024-07-24
domain,crowdstrikeclaims[.]com,phishing,2024-07-24
domain,suportecrowdstrike[.]com,phishing,2024-07-24
domain,iscrowdstrikedown[.]com,phishing,2024-07-24
domain,clownstrike[.]co,phishing,2024-07-24
domain,crowdstrikeyou[.]xyz,phishing,2024-07-24
domain,crowdstrikeout[.]com,phishing,2024-07-24
domain,crowdstrikeoops[.]com,phishing,2024-07-24
domain,crowdstrikesucks[.]com,phishing,2024-07-24
domain,crowdstrike[.]cam,phishing,2024-07-24
domain,crowdstrike[.]bot,phishing,2024-07-24
domain,crowdstrikefix[.]in,phishing,2024-07-24
domain,crowdstrikeoptimizer[.]com,phishing,2024-07-24
domain,crowdstrikeold[.]com,phishing,2024-07-24
domain,crowdstrike[.]ee,phishing,2024-07-24
domain,crowdstrikewindowsoutage[.]com,phishing,2024-07-24
domain,crowdstrikeconnectingevents[.]com,phishing,2024-07-24
domain,crowdstrike[.]blue,phishing,2024-07-24
domain,crowdstrikepatch[.]com,phishing,2024-07-24
domain,crowdstrikecure[.]com,phishing,2024-07-24
domain,crowdstrikefixer[.]com,phishing,2024-07-24
domain,crowdstrikebsod[.]co,phishing,2024-07-23
domain,crowdstrike[.]site,malicious,2024-07-20
domain,crowdstrike[.]es,malicious,2024-07-21
domain,crowdstrikesupport[.]info,malicious,2024-07-23
domain,crowdstrikefix[.]co,malicious,2024-07-23
domain,crowdstrikeconnects[.]com,malicious,2024-07-24
domain,crowdstrikeeventsplus[.]com,malicious,2024-07-24
domain,crowdstrikeeventsplatform[.]com,malicious,2024-07-24
domain,crowdstroke[.]io,malicious,2024-07-24
domain,crowdstrike[.]us[.]org,malicious,2024-07-24
domain,crowdstrikesettlement[.]com,malicious,2024-07-24
domain,crowdstrike[.]fun,malicious,2024-07-24
domain,crowdstrike[.]technology,malicious,2024-07-24
domain,crowdstrikehelp[.]com,malicious,2024-07-24
domain,crowdstrikeplatform[.]info,malicious,2024-07-24
domain,crowstrike[.]org,malicious,2024-07-24
domain,crowdstrife[.]com,malicious,2024-07-24
domain,thecrowdstrike[.]com,malicious,2024-07-24
domain,crowdstrikewhisper[.]com,malicious,2024-07-24
domain,crowdstrikeevents[.]com,malicious,2024-07-24
domain,crowdstrikeplatform[.]com,malicious,2024-07-24
domain,fuckcrowdstrike[.]com,malicious,2024-07-24
domain,crowdstrike[.]help,malicious,2024-07-24
domain,crowdstrike[.]com[.]vc,malicious,2024-07-24
domain,crowstrike[.]net,malicious,2024-07-24
domain,iscrowdstrikestilldown[.]com,malicious,2024-07-24
domain,iscrowdstrikefixed[.]com,malicious,2024-07-24
