type,indicator,classification,detected_date
domain,twitter-promotion[.]net,malicious,2023-01-08
domain,testtdomainname[.]xyz,malicious,2023-04-04
domain,arkelon22[.]info,malicious,2022-11-07
domain,teslabonus[.]live,malicious,2023-03-24
domain,youtubetesla[.]net,malicious,2023-04-05
domain,xrpglobal-event[.]info,malicious,2023-04-05
domain,xrpglobal-event[.]com,malicious,2023-04-05
domain,xrpfinance-info[.]org,malicious,2023-04-05
domain,xrpdouble-promotion[.]org,malicious,2023-02-26
domain,xrpdouble-event[.]info,malicious,2023-04-05
domain,xrpairdrop-live[.]com,malicious,2023-04-05
domain,xrp2x-double[.]org,malicious,2023-04-05
domain,xrp2x-double[.]info,malicious,2023-04-05
domain,xrp-promotion[.]org,malicious,2023-04-05
domain,xrp-info[.]net,malicious,2023-04-05
domain,xrp-give23[.]xyz,malicious,2023-01-06
domain,xrp-foundation[.]info,malicious,2023-04-05
domain,xrp-finance[.]com,malicious,2023-04-05
domain,x2years[.]net,malicious,2023-04-05
domain,x2twitter[.]org,malicious,2022-10-27
domain,x2crash[.]com,malicious,2023-04-05
domain,weripple[.]net,malicious,2023-04-05
domain,twit-usd[.]org,malicious,2023-04-05
domain,tweetmusk[.]com,malicious,2023-04-05
domain,tslaonline[.]com,malicious,2023-04-05
domain,tslanow[.]net,malicious,2023-04-05
domain,tsl2x[.]org,malicious,2023-04-05
domain,teslaus-event[.]net,malicious,2023-04-05
domain,teslatv[.]net,malicious,2023-04-05
domain,teslatake2023[.]com,malicious,2023-04-05
domain,teslaq3[.]org,malicious,2023-04-05
domain,teslaq3[.]net,malicious,2023-04-05
domain,teslapromotion[.]live,malicious,2022-12-31
domain,teslapromotion[.]info,malicious,2023-04-05
domain,teslapromo[.]org,malicious,2023-04-05
domain,teslapromo-2023[.]net,malicious,2023-04-05
domain,teslapromo-2023[.]com,malicious,2023-04-05
domain,teslaone[.]net,malicious,2023-04-05
domain,teslaofficial[.]org,malicious,2023-04-05
domain,teslamusk-promo[.]info,malicious,2023-04-05
domain,teslalife[.]org,malicious,2023-04-05
domain,teslainc2023[.]com,malicious,2023-04-05
domain,teslagives2023[.]com,malicious,2023-04-05
domain,teslafinance-promo[.]net,malicious,2023-04-05
domain,teslaevent23[.]com,malicious,2022-12-29
domain,teslaevent-promo[.]org,malicious,2023-04-05
domain,tesladouble[.]live,malicious,2023-03-14
domain,teslacrypto2023[.]com,malicious,2023-04-05
domain,teslacrash[.]net,malicious,2023-04-05
domain,teslacoins2023[.]com,malicious,2023-04-05
domain,teslacashyt[.]org,malicious,2023-04-05
domain,teslacashyt[.]com,malicious,2023-04-05
domain,teslacash2023[.]com,malicious,2023-04-05
domain,teslabonus23[.]live,malicious,2023-04-02
domain,tesla23bonus[.]org,malicious,2023-04-05
domain,tesla-pump[.]net,malicious,2023-04-05
domain,tesla-promotion[.]live,malicious,2022-12-30
domain,tesla-now[.]org,malicious,2023-04-05
domain,tesla-motors[.]org,malicious,2023-04-05
domain,tesla-life[.]org,malicious,2023-04-05
domain,tesla-give22[.]org,malicious,2023-04-05
domain,tesla-eventx2[.]org,malicious,2023-04-05
domain,tesla-elonx2[.]org,malicious,2023-04-05
domain,tesla-double23[.]live,malicious,2023-04-05
domain,tesla-bonus23[.]live,malicious,2023-04-05
domain,tesla-airdrop[.]net,malicious,2023-04-05
domain,tatehustlers[.]net,malicious,2023-04-05
domain,tatedouble[.]live,malicious,2023-04-04
domain,tatebonus[.]live,malicious,2023-04-04
domain,tate6ix9ine[.]org,malicious,2022-10-29
domain,spacexlaunch[.]net,malicious,2023-04-05
domain,spacex23[.]org,malicious,2023-04-05
domain,spacex-mission[.]org,malicious,2023-04-05
domain,space22give[.]org,malicious,2023-04-05
domain,space2022x[.]com,malicious,2023-04-05
domain,space-strarlink[.]com,malicious,2023-04-05
domain,rippleglobal-event[.]info,malicious,2023-04-05
domain,rippledouble[.]info,malicious,2023-04-05
domain,ripple-money[.]net,malicious,2023-04-05
domain,ripple-live[.]com,malicious,2023-04-05
domain,qrmusk[.]org,malicious,2023-04-05
domain,promotion-x2[.]com,malicious,2023-04-05
domain,promo-xrp2022[.]org,malicious,2023-04-05
domain,promo-tesla[.]info,malicious,2023-04-05
domain,promo-musk[.]org,malicious,2023-04-05
domain,promo-musk[.]com,malicious,2023-04-05
domain,prizetesla[.]org,malicious,2023-04-05
domain,news-tesla[.]com,malicious,2023-04-05
domain,muskevents[.]org,malicious,2023-04-05
domain,muskevent[.]org,malicious,2023-04-05
domain,musk-pump[.]com,malicious,2023-04-05
domain,musk-promotion[.]org,malicious,2023-04-05
domain,musk-prize[.]info,malicious,2023-04-05
domain,musk-get-x2[.]com,malicious,2023-04-05
domain,musk-foundation[.]org,malicious,2022-11-28
domain,misson-live[.]org,malicious,2023-04-05
domain,ltcpromo[.]org,malicious,2023-04-05
domain,liketesla[.]com,malicious,2023-04-05
domain,invest-elon[.]net,malicious,2023-04-05
domain,grew4tesla[.]com,malicious,2023-04-05
domain,gifts-tesla[.]org,malicious,2023-04-05
domain,get-x2bonus[.]live,malicious,2023-04-05
domain,geminiearn[.]org,malicious,2023-04-05
domain,ftxbinance[.]org,malicious,2023-04-05
domain,freetate23[.]live,malicious,2023-04-05
domain,foundation-tesla[.]org,malicious,2023-04-05
domain,forbesbtc[.]com,malicious,2023-04-05
domain,finance-xrp[.]com,malicious,2023-04-05
domain,ethereum-rise[.]com,malicious,2023-04-05
domain,ethereum-promotion[.]net,malicious,2023-04-05
domain,eth2x-info[.]com,malicious,2023-04-05
domain,elonusa[.]net,malicious,2023-04-05
domain,elonus[.]org,malicious,2023-04-05
domain,elonshare[.]com,malicious,2023-04-05
domain,elonmuskevent[.]info,malicious,2022-10-22
domain,elonmuskcash[.]org,malicious,2023-04-05
domain,elondrop22[.]org,malicious,2023-04-05
domain,elonark22[.]info,malicious,2022-11-04
domain,elon-promotion[.]org,malicious,2023-04-05
