type,indicator,classification,detected_date
domain,ystl03106.top,malicious,2025-12-05
domain,allegrostroe.cyou,malicious,2024-05-10
domain,allegroau.cc,malicious,2024-05-01
domain,whats-zen.vip,malicious,2025-09-11
domain,lightacer.com,malicious,2025-04-27
domain,allegrostroe.shop,malicious,2024-05-10
domain,faq-whatsapp-center.com,malicious,2026-02-23
domain,whats-zwp.vip,malicious,2025-09-09
domain,allegroau.com,malicious,2024-05-01
domain,energy5.cyou,malicious,2024-06-30
domain,mango-cleopatrapg.com,malicious,2026-05-16
domain,correoargentino-comarr.top,malicious,2025-08-05
domain,deepseekpg.bet,malicious,2025-02-11
domain,kirbycoco.cc,malicious,2023-06-04
domain,lsscapp.com,malicious,2025-02-04
domain,whats-zea.vip,malicious,2025-09-11
domain,usdtflow.net,malicious,2024-08-10
domain,nasdaqpro.top,malicious,2026-02-25
domain,whats-zrs.vip,malicious,2025-09-13
domain,allegrostroe.com,malicious,2024-05-09
domain,xaai3xj.com,malicious,2025-09-07
domain,allegro-stroe.cc,malicious,2024-05-09
domain,whats-zus.vip,malicious,2025-09-16
domain,allegro-stroe.cyou,malicious,2024-05-10
domain,allegro-stroe.com,malicious,2024-05-09
domain,lsscol.com,malicious,2024-11-16
domain,whats-zef.vip,malicious,2025-09-11
domain,ys904.top,malicious,2025-05-14
domain,k-usdt.com,malicious,2024-10-16
domain,whats-zei.vip,malicious,2025-09-11
domain,m0vrsq6.top,malicious,2025-07-01
domain,allegro-stroe.shop,malicious,2024-05-10
domain,xaaitbb.com,malicious,2025-09-08
domain,verify-what.com,malicious,2025-04-29
domain,allegrostroe.cc,malicious,2024-05-09
domain,g3user.com,malicious,2026-05-28
domain,jp7.com,malicious,2026-05-28
domain,lssc-canada.ca,malicious,2026-05-28
domain,rainbowex.cc,malicious,2026-05-28
domain,polymk.com,malicious,2026-05-28
domain,forwarsprite.com,malicious,2026-05-28
domain,bepviews.com,malicious,2026-05-28
domain,aqy.dot02ig.cfd,malicious,2026-05-28
domain,inetcontrol.net,malicious,2026-05-28
domain,futureblockchain.net,malicious,2026-05-28
domain,clintile.com,malicious,2026-05-28
domain,datashareclub.com,malicious,2026-05-28
domain,mypal.pro,malicious,2026-04-29
