type,indicator,classification,detected_date
domain,claudfront[.]net,malware,2023-02-08
domain,allowlisted[.]net,malware,2023-04-07
domain,atlas-upd[.]com,malware,2023-03-15
domain,ads-tm-glb[.]click,malware,2022-11-25
domain,cbox4[.]ignorelist[.]com,malware,2023-04-07
domain,hsdps[.]cc,malware,2023-04-11
domain,claudfront[.]ml,malware,2023-04-07
ip,5[.]252[.]176[.]63,malware,2023-04-12
ip,5[.]199[.]173[.]4,malware,2023-04-20
ip,5[.]252[.]176[.]22,malware,2023-04-19
ip,83[.]166[.]240[.]52,malware,2023-04-19
ip,213[.]183[.]48[.]75,malware,2023-04-19
sha256,4996180b2fa1045aab5d36f46983e91dadeebfd4f765d69fa50eba4edf310acf,malware,2023-04-20
sha256,0375f4b3fe011b35e6575133539441009d015ebecbee78b578c3ed04e0f22568,malware,2023-04-20
sha256,e47db5ef2a23a156856b5ea3b156a32fc8b26fb1a5c496f62e74c8ca8bf4b924,malware,2023-04-20
sha256,84a2ed4270aaee360019f8136e464fbddb83d20ade79b43b712c711a632dfa14,malware,2023-04-20
sha256,fa075deeb0af84792a08f6be728ea15f1cf6183443cc5ee8a0632c7b4209675f,malware,2023-04-20
