type,indicator,classification,detected_date
sha256,86586f6954da38e5a5df7e56334ef98e74838dee68de0355ae4fe03d36c82502,malicious,2025-12-08
sha256,4a3497d66a64c22342d855d2da370c9a4351e6403bbd224093c4b348bd611df4,malicious,2025-12-08
sha256,c3f1f456419f39f19c9e0d5aae2b50f701abe517a3cc2952869e516b260dbf88,malicious,2025-12-08
domain,chatterjamtagbirdfile[.]monster,malicious,2025-10-15
domain,colaureat[.]icu,malicious,2025-05-14
domain,digesttech[.]com,malicious,2025-12-08
domain,safezonefirewall[.]com,malicious,2025-08-29
domain,sportswear[.]homes,malicious,2025-11-01
domain,velixnero[.]co[.]in,malicious,2025-10-13
domain,drizzledrape[.]co,malicious,2025-01-08
domain,installupdate[.]online,malicious,2025-10-18
domain,domaincntrol[.]com,malicious,2025-08-26
domain,torresdns[.]com,malicious,2025-12-15
domain,brainydns[.]com,malicious,2024-06-19
domain,koaladns[.]com,malicious,2025-12-15
domain,weaponizedcow[.]com,malicious,2025-12-15
domain,numbatdns[.]com,malicious,2025-12-15
domain,quokkadns[.]com,malicious,2025-12-15
domain,emu-dns[.]com,malicious,2025-12-15
domain,echidns[.]com,malicious,2025-12-15
domain,magpiedns[.]com,malicious,2025-12-15
domain,kirklanddc[.]com,malicious,2025-12-15
domain,hastydns[.]com,malicious,2025-12-15
domain,milesmx[.]com,malicious,2025-12-15
