type,indicator,classification,detected_date
domain,2024bitcoin[.]com,phishing,2024-09-14
domain,2024coinbase[.]net,phishing,2024-09-14
domain,2024ripple[.]com,phishing,2024-09-14
domain,2024xrp[.]net,phishing,2024-09-14
domain,24larsen[.]com,phishing,2024-09-14
domain,24mstr[.]com,phishing,2024-09-14
domain,24tesla[.]com,phishing,2024-09-14
domain,2x-ripple[.]com,phishing,2024-09-14
domain,2x-solana[.]com,phishing,2024-09-14
domain,2xcoinbase[.]net,phishing,2024-09-14
domain,ada-charles[.]com,phishing,2024-09-14
domain,ada-event[.]com,phishing,2024-09-14
domain,ada-fund24[.]com,phishing,2024-09-14
domain,ada-fund[.]com,phishing,2024-09-14
domain,ada-reward[.]com,phishing,2024-09-14
domain,ada-us[.]com,phishing,2024-09-14
domain,adachance[.]com,phishing,2024-09-14
domain,adagive[.]net,phishing,2024-09-14
domain,adagives[.]com,phishing,2024-09-14
domain,apple-ceo[.]com,phishing,2024-09-14
domain,apple-event2024[.]com,phishing,2024-09-14
domain,apple-gift2024[.]com,phishing,2024-09-14
domain,apple-gifts2024[.]com,phishing,2024-09-14
domain,apple-giveaway[.]com,phishing,2024-09-14
domain,applejoin[.]com,phishing,2024-09-14
domain,applespecial[.]net,phishing,2024-09-14
domain,ark-fund[.]pro,phishing,2024-09-14
domain,bitcoin-event[.]com,phishing,2024-09-14
domain,bitcoin-tesla2024[.]com,phishing,2024-09-14
domain,bitcoin2024[.]net,phishing,2024-09-14
domain,bitcoinmusk2024[.]com,phishing,2024-09-14
domain,bitcoins-trump[.]com,phishing,2024-09-14
domain,bitcoinsaylor[.]net,phishing,2024-09-14
domain,bitcointesla24[.]com,phishing,2024-09-14
domain,bonus2-tesla[.]com,phishing,2024-09-14
domain,brad-x2[.]com,phishing,2024-09-14
domain,brad4you[.]com,phishing,2024-09-14
domain,bradgives[.]com,phishing,2024-09-14
domain,brianevent[.]com,phishing,2024-09-14
domain,btc-xtrump[.]com,phishing,2024-09-14
domain,btcgives[.]net,phishing,2024-09-14
domain,btcspacex[.]com,phishing,2024-09-14
domain,buterin[.]net,phishing,2024-09-14
domain,cardano-event[.]com,phishing,2024-09-14
domain,cardano-x2[.]com,phishing,2024-09-14
domain,cardano-x[.]com,phishing,2024-09-14
domain,cardano2x[.]com,phishing,2024-09-14
domain,ceoapple[.]com,phishing,2024-09-14
domain,chaindrop[.]promo,phishing,2024-09-14
domain,choosetesla[.]com,phishing,2024-09-14
domain,claimripple[.]com,phishing,2024-09-14
domain,cr7-event[.]com,phishing,2024-09-14
domain,cristiano-x2[.]com,phishing,2024-09-14
domain,cristianogift[.]com,phishing,2024-09-14
domain,crypto-participate[.]com,phishing,2024-09-14
domain,cryptomusk2024[.]com,phishing,2024-09-14
domain,debate-trump[.]com,phishing,2024-09-14
domain,debate[.]gift,phishing,2024-09-14
domain,debatemusk[.]com,phishing,2024-09-14
domain,debatesx2[.]com,phishing,2024-09-14
domain,doubleetherx2[.]com,phishing,2024-09-14
domain,doublemusk[.]com,phishing,2024-09-14
domain,doubletesla[.]net,phishing,2024-09-14
domain,elon-tesla2x[.]com,phishing,2024-09-14
domain,elon2025[.]com,phishing,2024-09-14
domain,elondebate[.]com,phishing,2024-09-14
domain,elonevent[.]com,phishing,2024-09-14
domain,elongiveawaymusk[.]com,phishing,2024-09-14
domain,elonprize[.]com,phishing,2024-09-14
domain,elonstarship[.]com,phishing,2024-09-14
domain,etf-24[.]com,phishing,2024-09-14
domain,eth-up[.]gift,phishing,2024-09-14
domain,eth2024[.]com,phishing,2024-09-14
domain,eth23[.]io,phishing,2024-09-14
domain,ether2022[.]info,phishing,2024-09-14
domain,eththemerge[.]net,phishing,2024-09-14
domain,eththemerge[.]survay[.]pro,phishing,2024-09-14
domain,ev2025[.]com,phishing,2024-09-14
domain,event-ada[.]com,phishing,2024-09-14
domain,event-apple[.]com,phishing,2024-09-14
domain,event-vitalik[.]com,phishing,2024-09-14
domain,event-xripple[.]com,phishing,2024-09-14
domain,eventgemini[.]com,phishing,2024-09-14
domain,eventmaga[.]com,phishing,2024-09-14
domain,eventsxrp[.]com,phishing,2024-09-14
domain,flight-test5[.]com,phishing,2024-09-14
domain,formula1-x[.]com,phishing,2024-09-14
domain,gametesla[.]com,phishing,2024-09-14
domain,geminifnd[.]com,phishing,2024-09-14
domain,gift-tesla2024[.]com,phishing,2024-09-14
domain,gift2024-cardano[.]com,phishing,2024-09-14
domain,giftelon[.]com,phishing,2024-09-14
domain,giftsaylor[.]com,phishing,2024-09-14
domain,give-musk[.]net,phishing,2024-09-14
domain,give-toncoin[.]com,phishing,2024-09-14
domain,gives-microstrategy[.]com,phishing,2024-09-14
domain,givesmusk[.]net,phishing,2024-09-14
domain,givespacex[.]com,phishing,2024-09-14
domain,harryteams[.]com,phishing,2024-09-14
domain,ift-5[.]com,phishing,2024-09-14
domain,joinstarship[.]com,phishing,2024-09-14
domain,kiyosaki2x[.]com,phishing,2024-09-14
domain,launch-spacex[.]com,phishing,2024-09-14
domain,launchspacex[.]com,phishing,2024-09-14
domain,micro2x[.]com,phishing,2024-09-14
domain,microstrategy-fund[.]com,phishing,2024-09-14
domain,ms-bitcoin[.]com,phishing,2024-09-14
domain,ms2x-bitcoin[.]com,phishing,2024-09-14
domain,msaylor-x2[.]com,phishing,2024-09-14
domain,msaylor-x[.]com,phishing,2024-09-14
domain,msaylor[.]net,phishing,2024-09-14
domain,msbtc[.]net,phishing,2024-09-14
domain,musk-airdrop[.]com,phishing,2024-09-14
domain,musk-back[.]com,phishing,2024-09-14
domain,musk-event[.]net,phishing,2024-09-14
domain,musk-project[.]net,phishing,2024-09-14
domain,musk-promo[.]com,phishing,2024-09-14
domain,musk-send[.]com,phishing,2024-09-14
domain,muskcash[.]com,phishing,2024-09-14
domain,muskcrypto[.]net,phishing,2024-09-14
domain,muskdebate[.]com,phishing,2024-09-14
domain,muskdebates[.]com,phishing,2024-09-14
domain,muskdonald[.]com,phishing,2024-09-14
domain,muskdouble[.]com,phishing,2024-09-14
domain,muskfuture[.]com,phishing,2024-09-14
domain,muskgive-x2[.]com,phishing,2024-09-14
domain,muskgiveaway[.]com,phishing,2024-09-14
domain,muskmaga[.]com,phishing,2024-09-14
domain,muskpolaris[.]com,phishing,2024-09-14
domain,muskpolaris[.]net,phishing,2024-09-14
domain,muskpresent[.]com,phishing,2024-09-14
domain,musksend[.]com,phishing,2024-09-14
domain,musktoday[.]com,phishing,2024-09-14
domain,musktrump[.]net,phishing,2024-09-14
domain,muskusa[.]net,phishing,2024-09-14
domain,muskx2give[.]com,phishing,2024-09-14
domain,polarislaunch[.]com,phishing,2024-09-14
domain,polarislaunch[.]net,phishing,2024-09-14
domain,polarislive[.]com,phishing,2024-09-14
domain,polarismusk[.]com,phishing,2024-09-14
domain,project-ada[.]com,phishing,2024-09-14
domain,promo-tesla[.]io,phishing,2024-09-14
domain,republicancrypto[.]com,phishing,2024-09-14
domain,reward-tesla[.]com,phishing,2024-09-14
domain,ripple-gives[.]com,phishing,2024-09-14
domain,ripple-promo2024[.]com,phishing,2024-09-14
domain,ripple2030[.]com,phishing,2024-09-14
domain,ripple24[.]com,phishing,2024-09-14
domain,ripple2x[.]com,phishing,2024-09-14
domain,ripplegives[.]net,phishing,2024-09-14
domain,ripplejuly[.]com,phishing,2024-09-14
domain,ripplexrp[.]net,phishing,2024-09-14
domain,rise-ms[.]com,phishing,2024-09-14
domain,rise-xrp[.]com,phishing,2024-09-14
domain,roaring2x[.]com,phishing,2024-09-14
domain,ronaldo-give[.]com,phishing,2024-09-14
domain,ronaldogift[.]com,phishing,2024-09-14
domain,ronaldogive[.]com,phishing,2024-09-14
domain,saylor-crypto[.]com,phishing,2024-09-14
domain,saylor-join[.]com,phishing,2024-09-14
domain,saylorbtc[.]net,phishing,2024-09-14
domain,saylorfound[.]com,phishing,2024-09-14
domain,saylorweb[.]com,phishing,2024-09-14
domain,send-ada[.]com,phishing,2024-09-14
domain,send-sol[.]com,phishing,2024-09-14
domain,send-xrp[.]com,phishing,2024-09-14
domain,sends-xrp[.]com,phishing,2024-09-14
domain,shibfond[.]com,phishing,2024-09-14
domain,skystarship[.]com,phishing,2024-09-14
domain,sol-event[.]net,phishing,2024-09-14
domain,solana-2x[.]com,phishing,2024-09-14
domain,solget[.]net,phishing,2024-09-14
domain,solgive[.]net,phishing,2024-09-14
domain,spacex-dawn[.]com,phishing,2024-09-14
domain,spacex-drop[.]com,phishing,2024-09-14
domain,spacex-event24[.]com,phishing,2024-09-14
domain,spacex-event2x[.]com,phishing,2024-09-14
domain,spacex-events[.]net,phishing,2024-09-14
domain,spacex-ift-5[.]com,phishing,2024-09-14
domain,spacex-live[.]com,phishing,2024-09-14
domain,spacex-polaris[.]com,phishing,2024-09-14
domain,spacex-promo[.]com,phishing,2024-09-14
domain,spacex-usa[.]com,phishing,2024-09-14
