type,indicator,classification,detected_date
domain,mssoftupdateserver[.]com,malicious,2025-09-11
domain,updatemssoft[.]com,malicious,2025-07-09
domain,msdnupdate[.]com,malicious,2023-11-28
domain,domainzone123[.]com,malicious,2025-07-14
domain,nupdate0625[.]com,malicious,2025-06-19
domain,updatemsdnserver[.]com,malicious,2025-07-03
domain,msgdetox[.]com,malicious,2024-12-20
domain,knowableuniverse[.]com,malicious,2024-11-14
domain,infosystemsllc[.]com,malicious,2024-11-13
domain,lookup-domain[.]com,malicious,2024-01-29
domain,web-hosts[.]io,malicious,2024-03-07
domain,betelgeuserigel[.]com,malicious,2024-11-02
domain,dns-routing[.]com,malicious,2025-05-03
domain,deidrerealestate[.]com,malicious,2025-05-03
domain,flow-distributor[.]com,malicious,2025-06-15
domain,adflowtube[.]com,malicious,2024-11-27
domain,ecomicrolab[.]com,malicious,2024-11-27
domain,advertipros[.]com,malicious,2025-06-11
domain,airlogs[.]net,malicious,2024-04-26
domain,aeroarrows[.]io,malicious,2025-08-02
domain,cdn-routing[.]com,malicious,2024-07-30
domain,webdmonitor[.]io,malicious,2024-10-08
