type,indicator,classification,detected_date
domain,blocksovetnik[.]ru,malicious,2026-06-26
domain,checkoutbump[.]com ,malicious,2025-05-06
domain,hpmdnetwork[.]ru,malicious,2025-05-06
domain,gsstats[.]ru,malicious,2026-06-26
domain,magesource[.]su,malicious,2023-04-25
domain,memtkh[.]com,malicious,2025-05-06
domain,renteres[.]ru,malicious,2025-05-06
domain,tofuturepubs[.]com,malicious,2025-05-05
domain,weatherplllatform[.]com,malicious,2022-09-15
domain,advanceslibrary[.]com,malicious,2026-07-01
domain,blacksaltys[.]com,malicious,2025-07-24
domain,brodirect3s[.]site,malicious,2025-06-10
domain,cdnjslibraries[.]com,malicious,2026-02-19
domain,imhd[.]io,malicious,2026-02-04
domain,pausewatchings[.]com,malicious,2026-07-12
domain,pills-europe[.]com,malicious,2026-07-13
domain,simplejscdn[.]com,malicious,2024-12-01
domain,wesq[.]me,malicious,2025-02-04
domain,blackshelter[.]org,malicious,2024-12-03
domain,bluegaslamp[.]org,malicious,2023-11-14
domain,draggedline[.]org,malicious,2023-11-14
domain,getshopstar[.]com,malicious,2026-05-28
domain,jqueryapihelpers[.]com,malicious,2025-06-17
domain,lzdatheme[.]com,malicious,2025-04-22
domain,slurpslimes[.]org,malicious,2023-11-22
domain,webpixel[.]app,malicious,2025-01-04
domain,windowlight[.]org,malicious,2023-11-14
