type,indicator,classification,detected_date
domain,wordpress[.]agrupem[.]com,malware,2022-06-16
domain,3dstudioa[.]com[.]br,malware,2022-07-22
domain,dscaluya[.]6te[.]net,malware,2022-07-22
domain,akuntansi[.]itny[.]ac[.]id,malware,2022-07-22
domain,app[.]virapad[.]ir,malware,2022-07-22
domain,appyhorsey[.]com,malware,2022-07-22
domain,astrogurusunilbarmola[.]com,malware,2022-07-22
domain,atperson[.]com,malware,2022-07-22
domain,balticcontrolbd[.]com,malware,2022-07-22
domain,blessingsource[.]com,malware,2022-07-22
domain,borntobefree[.]org[.]za,malware,2022-07-22
domain,brittknight[.]com,malware,2022-07-22
domain,bruidsfotografie-breda[.]nl,malware,2022-07-22
domain,deadcode200[.]c1[.]biz,malware,2022-07-22
domain,cashmailsystem[.]com,malware,2022-07-22
domain,chainandpyle[.]com,malware,2022-07-22
domain,chaledooleo[.]com[.]br,malware,2022-07-22
domain,charmslovespells[.]com,malware,2022-07-22
domain,collabsolutions[.]co[.]za,malware,2022-07-22
domain,comecebem[.]com,malware,2022-07-22
domain,contabilidadeplenus[.]com[.]br,malware,2022-07-22
domain,corporateissolutions[.]com,malware,2022-07-22
domain,cs14productions[.]com,malware,2022-07-22
domain,cupsolution[.]com,malware,2022-07-22
domain,decorusfinancial[.]com,malware,2022-07-22
domain,dencker[.]info,malware,2022-07-22
domain,djunreal[.]co[.]uk,malware,2022-07-22
domain,dl[.]choobingroup[.]ir,malware,2022-07-22
domain,dotcompany[.]com[.]br,malware,2022-07-22
domain,clotizen[.]dothome[.]co[.]kr,malware,2022-07-22
domain,gmhealthcare[.]dothome[.]co[.]kr,malware,2022-07-22
domain,kwinglobal[.]dothome[.]co[.]kr,malware,2022-07-22
domain,withvac001[.]dothome[.]co[.]kr,malware,2022-07-22
domain,onepieceark[.]dothome[.]co[.]kr,malware,2022-07-22
domain,drviniciusterra[.]com[.]br,malware,2022-07-22
domain,dusangerzicgera[.]com,malware,2022-07-22
domain,earthmach[.]co[.]za,malware,2022-07-22
domain,educacionsanvicentefundacion[.]com,malware,2022-07-22
domain,erp[.]pinaken[.]com,malware,2022-07-22
domain,wp[.]eryaz[.]net,malware,2022-07-22
domain,evashopping[.]thietkewebsitechuanseo[.]com,malware,2022-07-22
domain,ewingconsulting[.]com,malware,2022-07-22
domain,fashionbyprincessmelodicaah[.]com,malware,2022-07-22
domain,fisika[.]mipa[.]uns[.]ac[.]id,malware,2022-07-22
domain,fontecmobile[.]com,malware,2022-07-22
domain,francite[.]net,malware,2022-07-22
domain,frascona[.]com[.]ar,malware,2022-07-22
domain,gedebey-tvradio[.]info,malware,2022-07-22
domain,greenlizard[.]co[.]za,malware,2022-07-22
domain,greycoconut[.]com,malware,2022-07-22
domain,grouprobust[.]com,malware,2022-07-22
domain,haircutbar[.]com,malware,2022-07-22
domain,harleyqueretaro[.]com,malware,2022-07-22
domain,helmprecision[.]com,malware,2022-07-22
domain,jimlowry[.]com,malware,2022-07-22
domain,kairaliagencies[.]com,malware,2022-07-22
domain,kevinley[.]com,malware,2022-07-22
domain,nellydwiputri[.]co[.]id,malware,2022-07-22
domain,peicovich[.]com,malware,2022-07-22
domain,starluckycentre[.]com,malware,2022-07-22
domain,weboculta[.]com,malware,2022-06-03
domain,wmwifbajxxbcxmucxmlc[.]com,malware,2022-07-22
domain,www[.]aseguradosaldia[.]com,malware,2022-07-22
domain,www[.]berekethaber[.]com,malware,2022-07-22
domain,www[.]boraintercambios[.]com[.]br,malware,2022-07-22
domain,www[.]cicerosd[.]com,malware,2022-07-22
domain,www[.]clasite[.]com,malware,2022-07-22
domain,www[.]clinicaportalpsicologia[.]com[.]br,malware,2022-07-22
domain,www[.]concivilpa[.]com[.]py,malware,2022-07-22
domain,www[.]controlnetworks[.]com[.]au,malware,2022-07-22
domain,www[.]dl5[.]zahra-media[.]ir,malware,2022-07-22
domain,www[.]drcno[.]sk,malware,2022-07-22
domain,www[.]druck-grafik[.]at,malware,2022-07-22
domain,www[.]ergbox[.]com,malware,2022-07-22
domain,www[.]escueladecinemza[.]com[.]ar,malware,2022-07-22
domain,www[.]evosp[.]com[.]br,malware,2022-07-22
domain,www[.]fcstradesolutions[.]com,malware,2022-07-22
domain,www[.]forensisbilisim[.]com,malware,2022-07-22
domain,www[.]fullwiz[.]com[.]br,malware,2022-07-22
domain,www[.]guedala[.]com[.]br,malware,2022-07-22
domain,www[.]hayalkatibi[.]com,malware,2022-07-22
domain,www[.]joburg[.]org[.]za,malware,2022-07-22
domain,www[.]lakor[.]ch,malware,2022-07-22
domain,www[.]llev[.]com[.]br,malware,2022-07-22
domain,www[.]megakonferans[.]com,malware,2022-07-22
domain,www[.]mobiles-photostudio[.]com,malware,2022-07-22
domain,www[.]nomatenalmono[.]org,malware,2022-07-22
domain,www[.]olsav[.]sk,malware,2022-07-22
domain,www[.]visionsfantastic[.]com,malware,2022-07-22
domain,www[.]zvdesign[.]info,malware,2022-07-22
domain,ybp[.]rpmediateam[.]com,malware,2022-07-22
ip,62[.]171[.]178[.]147,malware,2022-10-06
ip,54[.]37[.]106[.]167,malware,2022-10-06
ip,78[.]47[.]204[.]80,malware,2022-10-06
ip,202[.]28[.]34[.]99,malware,2022-10-06
ip,210[.]57[.]209[.]142,malware,2022-10-06
ip,118[.]98[.]72[.]86,malware,2022-10-06
ip,37[.]44[.]244[.]177,malware,2022-10-06
ip,196[.]44[.]98[.]190,malware,2022-10-06
ip,195[.]77[.]239[.]39,malware,2022-10-06
ip,139[.]196[.]72[.]155,malware,2022-10-06
ip,54[.]37[.]228[.]122,malware,2022-10-06
ip,202[.]134[.]4[.]210,malware,2022-10-06
ip,85[.]214[.]67[.]203,malware,2022-10-06
ip,93[.]104[.]209[.]107,malware,2022-10-06
ip,88[.]217[.]172[.]165,malware,2022-10-06
ip,103[.]41[.]204[.]169,malware,2022-10-06
ip,87[.]106[.]97[.]83,malware,2022-10-06
ip,85[.]25[.]120[.]45,malware,2022-10-06
ip,202[.]29[.]239[.]162,malware,2022-10-06
ip,36[.]67[.]23[.]59,malware,2022-10-06
ip,175[.]126[.]176[.]79,malware,2022-10-06
ip,103[.]56[.]149[.]105,malware,2022-10-06
ip,178[.]62[.]112[.]199,malware,2022-10-06
ip,104[.]248[.]225[.]227,malware,2022-10-06
ip,188[.]225[.]32[.]231,malware,2022-10-06
ip,103[.]85[.]95[.]4,malware,2022-10-06
ip,104[.]244[.]79[.]94,malware,2022-10-06
ip,157[.]230[.]99[.]206,malware,2022-10-06
ip,103[.]126[.]216[.]86,malware,2022-10-06
ip,157[.]245[.]111[.]0,malware,2022-10-06
