type,indicator,classification,detected_date
domain,acmsquared[.]com,phishing,2025-11-10
domain,ads2ads[.]com,phishing,2025-11-09
domain,aghomesandproperties[.]com,phishing,2025-11-09
domain,allwebdirectories[.]com,phishing,2025-11-09
domain,amj-international[.]com,phishing,2025-11-10
domain,apartamentosmalaga[.]com,phishing,2025-11-11
domain,armingaud[.]com,phishing,2025-11-11
domain,bazmepaigham[.]com,phishing,2025-11-10
domain,bedrijvenregister[.]com,phishing,2025-11-11
domain,bestshayari[.]com,phishing,2025-11-10
domain,brillianceboundielts[.]com,phishing,2025-11-09
domain,brownak[.]com,phishing,2025-11-11
domain,buildonhope[.]com,phishing,2025-11-10
domain,cappadociavisittours[.]com,phishing,2025-11-09
domain,catering-amato[.]com,phishing,2025-11-10
domain,cccsok[.]com,phishing,2025-11-11
domain,citywideprayer[.]com,phishing,2025-11-11
domain,controlunlimited[.]com,phishing,2025-11-10
domain,coralridgehour[.]com,phishing,2025-11-10
domain,dartsinireland[.]com,phishing,2025-11-11
domain,data-logistics[.]com,phishing,2025-11-11
domain,dhoughton[.]com,phishing,2025-11-10
domain,dogcuty[.]com,phishing,2025-11-10
domain,e-briefe[.]com,phishing,2025-11-09
domain,eggcoo[.]com,phishing,2025-11-10
domain,eheringe-trauringe[.]com,phishing,2025-06-17
domain,ehsantrust[.]com,phishing,2025-11-11
domain,esdetodo[.]com,phishing,2024-02-23
domain,fluffybascha[.]com,phishing,2025-11-08
domain,forty-something[.]com,phishing,2025-11-11
domain,freaksandfriends[.]com,phishing,2025-11-10
domain,geegletee[.]com,phishing,2025-08-10
domain,georgiayr[.]com,phishing,2025-11-10
domain,goraba[.]com,phishing,2025-11-10
domain,hafikoman[.]com,phishing,2025-11-08
domain,heisseliebe[.]com,phishing,2025-11-10
domain,hurenkontakte[.]com,phishing,2025-11-10
domain,ideallivingsolutions[.]com,phishing,2025-11-10
domain,igreensoft[.]com,phishing,2025-11-10
domain,ilchirone[.]com,phishing,2025-11-10
domain,impexinc[.]com,phishing,2025-11-10
domain,inkdchronicles[.]com,phishing,2025-11-10
domain,intellipex[.]com,phishing,2025-11-10
domain,intercuba[.]com,phishing,2025-11-10
domain,ispamembers[.]com,phishing,2025-11-10
domain,jimmylange[.]com,phishing,2025-11-10
domain,joshuasdodds[.]com,phishing,2025-11-08
domain,kbdav[.]com,phishing,2025-11-10
domain,l2storm[.]com,phishing,2025-11-10
domain,littlenuggetsco[.]com,phishing,2025-11-09
domain,lost-signal[.]com,phishing,2025-11-10
domain,lpdeco[.]com,phishing,2025-11-10
domain,monnalissaboutique[.]com,phishing,2025-11-09
domain,mpoterbaru2024[.]com,phishing,2025-11-10
domain,mykidsfashion[.]com,phishing,2025-11-10
domain,northstarcouncil[.]com,phishing,2025-11-10
domain,qrcodespoweredbygs1[.]com,phishing,2025-11-10
domain,schnaitsee[.]com,phishing,2025-11-18
domain,sercanaydin[.]com,phishing,2025-11-10
domain,srpskazemlja[.]com,phishing,2025-11-11
domain,thelovecity[.]com,phishing,2025-11-10
domain,thermalresistivity[.]com,phishing,2025-11-11
domain,transusasia[.]com,phishing,2025-11-08
domain,tubeunderwater[.]com,phishing,2025-11-08
domain,weddingsarahetemmanuel[.]com,phishing,2025-11-08
domain,winbet299mas[.]com,phishing,2025-11-10
domain,yoopuipui[.]com,phishing,2025-11-10
ipv4,132[.]148[.]73[.]92,phishing,2025-11-08
ipv4,132[.]148[.]74[.]178,phishing,2025-11-08
ipv4,160[.]153[.]176[.]197,phishing,2025-11-08
ipv4,160[.]153[.]178[.]199,phishing,2025-11-08
ipv4,162[.]0[.]214[.]254,phishing,2025-11-08
ipv4,162[.]0[.]228[.]151,phishing,2025-11-08
ipv4,192[.]169[.]177[.]165,phishing,2025-11-08
ipv4,199[.]192[.]23[.]40,phishing,2025-11-08
ipv4,203[.]161[.]60[.]59,phishing,2025-11-08
ipv4,208[.]109[.]244[.]86,phishing,2025-11-08
ipv4,208[.]109[.]39[.]196,phishing,2025-11-08
ipv4,64[.]202[.]186[.]223,phishing,2025-11-08
ipv4,66[.]29[.]133[.]135,phishing,2025-11-08
ipv4,72[.]167[.]224[.]193,phishing,2025-11-08
ipv4,72[.]167[.]52[.]130,phishing,2025-11-08
