type,indicator,classification,detected_date
domain,colnsdital[.]com,malicious,2026-03-23
domain,hotnow[.]sweeffg[.]online,malicious,2026-03-06
domain,zawsterris[.]com,malicious,2026-03-13
domain,megaplaylive[.]com,malicious,2026-03-13
domain,vids[.]chatorizon[.]com,malicious,2025-02-01
domain,weberhunte[.]xyz,malicious,2025-02-01
domain,trixbisalis[.]com,malicious,2026-02-11
domain,solperenes[.]top,malicious,2024-12-24
domain,hakiespenta[.]top,malicious,2025-02-01
domain,bluequez[.]com,malicious,2024-04-05
domain,himuzybum[.]com,malicious,2024-11-28
domain,chechebrick[.]top,malicious,2024-03-07
domain,kunchizerz[.]com,malicious,2025-04-09
domain,d[.]fufecarrol[.]top,malicious,2025-10-28
domain,d[.]herbosfinx[.]com,malicious,2025-01-04
domain,d[.]marraheltin[.]com,malicious,2026-03-14
domain,d[.]panzozerrot[.]com,malicious,2024-04-11
domain,d[.]remotesbuffalo[.]top,malicious,2024-12-24
domain,d[.]ruelomamuy[.]com,malicious,2026-04-14
domain,d[.]santafebuno[.]top,malicious,2025-04-09
domain,d[.]vistertransit[.]com,malicious,2026-04-22
domain,d[.]zerrotmamil[.]com,malicious,2025-04-10
domain,r[.]buffalosolpe[.]top,malicious,2024-12-24
domain,r[.]carrolvassin[.]top,malicious,2025-10-28
domain,r[.]transitcaxip[.]com,malicious,2026-04-22
domain,verifysuper[.]com,malicious,2026-04-22
domain,chat[.]matchnewtoday[.]com,other,2026-04-22
domain,claimandwins[.]com,other,2026-04-22
domain,4lifetips[.]com,other,2026-04-22
