type,indicator,classification,detected_date
domain,4ktv-live[.]blogspot[.]com,malicious,2025-05-20
domain,69xtream[.]blogspot[.]com,malicious,2025-05-20
domain,71-fighterr[.]blogspot[.]com,malicious,2025-05-20
domain,a2iplaynow[.]blogspot[.]com,malicious,2025-05-20
domain,abc-sports-2024[.]blogspot[.]com,malicious,2025-05-20
domain,abc-sports-lives[.]blogspot[.]com,malicious,2025-05-20
domain,acceleratetomb[.]xyz,malicious,2025-05-20
domain,accomodateyours[.]com,malicious,2025-05-20
domain,adotv24h[.]blogspot[.]com,malicious,2025-05-20
domain,afcsports[.]blogspot[.]com,malicious,2025-05-20
domain,ajobpola778[.]blogspot[.]com,malicious,2025-05-20
domain,alice-cannon[.]blogspot[.]com,malicious,2025-05-20
domain,allcheak[.]blogspot[.]com,malicious,2025-05-20
domain,allsport247[.]blogspot[.]com,malicious,2025-05-20
domain,apperetive[.]xyz,malicious,2025-05-20
domain,arkotore[.]blogspot[.]com,malicious,2025-05-20
domain,army-tv-cable[.]blogspot[.]com,malicious,2025-05-20
domain,azhari-huzur[.]blogspot[.]com,malicious,2025-05-20
domain,b2kawmplayer[.]blogspot[.]com,malicious,2025-05-20
domain,bangla-tv-liv[.]blogspot[.]com,malicious,2025-05-20
domain,bcseursports[.]blogspot[.]com,malicious,2025-05-20
domain,bekartravel[.]blogspot[.]com,malicious,2025-05-20
domain,bessa-tv[.]blogspot[.]com,malicious,2025-05-20
domain,blackpink-sports[.]blogspot[.]com,malicious,2025-05-20
domain,boomblasteron247[.]blogspot[.]com,malicious,2025-05-20
domain,bow-ar-vai[.]blogspot[.]com,malicious,2025-05-20
domain,butlumastan[.]blogspot[.]com,malicious,2025-05-20
domain,cambertech[.]xyz,malicious,2025-05-20
domain,cbs-hd-sports[.]blogspot[.]com,malicious,2025-05-20
domain,cccodes[.]cloud,malicious,2025-05-20
domain,chayim247-tv-online[.]blogspot[.]com,malicious,2025-05-20
domain,chesta-korci-bro[.]blogspot[.]com,malicious,2025-05-20
domain,chocklet333[.]blogspot[.]com,malicious,2025-05-20
domain,chodane-bir[.]blogspot[.]com,malicious,2025-05-20
domain,chude-chatni-bekar-katni[.]blogspot[.]com,malicious,2025-05-20
domain,cingchangchung[.]blogspot[.]com,malicious,2025-05-20
domain,cleanupharm[.]com,malicious,2025-05-20
domain,comebabyhdd[.]blogspot[.]com,malicious,2025-05-20
domain,crackleflixz[.]blogspot[.]com,malicious,2025-05-20
domain,crik24[.]blogspot[.]com,malicious,2025-05-20
domain,danakataporitv247[.]blogspot[.]com,malicious,2025-05-20
domain,dankdigs[.]com,malicious,2025-05-20
domain,db-harun-relax[.]blogspot[.]com,malicious,2025-05-20
domain,deka-hoba[.]blogspot[.]com,malicious,2025-05-20
domain,destv24h[.]blogspot[.]com,malicious,2025-05-20
domain,digitdsk[.]org,malicious,2025-05-20
domain,directv-go[.]blogspot[.]com,malicious,2025-05-20
domain,disneyplusxyz[.]blogspot[.]com,malicious,2025-05-20
domain,djalok01[.]blogspot[.]com,malicious,2025-05-20
domain,edygik[.]org,malicious,2025-05-20
domain,encryptalert[.]com,malicious,2025-05-20
domain,extuilowelevid[.]com,malicious,2025-05-20
domain,fabiansec[.]com,malicious,2025-05-20
domain,fata-futu[.]blogspot[.]com,malicious,2025-05-20
domain,ferigs[.]xyz,malicious,2025-05-20
domain,ferma[.]co[.]in,malicious,2025-05-20
domain,fighters-71[.]blogspot[.]com,malicious,2025-05-20
domain,focus-on-your-sports[.]blogspot[.]com,malicious,2025-05-20
domain,followmallu[.]blogspot[.]com,malicious,2025-05-20
domain,free-leaked-clip[.]blogspot[.]com,malicious,2025-05-20
domain,freetvtoday2024[.]blogspot[.]com,malicious,2025-05-20
domain,futor-beta-fata[.]blogspot[.]com,malicious,2025-05-20
domain,game-tonight-tv[.]blogspot[.]com,malicious,2025-05-20
domain,gamedayint24[.]blogspot[.]com,malicious,2025-05-20
domain,gar-maratv[.]blogspot[.]com,malicious,2025-05-20
domain,gen-z-generation[.]blogspot[.]com,malicious,2025-05-20
domain,goalsportstv24[.]blogspot[.]com,malicious,2025-05-20
domain,gtrewe[.]co[.]in,malicious,2025-05-20
domain,hbo-filmbox[.]blogspot[.]com,malicious,2025-05-20
domain,helal260[.]blogspot[.]com,malicious,2025-05-20
domain,hello-hunny-bunny[.]blogspot[.]com,malicious,2025-05-20
domain,hotnewrumor[.]com,malicious,2025-05-20
domain,impliednauseous[.]com,malicious,2025-05-20
domain,impliednauseous[.]xyz,malicious,2025-05-20
domain,ironman-71[.]blogspot[.]com,malicious,2025-05-20
domain,its-magictv[.]blogspot[.]com,malicious,2025-05-20
domain,itsgametime0[.]blogspot[.]com,malicious,2025-05-20
domain,je-amare-ghrina-kore[.]blogspot[.]com,malicious,2025-05-20
domain,jidoscn[.]sbs,malicious,2025-05-20
domain,just-add-marbo[.]blogspot[.]com,malicious,2025-05-20
domain,kafumastan360[.]blogspot[.]com,malicious,2025-05-20
domain,kelepocha-new-bloogpost[.]blogspot[.]com,malicious,2025-05-20
domain,ki-khela-dekkte-aschis[.]blogspot[.]com,malicious,2025-05-20
domain,killerrabby95[.]blogspot[.]com,malicious,2025-05-20
domain,king-legends[.]blogspot[.]com,malicious,2025-05-20
domain,kopasamsu24[.]blogspot[.]com,malicious,2025-05-20
domain,kopde-tuk-kpre[.]blogspot[.]com,malicious,2025-05-20
domain,ksancbsbda[.]blogspot[.]com,malicious,2025-05-20
domain,lalhesportv24[.]blogspot[.]com,malicious,2025-05-20
domain,last-minutes-ago[.]blogspot[.]com,malicious,2025-05-20
domain,lastoptionss[.]blogspot[.]com,malicious,2025-05-20
domain,leak[.]eneu[.]io,malicious,2025-05-20
domain,leakedx999[.]blogspot[.]com,malicious,2025-05-20
domain,legend-heree[.]blogspot[.]com,malicious,2025-05-20
domain,lijit[.]com,malicious,2025-05-20
