type,indicator,classification,detected_date
domain,app-i.us,malicious,2023-09-27
domain,appleonline.help,malicious,2023-08-26
domain,assistance-fr.services,malicious,2025-05-25
domain,dispositivo-apple.us,malicious,2022-08-02
domain,elite-spv4.com,malicious,2026-02-17
domain,en-icloudsupport.info,malicious,2025-03-08
domain,finder-lost-apple.com,malicious,2025-06-02
domain,findmystore-mapps.us,malicious,2025-04-08
domain,gt-device-found.com,malicious,2025-11-27
domain,ialert-ios17location.us,malicious,2024-01-11
domain,icloud-findmyiphone.sa.com,malicious,2025-03-09
domain,icloud-isupports.help,malicious,2025-02-19
domain,icloudgetmaps.live,malicious,2026-01-20
domain,iph-dispositivo-buscar.us,malicious,2026-03-01
domain,iph-iclo-ubicated.us,malicious,2026-03-15
domain,isupport-alert-i.us,malicious,2023-11-16
domain,lcloud-ld-support.us,malicious,2025-02-02
domain,localiser-info.support,malicious,2025-05-16
domain,localizacion-maps.com,malicious,2026-02-06
domain,lsuporteapple.top,malicious,2024-01-02
domain,map-view-app.info,malicious,2026-02-17
domain,mydevice-id.pw,malicious,2024-12-30
domain,satelital-mox.click,malicious,2025-12-29
domain,signidencontrar.com,malicious,2026-03-18
domain,support-requerit.sa.com,malicious,2025-06-29
domain,www-findmy-located-us.us,malicious,2024-05-29
domain,asesorapplecare.com,malicious,2024-02-01
domain,findmy-idevice.info,malicious,2026-02-05
domain,findmy-ld-report.us,malicious,2025-12-30
domain,flndmycloud.info,malicious,2023-12-22
domain,fyndview-e9.info,malicious,2023-12-27
domain,i-ios-support.us,malicious,2023-09-29
domain,icloud-lnfo.me,malicious,2023-05-22
domain,iforgot-apple.info,malicious,2023-12-24
domain,istore-south.za.com,malicious,2024-06-06
domain,lcloud-fml.us,malicious,2025-01-28
domain,lcloud-ilogindmap.us,malicious,2024-05-04
domain,lforget-support.info,malicious,2024-04-26
domain,location-device.us,malicious,2023-01-30
domain,locatiosn-lcloudd.info,malicious,2023-12-20
domain,mydevice-setting.us,malicious,2023-08-10
domain,report-status-iphon.us,malicious,2025-09-02
domain,support-findmylost.com,malicious,2026-02-17
domain,supports-apple.us,malicious,2022-06-16
domain,us-forgotios17.us,malicious,2024-05-05
domain,verifymap.us,malicious,2023-01-30
domain,wvwvw-findmyphone-alert.us,malicious,2026-02-18
domain,wwwcloud.solutions,malicious,2025-09-18
domain,account-apple.help,malicious,2025-06-29
domain,account-finder.info,malicious,2024-05-29
domain,android-services.com.tr,malicious,2024-12-16
domain,cloudd-buscar.us,malicious,2025-12-21
domain,forgotidfind.com,malicious,2026-02-14
domain,gps-location.us,malicious,2023-08-08
domain,iforgot-iddevices-iphone.us,malicious,2024-01-29
domain,ios17reportid.us,malicious,2024-05-27
domain,iph-loc-ubi.us,malicious,2025-04-17
domain,lforget-maps.us,malicious,2025-06-30
domain,lost-apple.com,malicious,2022-08-24
domain,promocoes-cp.online,malicious,2026-04-16
domain,support-help.info,malicious,2024-02-24
domain,wwwlcloud.design,malicious,2025-10-17
domain,za-appleinc.com,malicious,2026-02-17
