type,indicator,classification,detected_date
ip,158[.]94[.]209[.]29,malicious,2026-03-18
ip,62[.]60[.]226[.]248,malicious,2026-03-18
url,hXXp[:]//62[.]60[.]178[.]163/ce369e7324834845[.]php,malicious,2026-03-18
url,hXXps[:]//estrategicadesenvolvimento[.]com[.]br/Webmail/webmail[.]php?email={victim@email},malicious,2025-10-29
url,hXXps[:]//honknft[.]com/connect/rh7_1a7r72zi-kk4k4z?b=1,malicious,2026-03-13
url,hXXps[:]//membros[.]mtcreatingimages[.]com/spotify,malicious,2025-10-10
domain,health[.]tenerium[.]org,malicious,2026-03-06
domain,object[.]brovanti[.]com,malicious,2025-05-20
domain,argea-ai[.]org,malicious,2025-10-27
domain,attgenius[.]com,malicious,2025-07-31
domain,autopilotatt[.]com,malicious,2025-08-03
domain,autotradeatt[.]com,malicious,2025-07-31
domain,bitget-passive-income[.]com,suspicious,2025-10-19
domain,cardanocrypto[.]ch,suspicious,2025-10-30
domain,clarozenvix[.]com,suspicious,2025-10-30
domain,crypto-nsw-app-au[.]com,suspicious,2025-10-30
domain,cryptopassive-swiss-switzerland[.]org,malicious,2026-01-23
domain,echoatt[.]com,malicious,2025-08-03
domain,el-camino-trader[.]com,malicious,2025-10-27
domain,fin-zen-ai[.]com,malicious,2025-10-27
domain,gentlevector[.]com,suspicious,2025-10-30
domain,igniteatt[.]com,malicious,2025-08-03
domain,kyvaronedge82[.]com,malicious,2025-11-23
domain,lumitexaicloud[.]com,malicious,2025-07-10
domain,lumitexaihub[.]com,malicious,2025-09-09
domain,lumitexbasex[.]com,malicious,2025-08-07
domain,lumitexchainai[.]com,malicious,2025-08-10
domain,lumitexconnectx[.]com,malicious,2025-08-08
domain,lumitexflowx[.]com,malicious,2025-07-10
domain,lumitexgridx[.]com,malicious,2025-08-07
domain,lumitexinsightai[.]com,malicious,2025-07-25
domain,lumitexlaunchx[.]com,malicious,2025-08-08
domain,lumitexstackai[.]com,malicious,2025-08-09
domain,lumitexsyncai[.]com,malicious,2025-08-10
domain,mizuai[.]org,malicious,2025-10-27
domain,myhomequote[.]xyz,suspicious,2025-10-27
domain,newton-passive-income[.]net,suspicious,2025-10-30
domain,nexiroka[.]net,malicious,2026-02-18
domain,nuve-ai-invest[.]vip,malicious,2025-10-27
domain,nuvei-bot-neway[.]org,malicious,2025-10-27
domain,nuvei-bot-neway[.]vip,malicious,2025-10-27
domain,opulatrix[.]ch,suspicious,2025-10-30
domain,owleblo[.]net,suspicious,2025-10-30
domain,plumaclean[.]com,malicious,2025-10-27
domain,powerquizmaster[.]com,malicious,2025-10-27
domain,profitlyatt[.]com,malicious,2025-08-03
domain,quietbotatt[.]com,malicious,2025-08-01
domain,rocketatt[.]com,malicious,2025-08-05
domain,samsosi[.]net,malicious,2026-01-14
domain,star-boostmedia[.]com,malicious,2025-08-19
domain,synatra-nexus[.]com,suspicious,2025-08-23
domain,toonie-bot[.]com,suspicious,2026-03-18
domain,tradefyatt[.]com,malicious,2025-08-03
domain,truenorth-yachts[.]com,malicious,2025-10-27
domain,veltimo-ai[.]com,malicious,2025-05-11
domain,wirbeldappix[.]ch,suspicious,2025-10-30
domain,wizardatt[.]com,malicious,2025-08-03
domain,yieldup[.]ch,malicious,2026-02-18
domain,adressinvalidepostescanada-enligne38846[.]info,malicious,2026-01-25
domain,authentifybmo[.]com,malicious,2025-10-11
domain,azgrvfra[.]com,malicious,2025-12-24
domain,bmosecure-portal[.]app,malicious,2026-01-26
domain,bmosecure-webportal[.]com,malicious,2025-12-09
domain,bnc-websecurity[.]com,malicious,2025-10-15
domain,bncloginsecuriter[.]com,malicious,2025-11-26
domain,boost-core[.]today,malicious,2025-09-11
domain,burkespitbbq[.]com,malicious,2026-02-24
domain,ca24watch[.]com,malicious,2026-03-10
domain,canadapostshipment[.]info,malicious,2025-11-08
domain,cibc-registration-access-online[.]com,malicious,2025-11-01
