type,indicator,classification,detected_date
domain,fullcrackz.co,malicious,2022-09-10
domain,youtubevideodownloade.com,malicious,2022-10-10
domain,installppi.co,malicious,2022-10-23
domain,tikapp.cc,malicious,2023-01-16
domain,wireapp.cc,malicious,2023-05-16
domain,7zip.com,malicious,2023-08-07
domain,telegram-install.com,malicious,2023-10-03
domain,golink.support,suspicious,2023-11-11
domain,downloadfreetheme.net,suspicious,2024-07-21
domain,vpnkar.xyz,malicious,2024-09-14
domain,lumiproxy.com,malicious,2025-03-18
domain,smartproxy.me,malicious,2025-09-05
domain,proxyreview.cc,malicious,2025-09-19
domain,foxphone.cc,suspicious,2025-10-13
domain,herosms.vip,malicious,2025-12-31
domain,smshero.vip,malicious,2025-12-31
domain,herosms.cc,malicious,2026-01-01
domain,smartproxy.org,malicious,2026-01-07
domain,speedyshare.com,malicious,2026-01-07
domain,smartproxy.ma,malicious,2026-01-07
domain,smartproxy.tw,malicious,2026-01-07
domain,proxylite.com,malicious,2026-01-07
domain,iproyal.cc,malicious,2026-01-07
domain,smartproxy.ru,malicious,2026-01-07
domain,smartproxy.nl,malicious,2026-01-07
domain,wirevpn.io,malicious,2026-01-07
domain,smartproxy.se,malicious,2026-01-07
domain,vpnhelps.com,malicious,2026-01-07
domain,flyproxy.com,malicious,2026-01-07
domain,proxyshare.com,malicious,2026-01-07
domain,smartproxy.hk,malicious,2026-01-07
domain,bestproxy.com,malicious,2026-01-07
domain,smartproxy.es,malicious,2026-01-07
domain,wirevpn.app,malicious,2026-01-07
domain,tkproxy.org,malicious,2026-01-07
domain,ipidea.org,malicious,2026-01-07
domain,proxysite.org,malicious,2026-01-07
domain,smartproxy.jp,malicious,2026-01-07
domain,ishark.me,malicious,2026-01-07
domain,smartproxy.in,malicious,2026-01-07
domain,naproxy.com,malicious,2026-01-07
domain,get-proxy.com,malicious,2026-01-07
domain,smartproxy.id,malicious,2026-01-07
domain,proxylistdaily.net,malicious,2026-01-07
domain,smartproxy.mx,malicious,2026-01-07
domain,5topvpn.net,malicious,2026-01-07
domain,smartproxy.kr,malicious,2026-01-07
domain,omegaproxy.com,malicious,2026-01-07
domain,smartproxy.it,malicious,2026-01-07
domain,smartproxy.vn,malicious,2026-01-07
domain,wirevpn.cc,malicious,2026-01-07
domain,tiktokvpn.app,malicious,2026-01-07
domain,smartproxy.fr,malicious,2026-01-07
domain,proxysale.com,malicious,2026-01-07
domain,911proxy.com,malicious,2026-01-07
domain,isharkvpn.com,malicious,2026-01-07
domain,smartproxy.ca,malicious,2026-01-07
domain,smartproxy.ai,malicious,2026-01-07
domain,proxy.cc,malicious,2026-01-07
domain,zest.hero-sms.ai,malicious,2026-02-06
domain,neo.herosms.co,malicious,2026-02-06
domain,soc.hero-sms.co,malicious,2026-02-06
domain,nova.smshero.ai,malicious,2026-02-06
domain,spark.herosms.io,malicious,2026-02-06
domain,mint.smshero.com,malicious,2026-02-06
domain,apex.herosms.ai,malicious,2026-02-06
domain,flux.smshero.co,malicious,2026-02-06
domain,glide.smshero.cc,malicious,2026-02-06
domain,zecrack.org,malicious,2026-02-11
domain,imagesetdb.com,malicious,2026-02-11
domain,aoldesktopgolddownloadd.com,malicious,2026-02-11
domain,bintangwarisanhotel.com,malicious,2026-02-11
