type,indicator,classification,detected_date
domain,21cloudcoin[.]com,scam,2024-02-13
domain,21cloudesk[.]com,scam,2024-02-13
domain,21coincloud[.]com,scam,2024-02-13
domain,365actioncoin[.]com,scam,2022-08-31
domain,365amazementcoin[.]com,scam,2022-08-31
domain,365amazingcoin[.]com,scam,2022-08-31
domain,365amzcoin[.]com,scam,2022-08-31
domain,365balancecoin[.]com,scam,2022-08-31
domain,365basedcoin[.]com,scam,2022-08-31
domain,365bestcoin[.]com,scam,2022-08-31
domain,365blessedcoin[.]com,scam,2022-08-31
domain,365brandcoin[.]com,scam,2022-08-31
domain,365brandedcoin[.]com,scam,2022-08-31
domain,365bravecoin[.]com,scam,2022-08-31
domain,365buildcoin[.]com,scam,2022-08-31
domain,365capcoin[.]com,scam,2022-08-31
domain,365certaincoin[.]com,scam,2022-08-31
domain,365codifycoin[.]com,scam,2022-08-31
domain,365coinaction[.]com,scam,2022-08-31
domain,365coinamazement[.]com,scam,2022-08-31
domain,365coinamazing[.]com,scam,2022-08-31
domain,365coinamz[.]com,scam,2022-08-31
domain,365coinanswer[.]com,scam,2022-08-31
domain,365coinapp[.]com,scam,2022-08-31
domain,365coinbalance[.]com,scam,2022-08-31
domain,365coinbased[.]com,scam,2022-08-31
domain,365coinbest[.]com,scam,2022-08-31
domain,365coinblessed[.]com,scam,2022-08-31
domain,365coinbrand[.]com,scam,2022-08-31
domain,365coinbranded[.]com,scam,2022-08-31
domain,365coinbrave[.]com,scam,2022-08-31
domain,365coinbuild[.]com,scam,2022-08-31
domain,365coincap[.]com,scam,2022-08-31
domain,365coincertain[.]com,scam,2022-08-31
domain,365coincodify[.]com,scam,2022-08-31
domain,365coincore[.]com,scam,2022-08-31
domain,365coincurious[.]com,scam,2022-08-31
domain,365coindeluxe[.]com,scam,2022-08-31
domain,365coindemand[.]com,scam,2022-08-31
domain,365coindesk[.]com,scam,2022-08-31
domain,365coindomain[.]com,scam,2022-08-31
domain,365coineg[.]com,scam,2022-08-31
domain,365coinenormous[.]com,scam,2022-08-31
domain,365coinexp[.]com,scam,2022-08-31
domain,365coinextra[.]com,scam,2022-08-31
domain,365coinfactory[.]com,scam,2022-08-31
domain,365coinfascinating[.]com,scam,2022-08-31
domain,365coinfeed[.]com,scam,2022-08-31
domain,365coinfinance[.]com,scam,2022-08-31
domain,365coinfresh[.]com,scam,2022-08-31
domain,365coinfreshest[.]com,scam,2022-08-31
domain,365coinfuture[.]com,scam,2022-08-31
domain,365coinfuturistical[.]com,scam,2022-08-31
domain,365coinglobe[.]com,scam,2022-08-31
domain,365coingold[.]com,scam,2022-08-31
domain,365coingrand[.]com,scam,2022-08-31
domain,365coingrande[.]com,scam,2022-08-31
domain,365coingreat[.]com,scam,2022-08-31
domain,365coingreatest[.]com,scam,2022-08-31
domain,365coinhub[.]com,scam,2022-08-31
domain,365coinhuge[.]com,scam,2022-08-31
domain,365coinideal[.]com,scam,2022-08-31
domain,365coinimpact[.]com,scam,2022-08-31
domain,365coinimprove[.]com,scam,2022-08-31
domain,365coinimproving[.]com,scam,2022-08-31
domain,365coininfluence[.]com,scam,2022-08-31
domain,365coininvest[.]com,scam,2022-08-31
domain,365coininvestment[.]com,scam,2022-08-31
domain,365coinking[.]com,scam,2022-08-31
domain,365coinlead[.]com,scam,2022-08-31
domain,365coinllux[.]com,scam,2022-08-31
domain,365coinlux[.]com,scam,2022-08-31
domain,365coinluxury[.]com,scam,2022-08-31
domain,365coinmaintain[.]com,scam,2022-08-31
domain,365coinmark[.]com,scam,2022-08-31
domain,365coinmarket[.]com,scam,2022-08-31
domain,365coinmaster[.]com,scam,2022-08-31
domain,365coinmax[.]com,scam,2022-08-31
domain,365coinmeta[.]com,scam,2022-08-31
domain,365coinmnp[.]com,scam,2022-08-31
domain,365coinmode[.]com,scam,2022-08-31
domain,365coinmulti[.]com,scam,2022-08-31
domain,365coinplatin[.]com,scam,2022-08-31
domain,365coinpowerful[.]com,scam,2022-08-31
domain,365coinprecious[.]com,scam,2022-08-31
domain,365coinpremise[.]com,scam,2022-08-31
domain,365coinprestige[.]com,scam,2022-08-31
domain,365coinprestigious[.]com,scam,2022-08-31
domain,365coinpriceless[.]com,scam,2022-08-31
domain,365coinpro[.]com,scam,2022-08-31
domain,365coinproduct[.]com,scam,2022-08-31
domain,365coinprofit[.]com,scam,2022-08-31
domain,365coinpromise[.]com,scam,2022-08-31
domain,365coinpropelling[.]com,scam,2022-08-31
domain,365coinrise[.]com,scam,2022-08-31
domain,365coinrising[.]com,scam,2022-08-31
domain,365coinsafe[.]com,scam,2022-08-31
domain,365coinsecured[.]com,scam,2022-08-31
domain,365coinstack[.]com,scam,2022-08-31
domain,365coinstandard[.]com,scam,2022-08-31
domain,365coinsustain[.]com,scam,2022-08-31
domain,365coinsustainable[.]com,scam,2022-08-31
domain,365cointeam[.]com,scam,2022-08-31
domain,365cointech[.]com,scam,2022-08-31
domain,365cointecknet[.]com,scam,2022-08-31
domain,365cointop[.]com,scam,2022-08-31
domain,365cointp[.]com,scam,2022-08-31
domain,365cointrading[.]com,scam,2022-08-31
domain,365cointrend[.]com,scam,2022-08-31
domain,365cointrendy[.]com,scam,2022-08-31
domain,365cointsl[.]com,scam,2022-08-31
domain,365coinunit[.]com,scam,2022-08-31
domain,365coinunited[.]com,scam,2022-08-31
domain,365coinuprise[.]com,scam,2022-08-31
domain,365coinweb[.]com,scam,2022-08-31
domain,365coinworld[.]com,scam,2022-08-31
domain,365corecoin[.]com,scam,2022-08-31
domain,365curiouscoin[.]com,scam,2022-08-31
domain,365deluxecoin[.]com,scam,2022-08-31
domain,365demandcoin[.]com,scam,2022-08-31
domain,365desiredcoin[.]com,scam,2022-08-31
domain,365deskcoin[.]com,scam,2022-08-31
domain,365deskmarket[.]com,scam,2022-08-31
domain,365domaincoin[.]com,scam,2022-08-31
domain,365egcoin[.]com,scam,2022-08-31
domain,365expcoin[.]com,scam,2022-08-31
domain,365explorecoin[.]com,scam,2022-08-31
domain,365expocoin[.]com,scam,2022-08-31
domain,365extracoin[.]com,scam,2022-08-31
domain,365factorycoin[.]com,scam,2022-08-31
domain,365fascinatingcoin[.]com,scam,2022-08-31
domain,365feedcoin[.]com,scam,2022-08-31
domain,365freshcoin[.]com,scam,2022-08-31
domain,365freshestcoin[.]com,scam,2022-08-31
domain,365futurecoin[.]com,scam,2022-08-31
domain,365globecoin[.]com,scam,2022-08-31
domain,365goldcoin[.]com,scam,2022-08-31
domain,365grandcoin[.]com,scam,2022-08-31
domain,365grandecoin[.]com,scam,2022-08-31
domain,365greatcoin[.]com,scam,2022-08-31
domain,365greatestcoin[.]com,scam,2022-08-31
domain,365hubcoin[.]com,scam,2022-08-31
domain,365hugecoin[.]com,scam,2022-08-31
domain,365ideacoin[.]com,scam,2022-08-31
domain,365idealcoin[.]com,scam,2022-08-31
domain,365impactcoin[.]com,scam,2022-08-31
domain,365improvecoin[.]com,scam,2022-08-31
domain,365improvingcoin[.]com,scam,2022-08-31
domain,365influencecoin[.]com,scam,2022-08-31
domain,365investmentcoin[.]com,scam,2022-08-31
domain,365kingcoin[.]com,scam,2022-08-31
domain,365leadcoin[.]com,scam,2022-08-31
domain,365lluxcoin[.]com,scam,2022-08-31
domain,365luxcoin[.]com,scam,2022-08-31
domain,365maintaincoin[.]com,scam,2022-08-31
domain,365markcoin[.]com,scam,2022-08-31
domain,365marketcap[.]com,scam,2022-08-31
domain,365marketcoin[.]com,scam,2022-08-31
domain,365marketdesk[.]com,scam,2022-08-31
domain,365mastercoin[.]com,scam,2022-08-31
domain,365maxcoin[.]com,scam,2022-08-31
domain,365mnpcoin[.]com,scam,2022-08-31
domain,365modecoin[.]com,scam,2022-08-31
domain,365motratcoin[.]com,scam,2022-08-31
domain,365multicoin[.]com,scam,2022-08-31
domain,365nowcoin[.]com,scam,2022-08-31
domain,365platincap[.]com,scam,2022-08-31
domain,365platincoin[.]com,scam,2022-08-31
domain,365platindesk[.]com,scam,2022-08-31
domain,365powercoin[.]com,scam,2022-08-31
domain,365powerfulcoin[.]com,scam,2022-08-31
domain,365preciouscoin[.]com,scam,2022-08-31
domain,365premisecoin[.]com,scam,2022-08-31
domain,365prestigecoin[.]com,scam,2022-08-31
domain,365prestigiouscoin[.]com,scam,2022-08-31
domain,365pricelesscoin[.]com,scam,2022-08-31
domain,365procoin[.]com,scam,2022-08-31
domain,365profitcoin[.]com,scam,2022-08-31
domain,365profxmarket[.]com,scam,2022-08-31
domain,365promisecoin[.]com,scam,2022-08-31
domain,365propellingcoin[.]com,scam,2022-08-31
domain,365prospectcoin[.]com,scam,2022-08-31
domain,365prosperitycoin[.]com,scam,2022-08-31
domain,365risecoin[.]com,scam,2022-08-31
domain,365risingcoin[.]com,scam,2022-08-31
domain,365safecoin[.]com,scam,2022-08-31
domain,365securedcoin[.]com,scam,2022-08-31
domain,365smartcoin[.]com,scam,2022-08-31
domain,365stackcoin[.]com,scam,2022-08-31
domain,365standardcoin[.]com,scam,2022-08-31
domain,365sustainablecoin[.]com,scam,2022-08-31
domain,365sustaincoin[.]com,scam,2022-08-31
domain,365teamcoin[.]com,scam,2022-08-31
domain,365techcoin[.]com,scam,2022-08-31
domain,365tecknetcoin[.]com,scam,2022-08-31
domain,365topcoin[.]com,scam,2022-08-31
domain,365tpcoin[.]com,scam,2022-08-31
domain,365tradecoin[.]com,scam,2022-08-31
domain,365tradingcoin[.]com,scam,2022-08-31
domain,365trendingcoin[.]com,scam,2022-08-31
domain,365trendycoin[.]com,scam,2022-08-31
domain,365tslcoin[.]com,scam,2022-08-31
domain,365unitcoin[.]com,scam,2022-08-31
domain,365unitedcoin[.]com,scam,2022-08-31
domain,365uprisecoin[.]com,scam,2022-08-31
domain,365webcoin[.]com,scam,2022-08-31
domain,365worldcoin[.]com,scam,2022-08-31
domain,spartan-trade[.]com,scam,2022-11-09
domain,networkfsi[.]com,scam,2022-11-09
ip,45[.]63[.]119[.]177,scam,2022-12-16
