type,indicator,classification,detected_date
ipv4,107[.]173[.]166[.]107,spam,2025-03-18
ipv4,109[.]200[.]24[.]11,spam,2025-03-18
ipv4,122[.]183[.]248[.]102,spam,2025-03-18
ipv4,173[.]224[.]126[.]37,spam,2025-03-18
ipv4,175[.]9[.]54[.]154,spam,2025-03-18
ipv4,185[.]117[.]90[.]212,spam,2025-03-18
ipv4,185[.]209[.]161[.]155,spam,2025-03-18
ipv4,185[.]229[.]66[.]117,spam,2025-03-18
ipv4,194[.]169[.]172[.]188,spam,2025-03-18
ipv4,45[.]133[.]174[.]25,spam,2025-03-18
ipv4,5[.]230[.]209[.]74,spam,2025-03-18
ipv4,5[.]230[.]210[.]77,spam,2025-03-18
domain,2030aguitamex[.]com[.]mx,phishing,2025-03-18
domain,21centurymedia[.]com,phishing,2025-03-18
domain,24x7bus[.]com,phishing,2025-03-18
domain,2ur[.]jp,phishing,2025-03-18
domain,364prm[.]com,phishing,2025-03-18
domain,476b97da2611984[.]ru,phishing,2025-03-18
domain,4802cld[.]top,phishing,2025-03-18
domain,4xweb[.]info,phishing,2025-03-18
domain,78130[.]org,phishing,2025-03-18
domain,8020mktg[.]com,phishing,2025-03-18
domain,a1congruop[.]com,phishing,2025-03-18
domain,aabndm1[.]sa[.]com,phishing,2025-03-18
domain,aamirsinteractivetechnology[.]com,phishing,2025-03-18
domain,aazamzandi[.]com,phishing,2025-03-18
domain,abid1[.]ru[.]com,phishing,2025-03-18
domain,aboutlove[.]co[.]in,phishing,2025-03-18
domain,abtradebd[.]com,phishing,2025-03-18
domain,abv-59[.]top,phishing,2025-03-18
domain,accountscorowagolfclub[.]online,phishing,2025-03-18
domain,acctcheck[.]top,phishing,2025-03-18
domain,aceandra[.]top,phishing,2025-03-18
domain,acentivo[.]top,phishing,2025-03-18
domain,acoscize[.]top,phishing,2025-03-18
domain,adeilous[.]top,phishing,2025-03-18
domain,adhesivestopbonds[.]online,phishing,2025-03-18
domain,adimart[.]xyz,phishing,2025-03-18
domain,admin-sysserv[.]pro,phishing,2025-03-18
domain,adminsupport[.]pro,phishing,2025-03-18
domain,advmpa[.]com[.]br,phishing,2025-03-18
domain,aet--group[.]com,phishing,2025-03-18
domain,afingenieria[.]cl,phishing,2025-03-18
domain,afloattraders[.]com,phishing,2025-03-18
domain,afogaradas[.]za[.]com,phishing,2025-03-18
domain,aisiren[.]top,phishing,2025-03-18
domain,ajmoversandpackers[.]com,phishing,2025-03-18
domain,akrd[.]net,phishing,2025-03-18
domain,aktifeticaret[.]com,phishing,2025-03-18
domain,alayeforeg[.]com,phishing,2025-03-18
domain,aldiyarsmart[.]com,phishing,2025-03-18
domain,alexistravels[.]co[.]uk,phishing,2025-03-18
domain,alfadubai[.]info,phishing,2025-03-18
domain,alfeizarias[.]ru[.]com,phishing,2025-03-18
domain,alieveta[.]top,phishing,2025-03-18
domain,alkoukhonline[.]com,phishing,2025-03-18
domain,allteamsd0cumentv0ip[.]ru,phishing,2025-03-18
domain,alphaoil[.]uz,phishing,2025-03-18
domain,alsafeerhajumra[.]com,phishing,2025-03-18
domain,amancarrental[.]com,phishing,2025-03-18
domain,amaptysbio[.]com,phishing,2025-03-18
domain,amazndlz[.]com,phishing,2025-03-18
domain,ameto[.]cfd,phishing,2025-03-18
domain,amirhabibi[.]org,phishing,2025-03-18
domain,ampkupagoda127[.]site,phishing,2025-03-18
domain,ampnmaxxpagoda127[.]site,phishing,2025-03-18
domain,andersonsilva[.]art,phishing,2025-03-18
domain,andesmu[.]com,phishing,2025-03-18
domain,angelpllants[.]com,phishing,2025-03-18
domain,anime-manga-manhwa[.]com,phishing,2025-03-18
domain,ankaraakasyahaliyikama[.]com,phishing,2025-03-18
domain,ankitadigitalwave[.]in,phishing,2025-03-18
domain,anvatmyhoa[.]com,phishing,2025-03-18
domain,aqua-clean[.]website,phishing,2025-03-18
domain,arsburo[.]ru,phishing,2025-03-18
domain,arunikakreasi[.]com,phishing,2025-03-18
domain,ascup[.]pro,phishing,2025-03-18
domain,asiatechsoruce[.]com,phishing,2025-03-18
domain,asmacron[.]top,phishing,2025-03-18
domain,aspador[.]org[.]br,phishing,2025-03-18
domain,astercol[.]top,phishing,2025-03-18
domain,atilayelektronik[.]com[.]tr,phishing,2025-03-18
domain,atlantic-ridgefinance[.]com,phishing,2025-03-18
domain,attemeah[.]top,phishing,2025-03-18
domain,aucqfz4[.]sa[.]com,phishing,2025-03-18
domain,auth-secureadmin[.]work,phishing,2025-03-18
domain,auth-serv-s1[.]ru,phishing,2025-03-18
domain,authenticationaction[.]online,phishing,2025-03-18
domain,authsec-scur1[.]com,phishing,2025-03-18
domain,avaasa[.]com[.]mx,phishing,2025-03-18
domain,avervesk[.]top,phishing,2025-03-18
domain,avgs1982[.]com,phishing,2025-03-18
domain,aviareps[.]org,phishing,2025-03-18
domain,bacaladilla[.]sa[.]com,phishing,2025-03-18
domain,bakingitems[.]pk,phishing,2025-03-18
domain,baluktot[.]com,phishing,2025-03-18
domain,bavirez[.]ru[.]com,phishing,2025-03-18
domain,bcaclnigeria[.]com,phishing,2025-03-18
domain,bcoterceirizacao[.]com[.]br,phishing,2025-03-18
domain,beatrum[.]click,phishing,2025-03-18
domain,bebizicon[.]com,phishing,2025-03-18
domain,belgeselsemo[.]com,phishing,2025-03-18
domain,beroorats[.]za[.]com,phishing,2025-03-18
domain,bestabacco[.]com,phishing,2025-03-18
domain,bioniccholo[.]com,phishing,2025-03-18
domain,birdsinflights[.]icu,phishing,2025-03-18
domain,bisnispasti[.]com,phishing,2025-03-18
domain,bitly[.]cx,phishing,2025-03-18
domain,bizcardmachine[.]com,phishing,2025-03-18
domain,bizmug[.]com,phishing,2025-03-18
domain,blackwaterconsulting[.]site,phishing,2025-03-18
domain,blasttim1[.]com,phishing,2025-03-18
domain,bleivrrd[.]life,phishing,2025-03-18
domain,bloomfreshglobals[.]com,phishing,2025-03-18
domain,blue-export[.]shop,phishing,2025-03-18
domain,bluegrasetours[.]com,phishing,2025-03-18
domain,bmuclebanon[.]com,phishing,2025-03-18
domain,booking-support[.]com,phishing,2025-03-18
domain,bornaengineering[.]net,phishing,2025-03-18
domain,boschcng[.]com,phishing,2025-03-18
domain,box2boxstore[.]com[.]br,phishing,2025-03-18
domain,braagg[.]com,phishing,2025-03-18
domain,brakesmiles-3server[.]com,phishing,2025-03-18
domain,brfgm[.]org,phishing,2025-03-18
domain,buffetfoundations[.]com,phishing,2025-03-18
domain,bulautos[.]com,phishing,2025-03-18
domain,cajassas[.]com,phishing,2025-03-18
domain,candleandlace[.]com,phishing,2025-03-18
domain,capital-ea[.]com,phishing,2025-03-18
domain,caringhearts[.]foundation,phishing,2025-03-18
domain,carriertrucks[.]com,phishing,2025-03-18
domain,ccainstitute[.]ac,phishing,2025-03-18
domain,celebbiopedia[.]com,phishing,2025-03-18
domain,cenfeng[.]top,phishing,2025-03-18
domain,centlaesing[.]com,phishing,2025-03-18
domain,centralcromatica[.]com[.]mx,phishing,2025-03-18
domain,cf23[.]com,phishing,2025-03-18
domain,chacarainteligente[.]com[.]br,phishing,2025-03-18
domain,chamhaven[.]com,phishing,2025-03-18
domain,charteredparcel[.]com,phishing,2025-03-18
domain,chawalabhai[.]com,phishing,2025-03-18
domain,chbyasociadoss[.]com,phishing,2025-03-18
domain,cherubicindia-net[.]com,phishing,2025-03-18
domain,citiwatchng[.]com,phishing,2025-03-18
domain,claerlab[.]com,phishing,2025-03-18
domain,clicksud[.]com[.]tr,phishing,2025-03-18
domain,cliniccenterinc[.]com,phishing,2025-03-18
domain,clumsy-fir-mandible[.]glitch[.]me,phishing,2025-03-18
domain,coastscolors[.]top,phishing,2025-03-18
domain,codingbeats[.]com,phishing,2025-03-18
domain,coiceapparel[.]ru[.]com,phishing,2025-03-18
domain,comancheemail[.]com,phishing,2025-03-18
domain,comotower[.]com,phishing,2025-03-18
domain,connectcausse[.]com,phishing,2025-03-18
domain,conscientecolectivo[.]com,phishing,2025-03-18
domain,consultoralimentarianissi[.]com,phishing,2025-03-18
domain,contractorprofinder[.]com,phishing,2025-03-18
domain,contructoralopeznegrete[.]com,phishing,2025-03-18
domain,cornerpoetry[.]com,phishing,2025-03-18
domain,corpcitvperu[.]com,phishing,2025-03-18
domain,corporateints[.]com,phishing,2025-03-18
domain,correioindependente[.]com[.]br,phishing,2025-03-18
domain,cosmicgaia[.]net,phishing,2025-03-18
domain,cotudo[.]za[.]com,phishing,2025-03-18
domain,couvreur-toiture-belgique[.]be,phishing,2025-03-18
domain,coyldaconstructoin[.]com,phishing,2025-03-18
domain,cpyvaez[.]com,phishing,2025-03-18
domain,cqwzwm[.]com,phishing,2025-03-18
domain,cracktune[.]com,phishing,2025-03-18
domain,credarmor[.]online,phishing,2025-03-18
domain,crustcloud[.]io,phishing,2025-03-18
domain,cs-dhl[.]com,phishing,2025-03-18
domain,cscwelds[.]com,phishing,2025-03-18
domain,currentlysmtp[.]com,phishing,2025-03-18
domain,cutlerycroner[.]net,phishing,2025-03-18
domain,cxknittlng[.]com,phishing,2025-03-18
domain,cynthiagill[.]info,phishing,2025-03-18
domain,daccacche[.]cam,phishing,2025-03-18
domain,daredoor[.]com,phishing,2025-03-18
domain,date4oix[.]ru[.]com,phishing,2025-03-18
domain,davilago[.]com[.]br,phishing,2025-03-18
domain,dcijhffdchhnvfdealendarntree[.]support,phishing,2025-03-18
domain,dcllsupply[.]com,phishing,2025-03-18
domain,decrailte-hk[.]com,phishing,2025-03-18
domain,denningyoung[.]com,phishing,2025-03-18
domain,dentaus[.]com,phishing,2025-03-18
domain,dentellariais[.]ru[.]com,phishing,2025-03-18
domain,deseabas[.]nl,phishing,2025-03-18
domain,desentuber[.]com[.]br,phishing,2025-03-18
domain,developerapi[.]com[.]br,phishing,2025-03-18
domain,dhakabusinessclub[.]xyz,phishing,2025-03-18
domain,dispersebeauty[.]com,phishing,2025-03-18
domain,dissendi[.]com,phishing,2025-03-18
domain,dixonplumbnginc[.]com,phishing,2025-03-18
domain,dkim[.]capital,phishing,2025-03-18
domain,dmailsrv[.]com,phishing,2025-03-18
domain,doblaseis[.]za[.]com,phishing,2025-03-18
domain,dobrapay[.]com,phishing,2025-03-18
domain,documentgivernow[.]top,phishing,2025-03-18
domain,dominicancatering[.]com,phishing,2025-03-18
domain,doperoms[.]org,phishing,2025-03-18
domain,dorrunrubber[.]com,phishing,2025-03-18
domain,dropsafe[.]xyz,phishing,2025-03-18
domain,drsciencepublications[.]com,phishing,2025-03-18
domain,dtosd[.]com,phishing,2025-03-18
domain,dyno-0ne[.]com,phishing,2025-03-18
domain,e2-8[.]dev,phishing,2025-03-18
domain,eacalive[.]org,phishing,2025-03-18
domain,earth-colour2019[.]com,phishing,2025-03-18
domain,earth-era[.]com,phishing,2025-03-18
domain,earthworkslx[.]com,phishing,2025-03-18
domain,eborshew[.]top,phishing,2025-03-18
domain,eburstwebsite[.]com,phishing,2025-03-18
domain,ecoatlass[.]top,phishing,2025-03-18
domain,ecotrech[.]top,phishing,2025-03-18
