type,indicator,classification,detected_date
domain,omnatuor[.]com,malvertising,2022-12-20
domain,61-nmobads[.]com,malvertising,2022-06-29
domain,669fb3128e4b4[.]com,malvertising,2022-06-29
domain,aaettsewpbyc[.]com,malvertising,2022-06-29
domain,aafysksjv[.]xyz,malvertising,2022-07-06
domain,aagbvpgc[.]com,malvertising,2022-06-29
domain,aamergrbdr[.]xyz,malvertising,2022-07-06
domain,abatvgeqcaackgh[.]com,malvertising,2022-06-29
domain,abbronzongor[.]com,malvertising,2022-06-24
domain,abdurantom[.]com,malvertising,2022-06-24
domain,abouixgccbne[.]com,malvertising,2022-06-29
domain,acelacien[.]com,malvertising,2022-06-24
domain,acifvmelnyqt[.]com,malvertising,2022-06-29
domain,ackuotagowr[.]com,malvertising,2022-06-29
domain,acpwmktsfhtep[.]com,malvertising,2022-06-29
domain,acqxkqcv[.]top,malvertising,2022-07-06
domain,adioeghyuxup[.]top,malvertising,2022-06-29
domain,adsemirate[.]com,malvertising,2022-06-24
domain,aecyrdlcvjdfcus[.]com,malvertising,2022-06-29
domain,aefrkrqoj[.]com,malvertising,2022-06-29
domain,aejwwnkhulyqi[.]top,malvertising,2022-07-06
domain,aevutrtig[.]top,malvertising,2022-07-06
domain,agfompphv[.]com,malvertising,2022-06-29
domain,agvvcawiy[.]top,malvertising,2022-07-06
domain,ahaha[.]space,malvertising,2022-06-24
domain,ahnsgsjvgsyex[.]top,malvertising,2022-07-06
domain,aibsubul[.]net,malvertising,2022-06-29
domain,aichaima[.]top,malvertising,2022-06-29
domain,ajestigie[.]com,malvertising,2022-06-24
domain,akfftagyhxn[.]com,malvertising,2022-06-29
domain,aklsyovkpoyv[.]com,malvertising,2022-06-29
domain,alaldidw[.]top,malvertising,2022-06-29
domain,alegnoackerg[.]com,malvertising,2022-06-29
domain,allcoolnewz[.]com,malvertising,2022-06-29
domain,alspearowa[.]com,malvertising,2022-06-24
domain,altkjufkrwf[.]top,malvertising,2022-06-29
domain,amdrjtyp[.]com,malvertising,2022-06-29
domain,amsomtcjqkr[.]top,malvertising,2022-07-06
domain,andkhgcwmpgbeds[.]top,malvertising,2022-07-06
domain,aoyhevunpc[.]top,malvertising,2022-07-06
domain,apfxbfpkkpmwi[.]top,malvertising,2022-07-06
domain,aplidhree[.]com,malvertising,2022-06-29
domain,app-curve-world[.]com,malvertising,2022-06-29
domain,aqfdgrbm[.]top,malvertising,2022-07-06
domain,aqfyppavuae[.]xyz,malvertising,2022-07-06
domain,aqjthdnxk[.]top,malvertising,2022-07-06
domain,arrgpxgbvdkaoek[.]xyz,malvertising,2022-06-29
domain,asklinklanger[.]com,malvertising,2022-06-24
domain,aslaprason[.]com,malvertising,2022-06-24
domain,aslvsarqswa[.]top,malvertising,2022-07-06
domain,astarboka[.]com,malvertising,2022-06-29
domain,astcarbinkom[.]com,malvertising,2022-06-24
domain,astoecia[.]com,malvertising,2022-06-24
domain,atlhrfnpc[.]top,malvertising,2022-07-06
domain,atpurqxrac[.]xyz,malvertising,2022-07-06
domain,atslnmbksmbaedw[.]top,malvertising,2022-07-06
