type,indicator,classification,detected_date
domain,mtbwebverif3[.]com,malicious,2022-11-18
domain,mtb3mobiie[.]com,malicious,2022-11-17
domain,mtb1t0psupp0rtz[.]com,malicious,2023-04-01
domain,mt3bsupports[.]com,malicious,2022-10-25
domain,allowedvillage[.]xyz,malicious,2022-10-24
domain,aimdaddy[.]com,malicious,2022-10-24
domain,mtbsuportz4[.]com,malicious,2023-02-08
domain,citizensverly0[.]com,malicious,2022-10-12
domain,qadriyasubhaniya[.]com,malicious,2022-10-25
domain,samcrte[.]com,malicious,2022-10-24
domain,mtbsuportz865[.]com,malicious,2022-11-09
domain,ato-mygov1[.]com,malicious,2023-02-03
domain,mtb10reviews[.]com,malicious,2022-12-14
domain,mtb-customer[.]com,malicious,2022-11-18
domain,apexebank[.]com,malicious,2022-10-25
domain,mtb3quickverif[.]com,malicious,2022-11-22
domain,mtbsuportz9264[.]com,malicious,2023-01-05
domain,mtb-securem0bile[.]com,malicious,2022-12-19
domain,allignmentstyles[.]xyz,malicious,2022-10-24
domain,mycitibankunion[.]com,malicious,2022-10-25
domain,mtbsuportz661[.]com,malicious,2023-04-11
domain,mtbonlinesupports3[.]com,malicious,2022-10-25
domain,mtbsup0rtsonllne[.]com,malicious,2023-03-20
domain,mtbonllnesup0rts[.]com,malicious,2023-03-30
domain,mtbsupoprtsonlines00[.]com,malicious,2023-03-14
domain,mtb0nlinewebverifl3[.]com,malicious,2023-02-24
domain,mtbsuportz05[.]com,malicious,2023-04-02
domain,nbtsupp0rt2[.]com,malicious,2023-08-23
domain,americanfirstsupporrts30[.]com,malicious,2023-05-16
domain,hostergeek[.]com,malicious,2022-10-24
domain,americafirstsup0rrtz[.]com,malicious,2023-05-02
domain,americanfirstsupporrts22[.]com,malicious,2023-05-02
domain,americafirstsuporrts112[.]com,malicious,2023-05-22
domain,mtbsuportz912[.]com,malicious,2023-05-20
domain,americanfirstsupporrts69[.]com,malicious,2023-08-04
domain,nbtsupp0rt1[.]com,malicious,2023-08-22
domain,nbtsupp0rt07[.]com,malicious,2023-08-25
domain,mtbsuportz92[.]com,malicious,2023-07-20
domain,mtbsuportz385[.]com,malicious,2023-07-24
domain,americafirstsup0rts247[.]com,malicious,2023-05-25
domain,mtbsuportz642[.]com,malicious,2023-05-28
