type,indicator,classification,detected_date
domain,marblemediaworks[.]cc,malicious,2024-12-11
domain,marblemediaseo[.]cc,malicious,2024-12-04
domain,ukseo[.]click,malicious,2024-05-28
domain,seoclick-works[.]click,malicious,2025-02-20
domain,profiletree-seo[.]click,malicious,2024-07-26
domain,dreamseo[.]cc,malicious,2024-01-28
domain,dialektaseo[.]click,malicious,2024-05-19
domain,seoclick-tasks[.]cc,malicious,2024-08-12
domain,seoclick-works[.]cc,malicious,2024-08-12
domain,creatorseoireland[.]cc,malicious,2024-06-26
domain,creatorseo-apps[.]cc,malicious,2024-06-27
domain,appradaseo[.]cc,malicious,2024-10-25
domain,sdmgrowthseo[.]cc,malicious,2024-09-18
domain,seoclick-tasks[.]click,malicious,2025-02-20
domain,hawksearchseos[.]cc,malicious,2024-04-26
