type,indicator,classification,detected_date
domain,vekn[.]link,malicious,2023-06-08
domain,ucre[.]link,malicious,2023-06-08
domain,cbvr[.]info,malicious,2023-06-08
domain,unkw[.]link,malicious,2023-06-08
domain,nujt[.]link,malicious,2023-06-08
domain,jtjp[.]link,malicious,2023-06-11
domain,ghnt[.]info,malicious,2023-06-11
domain,rtlc[.]cc,malicious,2023-06-12
domain,qkdn[.]cc,malicious,2023-06-13
domain,ysxp[.]cc,malicious,2023-06-14
domain,dlfg[.]cc,malicious,2023-06-14
domain,hjax[.]cc,malicious,2023-06-14
domain,ihwi[.]cc,malicious,2023-06-19
domain,ngms[.]me,malicious,2023-06-22
domain,kslm[.]me,malicious,2023-06-23
domain,gf1[.]us,malicious,2023-06-24
domain,zdmb[.]link,malicious,2023-08-21
domain,evnw[.]link,malicious,2023-08-21
domain,yqni[.]me,malicious,2023-06-28
domain,oceb[.]link,malicious,2023-07-03
domain,dfiz[.]link,malicious,2023-07-03
domain,zvco[.]in,malicious,2023-07-04
domain,xtrh[.]in,malicious,2023-07-05
domain,haww[.]me,malicious,2023-07-07
domain,hw0[.]us,malicious,2023-07-07
domain,jdug[.]me,malicious,2023-07-08
domain,vxzj[.]cc,malicious,2023-07-10
domain,zarn[.]link,malicious,2023-07-10
domain,rgxk[.]me,malicious,2023-07-12
domain,btxl[.]me,malicious,2023-07-13
domain,jece[.]me,malicious,2023-07-13
domain,azxr[.]me,malicious,2023-07-13
domain,alhq[.]info,malicious,2023-08-25
domain,izxn[.]link,malicious,2023-08-26
domain,jzaq[.]me,malicious,2023-08-26
domain,xwep[.]me,malicious,2023-08-26
domain,v0q[.]us,malicious,2023-08-19
domain,cdbt[.]me,malicious,2023-06-17
domain,v0f[.]us,malicious,2023-08-19
domain,buqc[.]in,malicious,2023-05-27
domain,ytbb[.]link,malicious,2023-08-27
domain,sdqr[.]link,malicious,2023-08-27
domain,hj1[.]us,malicious,2023-08-21
domain,kjku[.]me,malicious,2023-05-20
domain,xfxg[.]me,malicious,2023-08-29
domain,dyqw[.]in,malicious,2023-05-03
domain,evzt[.]in,malicious,2023-05-03
domain,gfrx[.]me,malicious,2023-08-29
domain,tqpe[.]in,malicious,2023-08-30
domain,buhf[.]us,malicious,2023-08-31
domain,lywn[.]me,malicious,2023-08-31
domain,rlwf[.]in,malicious,2023-05-06
domain,cwjv[.]in,malicious,2023-05-06
domain,gsvw[.]us,malicious,2023-08-24
domain,qanr[.]link,malicious,2023-05-08
domain,kfao[.]info,malicious,2023-05-08
domain,qqxd[.]info,malicious,2023-05-08
domain,xtbi[.]info,malicious,2023-05-08
domain,kxer[.]info,malicious,2023-05-08
domain,pmni[.]link,malicious,2023-05-08
domain,kxvu[.]cc,malicious,2023-09-03
domain,oqnm[.]us,malicious,2023-09-05
domain,rgwk[.]me,malicious,2023-09-04
domain,rcvq[.]cc,malicious,2023-06-09
domain,sjmb[.]in,malicious,2023-05-10
domain,ombc[.]me,malicious,2023-09-04
domain,vsxy[.]info,malicious,2023-05-11
domain,oonr[.]info,malicious,2023-09-05
domain,svjv[.]me,malicious,2023-08-17
domain,zgse[.]info,malicious,2023-05-27
domain,w8y[.]us,malicious,2023-09-07
domain,dfuv[.]site,malicious,2023-06-10
domain,yvsb[.]info,malicious,2023-05-29
domain,qnce[.]me,malicious,2023-08-16
domain,t6t[.]us,malicious,2023-08-20
domain,qu0[.]us,malicious,2023-08-07
domain,7wf[.]us,malicious,2023-07-28
domain,kkmn[.]info,malicious,2023-05-05
domain,mhwa[.]site,malicious,2023-06-08
domain,vpvo[.]link,malicious,2023-06-11
domain,sdsg[.]me,malicious,2023-08-17
domain,ehjh[.]cc,malicious,2023-07-02
domain,qkyj[.]me,malicious,2023-08-16
domain,xi3[.]us,malicious,2023-07-31
domain,g0w[.]us,malicious,2023-08-04
domain,psvr[.]me,malicious,2023-08-17
