type,indicator,classification,detected_date
domain,6rnd9mitqt1rz82[.]top,malicious,2024-04-19
domain,7r7suw52ls00i20[.]top,malicious,2024-04-19
domain,9w9ohb5vky5p3dz[.]top,malicious,2024-04-19
domain,ai-courses-12139[.]bond,suspicious,2023-11-27
domain,ai-courses-13069[.]bond,suspicious,2023-11-27
domain,ai-courses-14729[.]bond,suspicious,2023-11-19
domain,ai-courses-16651[.]bond,suspicious,2023-10-13
domain,ai-courses-17621[.]bond,suspicious,2023-11-27
domain,ai-courses2023-in[.]bond,suspicious,2023-11-14
domain,ai-courses2023in[.]bond,suspicious,2023-11-14
domain,ai-courses2024in[.]bond,suspicious,2023-11-21
domain,ai-courses-2024-pe[.]bond,suspicious,2023-11-28
domain,ai-courses-2024-pk[.]bond,suspicious,2023-11-28
domain,ai-courses-2024sa[.]bond,suspicious,2023-11-28
domain,apartments-for-rent-72254[.]bond,malicious,2024-05-17
domain,app-software-development-italy[.]bond,suspicious,2023-11-24
domain,app-software-development-training-52686[.]bond,suspicious,2023-11-23
domain,app-software-development-training-54449[.]bond,suspicious,2023-09-17
domain,app-software-development-training-55554[.]bond,suspicious,2023-09-20
domain,app-software-development-training-57549[.]bond,suspicious,2023-11-10
domain,app-software-development-training-usa[.]bond,suspicious,2023-09-18
domain,area-diploman24[.]com,suspicious,2023-04-05
domain,area-diplomans24[.]com,suspicious,2023-04-05
domain,area-diploms24[.]com,suspicious,2023-04-05
domain,area-diplomy24[.]com,suspicious,2023-04-05
domain,areas-diplom24[.]com,suspicious,2023-04-05
domain,areas-diplom[.]com,suspicious,2023-04-05
domain,areas-diplomy24[.]com,suspicious,2023-04-05
domain,arenadiploma[.]com,suspicious,2023-03-15
domain,arena-diplomsy24[.]com,suspicious,2022-10-28
domain,arena-diplomy24[.]com,suspicious,2022-10-29
domain,arriveplanetsnow[.]buzz,malicious,2022-08-01
domain,assisted-living-11607[.]bond,suspicious,2023-11-06
domain,bjbntaxmh09r09e[.]top,malicious,2024-04-19
domain,bra-portable-air-conditioner-9o[.]bond,suspicious,2023-10-09
domain,castrocountyjail[.]org,malicious,2023-07-16
domain,coatthinkverb[.]buzz,malicious,2022-07-12
domain,col-travel-insurance-3n[.]bond,suspicious,2023-11-03
domain,debtgenepub[.]live,malicious,2023-12-19
domain,dintromparsup[.]com,malicious,2023-06-28
domain,h87e1mbm0u5f85[.]xyz,malicious,2022-11-27
domain,hadsparmirat[.]com,suspicious,2023-10-01
domain,hemophilia-treatment-41433[.]bond,suspicious,2024-07-10
domain,killeencityjail[.]org,malicious,2023-08-07
domain,lasalleparishjail[.]org,malicious,2023-09-25
domain,laser-skin-treatment-19799[.]bond,malicious,2024-05-13
domain,miamidadecountyjail[.]org,malicious,2023-06-03
domain,n8j1nau3os4otr[.]xyz,malicious,2023-03-10
domain,northcentralregionaljail[.]org,malicious,2023-11-12
domain,online-degrees-16099[.]bond,suspicious,2023-09-12
domain,online-jobs-42681[.]bond,suspicious,2023-10-15
domain,perfumes-76753[.]bond,suspicious,2023-10-09
domain,poemtrainsurprise[.]top,malicious,2022-04-08
domain,pool-repair-35063[.]bond,malicious,2024-05-13
domain,portable-air-conditioner-12322[.]bond,suspicious,2023-10-22
domain,qcj4pirltkpqrcu[.]top,malicious,2024-04-19
domain,quarterneighbourforward[.]xyz,malicious,2022-05-17
domain,river-cruises-13890[.]bond,suspicious,2023-09-18
domain,roofing-services-10175[.]bond,suspicious,2023-11-07
domain,rsa-roofing-services-8n[.]bond,suspicious,2023-11-08
domain,security-surveillance-cameras-42345[.]bond,suspicious,2023-10-30
domain,tires-book-robust[.]bond,malicious,2024-05-13
domain,travel-insurance-43494[.]bond,suspicious,2023-10-04
domain,uk-river-cruises-8n[.]bond,suspicious,2023-11-08
domain,usa-online-degree-29o[.]bond,suspicious,2023-10-30
domain,welding-machines-10120[.]bond,suspicious,2023-11-14
domain,welding-machines--11015[.]bond,suspicious,2023-11-06
domain,welding-machines--31109[.]bond,suspicious,2023-11-06
domain,welding-machines-35450[.]bond,suspicious,2023-11-30
domain,welding-machines-56397[.]bond,suspicious,2023-11-15
domain,welding-machines--56717[.]bond,suspicious,2023-11-06
domain,welding-machines--75378[.]bond,suspicious,2023-10-30
domain,welding-machines-76813[.]bond,suspicious,2023-11-12
domain,welding-machines--97422[.]bond,suspicious,2023-11-06
domain,welding-machines-99146[.]bond,suspicious,2023-11-29
domain,xnnxr1jquyupjc[.]xyz,malicious,2023-05-31
domain,xqajkr8fbrdryp0[.]xyz,malicious,2023-03-12
domain,xryqcgcb2upb28k[.]xyz,malicious,2023-03-15
domain,yoga-classes-35904[.]bond,suspicious,2023-10-09
