type,indicator,classification,detected_date
domain,xoilackvb[.]cc,malicious,2026-08-13
domain,rogerperrybook[.]com,malicious,2026-08-13
domain,creditstacks[.]com,malicious,2026-08-13
domain,newempressmagazine[.]com,malicious,2026-08-13
domain,salutebistro[.]com,malicious,2026-08-13
domain,dwellsautomotive[.]io,malicious,2026-08-13
domain,artbyciara[.]com,malicious,2026-08-13
domain,rpg-club[.]com,malicious,2026-08-13
domain,resol-kyoto-k[.]com,malicious,2026-08-13
domain,1840brewing[.]com,malicious,2026-08-13
domain,miracleleaguesouthhills[.]org,malicious,2026-08-13
domain,australasianzookeeping[.]org,malicious,2026-08-13
domain,scribblediffusion[.]com,malicious,2026-08-13
domain,carbfacepod[.]com,malicious,2026-08-13
domain,sevendollarclick[.]com,malicious,2026-08-13
domain,nouvelanbelge[.]com,malicious,2026-08-13
domain,cosmosup[.]com,malicious,2026-08-13
domain,thegeraldseattle[.]com,malicious,2026-08-13
domain,kavasoft[.]com,malicious,2026-08-13
domain,hamdardcenter[.]org,malicious,2026-08-13
domain,tickettannoy[.]com,malicious,2026-08-13
domain,butchvoices[.]com,malicious,2026-08-13
domain,xoilac365hh[.]cc,malicious,2026-08-13
domain,xoilac365ee[.]cc,malicious,2026-08-13
domain,rakhoixj[.]cc,malicious,2026-08-13
domain,xoilac86v[.]cc,malicious,2026-08-13
domain,xoilac86l[.]cc,malicious,2026-08-13
domain,90phutcu[.]tv,malicious,2026-08-13
domain,90phutcr[.]tv,malicious,2026-08-13
domain,srve[.]io,malicious,2026-08-13
domain,wallpaperup[.]com,malicious,2026-08-13
domain,watch-monster[.]com,malicious,2026-08-13
domain,exposim[.]io,malicious,2026-08-13
domain,trackmyscorezone[.]com,malicious,2026-08-13
domain,cakhiarr[.]io,malicious,2026-08-13
domain,xoilacxyq[.]tv,malicious,2026-08-13
domain,cashcoach[.]io,malicious,2026-08-13
domain,gavangtv2vn[.]com,malicious,2026-08-13
domain,solop[.]io,malicious,2026-08-13
domain,xoilac86ee[.]tv,malicious,2026-08-13
domain,xoilacxyk[.]tv,malicious,2026-08-13
domain,villawh[.]com,malicious,2026-08-13
domain,jworks[.]io,malicious,2026-08-13
domain,rakhoizf[.]cc,malicious,2026-08-13
domain,sales-tracker[.]io,malicious,2026-08-13
domain,cakhiazva[.]tv,malicious,2026-08-13
domain,acies-cg[.]com,malicious,2026-08-13
domain,institutobancopalmas[.]org,malicious,2026-08-13
domain,colatv88[.]live,malicious,2026-08-13
domain,ivalledelrio[.]cl,malicious,2026-08-13
