type,indicator,classification,detected_date
domain,b36cname[.]site,malicious,2023-05-18
domain,ultra-vest[.]one,malicious,2024-02-06
domain,kingsman-adv[.]org,malicious,2023-12-28
domain,abyss-world-asset[.]net,malicious,2024-02-06
domain,pointpayment[.]net,malicious,2024-02-07
domain,makeyourpay[.]com,malicious,2024-02-07
domain,bppsa[.]com,malicious,2024-02-07
domain,betatransfer[.]io,suspicious,2024-02-07
domain,crypto-payer[.]co,malicious,2024-02-07
domain,auproject[.]xyz,malicious,2023-05-18
domain,badanie-pl[.]site,malicious,2023-05-18
domain,blog-vcnews[.]site,malicious,2023-05-18
domain,capital-inwest[.]site,malicious,2023-05-18
domain,dasms[.]xyz,malicious,2023-05-16
domain,duums[.]xyz,malicious,2023-05-18
domain,esbopehan[.]xyz,malicious,2024-01-06
domain,futtes[.]site,malicious,2023-05-18
domain,gernik[.]site,malicious,2024-01-24
domain,groovetonprogramz[.]xyz,malicious,2023-05-18
domain,lintant[.]top,malicious,2023-11-16
domain,mipinves[.]site,malicious,2023-05-18
domain,mixx-today[.]site,malicious,2023-05-18
domain,newprogrms[.]xyz,malicious,2023-05-18
domain,oksitepl[.]site,malicious,2023-05-18
domain,onlinedietslimm[.]xyz,malicious,2023-05-18
domain,prostprogr[.]xyz,malicious,2023-05-18
domain,rslimess[.]xyz,malicious,2023-05-18
domain,satin1[.]xyz,malicious,2023-05-18
domain,sunproflts[.]site,malicious,2023-05-18
domain,program-delo[.]site,malicious,2023-09-26
domain,program-lid[.]site,malicious,2023-05-18
domain,program-lids[.]site,malicious,2023-05-18
domain,program-life[.]xyz,malicious,2023-05-18
domain,program-plus[.]site,malicious,2023-09-08
domain,program-plus[.]xyz,malicious,2023-05-18
domain,program-pro2[.]xyz,malicious,2023-05-18
domain,program-world[.]site,malicious,2023-05-18
domain,programbndr[.]site,malicious,2023-10-24
domain,programerstr[.]xyz,malicious,2023-05-18
domain,programfuture[.]site,malicious,2023-05-18
domain,programinject07[.]site,malicious,2023-05-18
domain,programir[.]xyz,malicious,2023-05-18
domain,programm-one[.]site,malicious,2023-05-18
domain,programs-pl[.]site,malicious,2023-05-18
domain,formaa[.]top,malicious,2023-05-18
domain,formew[.]top,malicious,2023-04-06
domain,formhh[.]top,malicious,2023-04-06
domain,formpr[.]top,malicious,2023-04-06
domain,anticriss-es[.]xyz,malicious,2023-05-18
domain,anticrisses[.]xyz,malicious,2023-05-18
domain,anticriz[.]site,malicious,2023-05-18
domain,anticrsss-ep[.]xyz,malicious,2023-05-18
domain,anticrsss1-ep[.]xyz,malicious,2022-10-21
domain,anticrys[.]xyz,malicious,2023-05-18
domain,anticrysz[.]site,malicious,2023-05-05
domain,antikrys[.]xyz,malicious,2023-05-18
domain,zol0to-rus[.]xyz,malicious,2023-05-18
domain,zolotoru[.]site,malicious,2023-05-18
domain,xoloto-ru[.]xyz,malicious,2023-05-18
domain,zolotoros[.]site,malicious,2023-05-18
domain,byseniscon[.]top,malicious,2023-07-06
domain,worldtrades[.]top,malicious,2023-04-08
domain,tesxprofit[.]top,malicious,2023-03-30
domain,imsol[.]site,malicious,2023-05-18
domain,lareg[.]site,malicious,2023-05-05
domain,mstpr[.]site,malicious,2023-10-24
domain,tayki[.]site,malicious,2023-05-05
domain,teraw[.]site,malicious,2023-05-15
domain,newtrds[.]xyz,malicious,2022-10-26
domain,newtrdin[.]xyz,malicious,2022-10-21
domain,newstrdinfo[.]xyz,malicious,2022-10-21
domain,newstrdinfos[.]xyz,malicious,2023-05-05
domain,gelopro[.]com,malicious,2023-09-28
domain,welerpro[.]com,malicious,2023-09-28
domain,glowtrad[.]com,malicious,2023-09-28
domain,strprogram[.]com,malicious,2023-09-28
domain,newlvlpro[.]top,malicious,2023-03-15
domain,newplatf[.]top,malicious,2023-04-06
domain,newplattf[.]top,malicious,2023-04-06
domain,newplf[.]top,malicious,2023-05-18
domain,newprogf[.]top,malicious,2023-04-06
domain,maxhongtrade[.]life,malicious,2023-05-18
domain,firehongtrade[.]life,malicious,2023-05-04
domain,librahongtrade[.]life,malicious,2023-05-10
domain,noppyw[.]top,malicious,2024-02-26
domain,fonden[.]site,malicious,2024-02-25
domain,dinox[.]site,malicious,2024-02-25
domain,wodrx[.]xyz,malicious,2024-02-25
domain,inseto[.]site,malicious,2024-02-25
domain,premmium[.]site,malicious,2024-02-25
domain,taptixot[.]xyz,malicious,2024-02-24
domain,suuccess[.]site,malicious,2024-02-24
domain,buddaa[.]xyz,malicious,2024-02-24
domain,nimprove[.]top,malicious,2024-02-24
domain,platformm[.]site,malicious,2024-02-24
domain,diwpek[.]site,malicious,2024-02-23
domain,maxlux[.]xyz,malicious,2024-02-23
domain,newchhance[.]top,malicious,2024-02-23
domain,wlossofficial[.]xyz,malicious,2024-02-23
domain,lideb[.]top,malicious,2024-02-22
domain,reachyrigy[.]site,malicious,2024-02-22
domain,fisec[.]top,malicious,2024-02-21
domain,platformkod[.]online,malicious,2024-02-21
domain,infplatnew[.]online,malicious,2024-02-21
domain,progitl[.]online,malicious,2024-02-21
domain,metesp[.]xyz,malicious,2024-02-20
domain,vibewawe[.]site,malicious,2024-02-20
domain,clubformen[.]site,malicious,2024-02-19
domain,pixipl[.]xyz,malicious,2024-02-19
domain,kitoll[.]xyz,malicious,2024-02-19
domain,biolicca[.]online,malicious,2024-02-19
domain,inccomme[.]com,malicious,2024-02-19
domain,lonwysox[.]site,malicious,2024-02-19
domain,biztok[.]site,malicious,2024-02-19
domain,progslimsk[.]xyz,malicious,2024-02-19
domain,weallthh[.]com,malicious,2024-02-19
domain,ecclippse[.]site,malicious,2024-02-19
domain,qurmade[.]xyz,malicious,2024-02-19
domain,upptoyou[.]xyz,malicious,2024-02-19
domain,partneronline[.]site,malicious,2024-02-19
domain,nattive[.]xyz,malicious,2024-02-19
domain,qwantam[.]online,malicious,2024-02-19
domain,waagge[.]online,malicious,2024-02-19
domain,labramtum[.]online,malicious,2024-02-19
domain,gmusken[.]online,malicious,2024-02-19
domain,truproggs[.]top,malicious,2024-02-18
domain,maseczka[.]top,malicious,2024-02-18
domain,actyprogss[.]top,malicious,2024-02-17
domain,pomochaleness[.]top,malicious,2024-02-16
domain,alinter[.]top,malicious,2024-02-15
domain,grandd[.]xyz,malicious,2024-02-15
domain,melaofisial[.]xyz,malicious,2024-02-15
domain,top-strx[.]site,malicious,2024-02-15
domain,amalg[.]live,malicious,2024-02-15
domain,bitupes[.]xyz,malicious,2024-02-15
domain,platform-info[.]xyz,malicious,2024-02-15
domain,bionicca[.]online,malicious,2024-02-15
domain,revolesbit[.]xyz,malicious,2024-02-15
domain,masslis[.]top,malicious,2024-02-15
domain,metxst[.]top,malicious,2024-02-15
domain,netaproj[.]top,malicious,2024-02-15
domain,vipstaris[.]top,malicious,2024-02-15
domain,tradstatsx[.]top,malicious,2024-02-15
domain,metikt[.]top,malicious,2024-02-15
domain,vip-krisp[.]site,malicious,2024-02-15
domain,sheelpor[.]top,malicious,2024-02-14
domain,luxxeeu[.]com,malicious,2024-02-14
domain,euterne[.]com,malicious,2024-02-14
domain,constat[.]site,malicious,2024-02-14
domain,recoiin[.]xyz,malicious,2024-02-13
domain,canssin[.]top,malicious,2024-02-12
domain,infosio[.]top,malicious,2024-02-12
domain,profinves[.]top,malicious,2024-02-12
domain,logterd[.]top,malicious,2024-02-12
domain,maxprogt[.]top,malicious,2024-02-10
domain,itunt[.]xyz,malicious,2024-02-09
domain,grm-new[.]xyz,malicious,2024-02-09
domain,justoplatf[.]online,malicious,2024-02-09
domain,tr-offici[.]xyz,malicious,2024-02-09
domain,tesslonline[.]site,malicious,2024-02-09
domain,prl-tlx[.]xyz,malicious,2024-02-09
domain,parliam-tara[.]xyz,malicious,2024-02-09
domain,akturtrad[.]xyz,malicious,2024-02-09
domain,onlinelibra[.]site,malicious,2024-02-09
domain,hustleside[.]xyz,malicious,2024-02-09
domain,maxiaztr[.]top,malicious,2024-02-09
domain,asals[.]top,malicious,2024-02-07
domain,quantrade[.]org,malicious,2024-02-07
domain,crypto-payer[.]one,malicious,2024-02-07
domain,cryptech[.]icu,malicious,2024-02-07
domain,cryptech[.]site,malicious,2024-02-07
domain,partnersspecialcapitalltd[.]trade,malicious,2024-02-06
domain,parkfinancialconsulting[.]org,malicious,2024-02-06
domain,rominvest-market[.]net,malicious,2024-02-06
domain,rgnfinancialplanningltd[.]com,malicious,2024-02-06
domain,kappibar[.]xyz,malicious,2024-02-06
domain,amarell[.]xyz,malicious,2024-02-06
domain,meetonews[.]xyz,malicious,2024-02-06
domain,trednig[.]top,malicious,2024-02-04
domain,bitproms[.]top,malicious,2024-02-04
domain,chimman[.]top,malicious,2024-02-04
domain,inncrease[.]top,malicious,2024-02-03
domain,soeassy[.]top,malicious,2024-02-03
domain,prooffit[.]top,malicious,2024-02-03
domain,innwest[.]top,malicious,2024-02-03
domain,manasan[.]top,malicious,2024-02-03
domain,mt-online[.]xyz,malicious,2024-02-03
domain,prossaud[.]top,malicious,2024-02-03
domain,platformtrad[.]xyz,malicious,2024-02-03
domain,mtprogram[.]xyz,malicious,2024-02-03
domain,tutorel[.]top,malicious,2024-02-03
domain,tsqwz[.]xyz,malicious,2024-02-03
domain,programwatonline[.]xyz,malicious,2024-02-03
domain,kolotas[.]top,malicious,2024-02-03
domain,cidreo[.]info,malicious,2024-02-03
domain,beneffit[.]top,malicious,2024-02-03
domain,constat[.]xyz,malicious,2024-02-02
