type,indicator,classification,detected_date
domain,smsw1[.]xyz,smishing,2022-04-07
domain,mfso1[.]xyz,smishing,2022-04-07
domain,pely2[.]xyz,smishing,2022-04-07
domain,wtwx2[.]xyz,smishing,2022-04-07
domain,khed3[.]xyz,smishing,2022-04-07
domain,mgdi3[.]xyz,smishing,2022-04-07
domain,laea4[.]xyz,smishing,2022-04-07
domain,omyq4[.]xyz,smishing,2022-04-07
domain,qyef5[.]xyz,smishing,2022-04-07
domain,idvk5[.]xyz,smishing,2022-04-07
domain,dqvy6[.]xyz,smishing,2022-04-07
domain,dnmc6[.]xyz,smishing,2022-04-07
domain,igtf7[.]xyz,smishing,2022-04-07
domain,kiwv7[.]xyz,smishing,2022-04-07
domain,jjao8[.]xyz,smishing,2022-04-07
domain,kvde8[.]xyz,smishing,2022-04-07
domain,okil9[.]xyz,smishing,2022-04-07
domain,harn9[.]xyz,smishing,2022-04-07
domain,nill10[.]xyz,smishing,2022-04-07
domain,ulht10[.]xyz,smishing,2022-04-07
domain,nijf11[.]xyz,smishing,2022-04-07
domain,qgjt11[.]xyz,smishing,2022-04-07
domain,hcip12[.]xyz,smishing,2022-04-07
domain,jcal12[.]xyz,smishing,2022-04-07
domain,rezb13[.]xyz,smishing,2022-04-07
domain,tslz13[.]xyz,smishing,2022-04-07
domain,hlns14[.]xyz,smishing,2022-04-07
domain,izhm14[.]xyz,smishing,2022-04-07
domain,bgfv15[.]xyz,smishing,2022-04-07
domain,jbeq15[.]xyz,smishing,2022-04-07
domain,mbdq16[.]xyz,smishing,2022-04-07
domain,acgv16[.]xyz,smishing,2022-04-07
domain,nkeh17[.]xyz,smishing,2022-04-07
domain,wzae17[.]xyz,smishing,2022-04-07
domain,rtpe18[.]xyz,smishing,2022-04-07
domain,yhan18[.]xyz,smishing,2022-04-07
domain,yamn19[.]xyz,smishing,2022-04-07
domain,sjwf19[.]xyz,smishing,2022-04-07
domain,zdip20[.]xyz,smishing,2022-04-07
domain,culs20[.]xyz,smishing,2022-04-07
domain,ezks21[.]xyz,smishing,2022-04-07
domain,ysfz21[.]xyz,smishing,2022-04-07
domain,cmrc22[.]xyz,smishing,2022-04-07
domain,vuau22[.]xyz,smishing,2022-04-07
domain,jqiz23[.]xyz,smishing,2022-04-07
domain,hadq23[.]xyz,smishing,2022-04-07
domain,ixyv24[.]xyz,smishing,2022-04-07
domain,lhkp24[.]xyz,smishing,2022-04-07
domain,hpfd25[.]xyz,smishing,2022-04-07
domain,vjhk25[.]xyz,smishing,2022-04-07
domain,uyqb26[.]xyz,smishing,2022-04-07
