type,indicator,classification,detected_date
domain,aaaaa655[.]com,malicious,2023-03-29
domain,uu5512uu[.]com,malicious,2023-06-15
domain,uu2722uu[.]com,malicious,2023-06-15
domain,aaaaa866[.]com,malicious,2023-03-29
domain,aaaaa366[.]com,malicious,2023-03-29
domain,aaaaa13677[.]com,malicious,2023-04-03
domain,bbbbb13677[.]com,malicious,2023-04-03
domain,ccccc13677[.]com,malicious,2023-04-03
domain,ddddd13677[.]com,malicious,2023-04-03
domain,eeeee13677[.]com,malicious,2023-04-03
domain,fffff13677[.]com,malicious,2023-04-03
domain,ggggg13677[.]com,malicious,2023-04-03
domain,hhhhh13677[.]com,malicious,2023-04-03
domain,iiiii13677[.]com,malicious,2023-04-03
domain,jjjjj13677[.]com,malicious,2023-04-03
domain,kkkkk13677[.]com,malicious,2023-04-03
domain,lllll13677[.]com,malicious,2023-04-03
domain,mmmmm13677[.]com,malicious,2023-04-03
domain,nnnnn13677[.]com,malicious,2023-04-03
domain,ooooo13677[.]com,malicious,2023-04-03
domain,ppppp13677[.]com,malicious,2023-04-03
domain,qqqqq13677[.]com,malicious,2023-04-03
domain,rrrrr13677[.]com,malicious,2023-04-03
domain,sssss13677[.]com,malicious,2023-04-03
domain,ttttt13677[.]com,malicious,2023-04-03
domain,uuuuu13677[.]com,malicious,2023-04-03
domain,vvvvv13677[.]com,malicious,2023-04-03
domain,wwwww13677[.]com,malicious,2023-04-03
domain,xxxxx13677[.]com,malicious,2023-04-03
domain,yyyyy13677[.]com,malicious,2023-04-03
domain,zzzzz13677[.]com,malicious,2023-04-03
domain,aaaaa558[.]com,malicious,2023-03-29
domain,aaaaa288[.]com,malicious,2023-03-29
domain,aaaaa266[.]com,malicious,2023-03-29
domain,aaaaa299[.]com,malicious,2023-03-29
domain,aaaaa388[.]com,malicious,2023-03-29
domain,aaaaa399[.]com,malicious,2023-03-29
domain,aaaaa556[.]com,malicious,2023-03-29
domain,aaaaa559[.]com,malicious,2023-03-29
domain,aaaaa566[.]com,malicious,2023-03-29
domain,aaaaa661[.]com,malicious,2023-03-29
domain,aaaaa662[.]com,malicious,2023-03-29
domain,aaaaa663[.]com,malicious,2023-03-29
domain,aaaaa666[.]com,malicious,2023-03-29
domain,aaaaa669[.]com,malicious,2023-03-29
domain,aaaaa699[.]com,malicious,2023-03-29
domain,aaaaa766[.]com,malicious,2023-03-29
domain,aaaaa799[.]com,malicious,2023-03-29
domain,aaaaa855[.]com,malicious,2023-03-29
domain,aaaaa883[.]com,malicious,2023-03-29
domain,aaaaa188[.]com,malicious,2023-07-20
domain,aaaaa557[.]com,malicious,2023-03-29
domain,aaaaa588[.]com,malicious,2023-03-29
domain,aaaaa599[.]com,malicious,2023-03-29
domain,aaaaa668[.]com,malicious,2023-03-29
domain,aaaaa882[.]com,malicious,2023-03-29
domain,aaaaa885[.]com,malicious,2023-03-29
domain,aaaaa886[.]com,malicious,2023-03-29
domain,tzxmhi[.]com,malicious,2023-06-30
domain,qczuqw8[.]com,malicious,2023-06-30
domain,qbyyvg3[.]com,malicious,2023-06-30
domain,ntvxbf7[.]com,malicious,2023-06-30
domain,n5319[.]com,malicious,2023-06-30
domain,kqvkvc3[.]com,malicious,2023-06-30
domain,kmrcum2[.]com,malicious,2023-06-30
domain,dfwskw7[.]com,malicious,2023-06-30
domain,79181531227[.]com,malicious,2023-06-30
domain,5951835ccc[.]com,malicious,2023-06-30
domain,hh778899hh[.]com,malicious,2023-06-30
domain,gg778899gg[.]com,malicious,2023-06-30
domain,bb778899bb[.]com,malicious,2023-06-30
domain,aa559955aa[.]com,malicious,2023-06-30
domain,aa665577aa[.]com,malicious,2023-06-15
domain,95659331957[.]com,malicious,2023-06-30
domain,5336767ccc[.]com,malicious,2023-06-30
domain,585227ybn[.]com,malicious,2022-10-30
domain,dd12345zz[.]com,malicious,2023-06-30
domain,dd12345cc[.]com,malicious,2023-06-30
domain,dd12345bb[.]com,malicious,2023-06-30
domain,cc12345yy[.]com,malicious,2023-06-30
domain,bb12345yy[.]com,malicious,2023-06-30
domain,bb12345bb[.]com,malicious,2023-06-21
domain,935676yfc[.]com,malicious,2022-10-30
domain,dd12345aa[.]com,malicious,2023-06-30
domain,n5632[.]com,malicious,2023-06-30
domain,ff12345aa[.]com,malicious,2023-06-30
domain,n8537[.]com,malicious,2023-06-30
domain,8889519[.]com,malicious,2023-06-30
domain,aa12345yy[.]com,malicious,2023-06-30
domain,aa12345xx[.]com,malicious,2023-06-30
domain,aa12345dd[.]com,malicious,2023-06-30
domain,3718896ccc[.]com,malicious,2023-06-30
domain,xox9226[.]com,malicious,2023-06-30
domain,jsoctn9[.]com,malicious,2023-06-30
domain,99888aaa[.]com,malicious,2022-11-21
domain,897263tqs[.]com,malicious,2023-06-30
domain,8823ddd[.]com,malicious,2023-06-30
domain,nkfgsm8[.]com,malicious,2023-06-30
domain,99887aaa[.]com,malicious,2022-11-21
domain,8822ddd[.]com,malicious,2023-06-30
domain,93261587768[.]com,malicious,2023-06-30
domain,88995aaa[.]com,malicious,2022-11-21
domain,xox8956[.]com,malicious,2023-06-30
domain,88889aaa[.]com,malicious,2022-11-21
domain,rgjeow3[.]com,malicious,2023-06-30
domain,n5891[.]com,malicious,2023-06-30
domain,gxexpq8[.]com,malicious,2023-06-30
domain,bob4885[.]com,malicious,2023-06-30
domain,66888aaa[.]com,malicious,2022-11-21
domain,n6515[.]com,malicious,2023-06-30
domain,n6321[.]com,malicious,2023-06-30
domain,9913ddd[.]com,malicious,2023-06-30
domain,88883aaa[.]com,malicious,2022-11-21
domain,6627ddd[.]com,malicious,2023-06-30
domain,n3731[.]com,malicious,2023-06-30
domain,66377311795[.]com,malicious,2023-06-30
domain,n6327[.]com,malicious,2023-06-30
domain,n3839[.]com,malicious,2023-06-30
domain,n3762[.]com,malicious,2023-06-30
domain,aa889977aa[.]com,malicious,2023-06-30
domain,veugcz8[.]com,malicious,2023-06-30
domain,8889513[.]com,malicious,2023-06-30
domain,66665aaa[.]com,malicious,2022-11-21
domain,n7328[.]com,malicious,2023-06-30
domain,vxxtxb8[.]com,malicious,2023-06-30
domain,88888aaa[.]com,malicious,2023-06-30
domain,8688qq[.]com,malicious,2022-11-11
domain,jqaaua8[.]com,malicious,2023-06-30
domain,bob5858[.]com,malicious,2023-06-30
domain,zmhmaz8[.]com,malicious,2023-06-30
