type,indicator,classification,detected_date
domain,yikilanbinalar[.]com[.]tr,legitimate,2023-02-10
domain,enkazbildirim[.]org,legitimate,2023-02-10
domain,howtohelpturkey-syriaearthquakevictims[.]org,legitimate,2023-02-10
domain,hepsiemlak[.]com,legitimate,2023-02-10
domain,kizilay[.]org[.]tr,legitimate,2023-02-10
domain,misafirimol[.]trair[.]com[.]tr,legitimate,2023-02-10
domain,depremihtiyac[.]com,legitimate,2023-02-10
domain,akut[.]org[.]tr,legitimate,2023-02-10
domain,adresdeprem[.]com,legitimate,2023-02-10
domain,earthquaketurkey[.]com,legitimate,2023-02-10
domain,depremyardim[.]com,legitimate,2023-02-10
domain,ahbap[.]org,legitimate,2023-02-10
domain,yakinimibul[.]net,legitimate,2023-02-10
domain,afad[.]gov[.]tr,legitimate,2023-02-10
domain,magdur[.]com,legitimate,2023-02-10
domain,deprem[.]basarsoft[.]com[.]tr,legitimate,2023-02-10
domain,ihtiyacharitasi[.]org,legitimate,2023-02-10
domain,beniyiyim[.]com,legitimate,2023-02-10
domain,jotform[.]com,legitimate,2023-02-10
domain,afetharita[.]com,legitimate,2023-02-10
domain,stream[.]epctex[.]com,legitimate,2023-02-10
domain,afetbilgi[.]com,legitimate,2023-02-10
domain,deprem[.]io,legitimate,2023-02-10
domain,depremyardim[.]org,legitimate,2023-02-10
