type,indicator,classification,detected_date
domain,100-top-ukraine-women-sites[.]com,legitimate,2022-03-09
domain,1001minutesforukraine[.]com,legitimate,2022-03-31
domain,2022ukrainewar[.]com,legitimate,2022-03-08
domain,33lettersforukraine[.]com,legitimate,2022-06-17
domain,3dprintingforukraine[.]com,legitimate,2022-04-07
domain,4lifeukraine[.]com,legitimate,2022-03-08
domain,4ukraine[.]ca,legitimate,2022-06-04
domain,4ukrainefund[.]com,legitimate,2022-07-07
domain,901forukraine[.]com,legitimate,2022-05-14
domain,901standswithukraine[.]com,legitimate,2022-04-11
domain,911ukraine[.]com,legitimate,2022-03-08
domain,abrykos-ukraine[.]site,legitimate,2022-03-08
domain,act4ukraine[.]org,legitimate,2022-03-08
domain,actforukraine[.]org,legitimate,2022-03-23
domain,actualukraine[.]com,legitimate,2022-03-08
domain,adoption-ukraine[.]com,legitimate,2022-03-10
domain,adora-ukraine[.]com[.]ua,legitimate,2022-06-08
domain,advice-ukraine[.]co[.]uk,legitimate,2022-04-01
domain,afl-ukraine[.]com,legitimate,2022-07-12
domain,africansleavingukraine[.]com,legitimate,2022-03-08
domain,africanstudentsukraine[.]org,legitimate,2022-04-29
domain,afukraine[.]org,legitimate,2022-03-08
domain,agilewithukraine[.]com,legitimate,2022-04-07
domain,aid-for-ukraine[.]org,legitimate,2022-03-19
domain,aideukraine[.]fr,legitimate,2022-03-08
domain,aidforukraine[.]pl,legitimate,2022-05-23
domain,aidingforukraine[.]com,legitimate,2022-03-08
domain,aidonslukrainedijon[.]org,legitimate,2022-07-09
domain,aidtoukraine[.]at,legitimate,2022-06-16
domain,aidukraine[.]dk,legitimate,2022-04-01
domain,aidukrainerefugees[.]com,legitimate,2022-06-14
domain,aidukrainetoday[.]com,legitimate,2022-06-06
domain,aidukrainetoday[.]org,legitimate,2022-06-02
domain,albertaforukraine[.]ca,legitimate,2022-04-12
domain,albertastandswithukraine[.]ca,legitimate,2022-03-08
domain,allbehindukraine[.]fr,legitimate,2022-04-07
domain,allforukraine[.]com,legitimate,2022-03-08
domain,alliance4childrenukraine[.]org,legitimate,2022-03-18
domain,alliance4ukraine[.]de,legitimate,2022-06-04
domain,alliance4ukraine[.]org,legitimate,2022-03-08
domain,allstandwithukraine[.]com,legitimate,2022-03-08
domain,allukraine[.]co[.]ua,legitimate,2022-03-08
domain,amaukraine[.]com,legitimate,2022-03-08
domain,ambulancesforukraine[.]org,legitimate,2022-06-03
domain,americanswithukraine[.]com,legitimate,2022-03-21
domain,americanukrainefoundation[.]com,legitimate,2022-05-23
domain,amplifyukraine[.]eu,legitimate,2022-05-25
domain,amsterdamcooksforukraine[.]nl,legitimate,2022-03-31
domain,antonyfranceukraine[.]com,legitimate,2022-05-31
domain,aquaukraine[.]com[.]ua,legitimate,2022-04-21
domain,arbeitsvermittlung-ukraine[.]de,legitimate,2022-03-14
domain,armor-ukraine[.]com[.]ua,legitimate,2022-05-18
domain,armoxukraine[.]com,legitimate,2022-05-13
domain,armysosukraine[.]ie,legitimate,2022-07-12
domain,art4ukraine[.]de,legitimate,2022-03-25
domain,artauctionforukraine[.]org,legitimate,2022-06-03
domain,artforukraine[.]gallery,legitimate,2022-03-14
domain,artistsforukraine[.]be,legitimate,2022-05-31
domain,artistsforukraine[.]com,legitimate,2022-03-08
domain,artistsforukraine[.]org,legitimate,2022-03-22
domain,artistsforukraine[.]xyz,legitimate,2022-03-16
domain,artistshelp-ukraine[.]at,legitimate,2022-04-21
domain,artistssupportukraine[.]today,legitimate,2022-03-31
domain,artsforukraine[.]org,legitimate,2022-04-06
domain,asfukraine[.]org[.]ua,legitimate,2022-03-14
domain,asi-ukraine[.]com,legitimate,2022-03-08
domain,assist-ukraine[.]com,legitimate,2022-05-14
domain,assist-ukraine[.]org,legitimate,2022-05-05
domain,ate-solidarite-ukraine[.]org,legitimate,2022-03-08
domain,athletes-for-ukraine[.]org,legitimate,2022-04-27
domain,atlantaforukraine[.]com,legitimate,2022-03-08
domain,atlas-ukraine[.]be,legitimate,2022-05-04
domain,atshirtforukraine[.]net,legitimate,2022-03-08
domain,auction-ukraine[.]club,legitimate,2022-03-08
domain,auctionforukraine[.]co[.]uk,legitimate,2022-04-08
domain,auctionforukraine[.]com,legitimate,2022-04-06
domain,auctionforukraine[.]org,legitimate,2022-05-03
domain,australiaforukraine[.]com,legitimate,2022-03-31
domain,austrianjobs-for-ukraine[.]at,legitimate,2022-04-06
domain,avalancheforukraine[.]org,legitimate,2022-04-06
domain,avatarsforukraine[.]com,legitimate,2022-05-13
domain,avon-ukraine[.]net,legitimate,2022-05-19
domain,awayfromukraine[.]com,legitimate,2022-03-31
domain,bayareaforukraine[.]com,legitimate,2022-03-16
domain,beatsforukraine[.]com,legitimate,2022-03-18
domain,beaworldforukraine[.]com,legitimate,2022-04-06
domain,bedsforukraine[.]com,legitimate,2022-04-06
domain,beforua[.]be,legitimate,2022-06-21
domain,beinukraine[.]com,legitimate,2022-03-08
domain,benefitukrainefundraiser[.]com,legitimate,2022-05-13
domain,benkung-ukraine[.]com[.]ua,legitimate,2022-06-21
domain,bentleyukraine[.]com,legitimate,2022-03-08
domain,berlin-for-ukraine[.]de,legitimate,2022-03-31
domain,berlin4ukraine[.]com,legitimate,2022-03-08
domain,best-ukraine-support[.]com,legitimate,2022-03-08
domain,bethenny[.]com,legitimate,2022-04-04
domain,bevarukraine[.]dk,legitimate,2022-03-08
domain,bigbagukraine[.]com,legitimate,2022-04-05
domain,bigheartsukraine[.]org,legitimate,2022-03-14
domain,bikerepair4ukraine[.]com,legitimate,2022-03-31
domain,bikerepair4ukraine[.]de,legitimate,2022-03-28
domain,bikes4ukraine[.]org,legitimate,2022-06-23
domain,bip-ukraine[.]eu,legitimate,2022-07-04
domain,bisukraine[.]com,legitimate,2022-03-08
domain,bizforukraine[.]com,legitimate,2022-05-03
domain,bless-ukraine[.]com,legitimate,2022-05-20
domain,bloodagents[.]com,legitimate,2022-04-04
domain,blue-yellow[.]lt,legitimate,2022-04-04
domain,bostonaideforukraine[.]com,legitimate,2022-04-06
domain,box4ukraine[.]com,legitimate,2022-04-13
domain,brandukraine[.]org,legitimate,2022-03-08
domain,bremenwithukraine[.]com,legitimate,2022-03-08
domain,brideukraine[.]net,legitimate,2022-03-08
domain,bridgeukraine[.]org,legitimate,2022-04-26
domain,brondlaukrainy[.]pl,legitimate,2022-06-21
domain,brot-bruecke-ukraine[.]eu,legitimate,2022-04-08
domain,brucker-helfen-der-ukraine[.]de,legitimate,2022-03-08
domain,brueckenschlag-ukraine[.]de,legitimate,2022-03-08
domain,bss-ukraine[.]com,legitimate,2022-03-14
domain,bss-ukraine[.]com[.]ua,legitimate,2022-03-23
domain,budukraine[.]com,legitimate,2022-03-08
domain,busesforukraine[.]com,legitimate,2022-04-06
domain,business-for-ukraine[.]se,legitimate,2022-03-10
domain,businessaviationukraine[.]org,legitimate,2022-04-06
domain,businessforukraine[.]com,legitimate,2022-03-08
