type,indicator,classification,detected_date
domain,007-service-ua[.]site,phishing,2022-12-16
domain,1-helpukrainejews[.]faireee[.]com,phishing,2022-04-23
domain,101food-ukraine[.]com,parked,2022-03-08
domain,10[.]slaveukrain[.]cc,phishing,2022-04-02
domain,10forukraine[.]org,phishing,2022-04-02
domain,112ukraine[.]rulife[.]info,suspicious,2022-06-06
domain,11[.]slaveukrain[.]cc,phishing,2022-04-02
domain,1[.]slaveukrain[.]cc,phishing,2022-04-02
domain,1violettepourlukraine[.]fr,parked,2022-04-08
domain,200rfukraine[.]com,parked,2022-05-17
domain,2402helpukraine[.]in[.]ua,suspicious,2022-06-16
domain,2[.]slaveukrain[.]cc,phishing,2022-04-02
domain,365ukrainenews[.]com,unavailable,2022-03-08
domain,3ywg4544y3[.]xyz,malware,2022-03-11
domain,4-ukraine[.]com,phishing,2022-03-08
domain,4-ukraine[.]eu,parked,2022-03-08
domain,4464u4jhw4[.]xyz,malware,2022-03-11
domain,487jw34e[.]xyz,malware,2022-03-11
domain,4ukraine[.]net,phishing,2022-04-02
domain,4x4s4ukraine[.]net,parked,2022-06-01
domain,789o8lm[.]xyz,malware,2022-03-11
domain,Sortie-Crise-Economique-Ukraine[.]com,phishing,2022-12-16
domain,_bimi[.]godsafeukraine[.]com,phishing,2022-04-02
domain,_dmarc[.]godsafeukraine[.]com,phishing,2022-04-02
domain,a-discount-ukraine[.]store,parked,2022-03-08
domain,a-discounter-ukraine[.]store,unavailable,2022-03-08
domain,a-great-digital-marketing-courses-ukraine[.]zone,suspicious,2022-08-13
domain,a-promo-ukraine[.]store,unavailable,2022-03-08
domain,a-store-ukraine[.]tech,phishing,2022-03-08
domain,a2food4ukraine[.]org,parked,2022-05-13
domain,a3k67[.]xyz,malware,2022-03-11
domain,aboutukraine[.]org,parked,2022-03-08
domain,acaseforukraine[.]com,phishing,2022-04-02
domain,actforukraine[.]org[.]ua,suspicious,2022-05-04
domain,actinukrainenow[.]com,parked,2022-04-08
domain,actionwithukraine[.]net,suspicious,2022-08-29
domain,actorsukraine[.]site,unavailable,2022-03-08
domain,actualites-ukraine[.]fr,suspicious,2022-08-24
domain,ada4ukraine[.]com,parked,2022-03-08
domain,adeccojobsforukraine[.]com,parked,2022-03-10
domain,adoptaukrainiangirl[.]com,phishing,2022-03-08
domain,adoptioninukraine[.]com,suspicious,2022-03-11
domain,advantage-ukraine[.]com,suspicious,2022-07-17
domain,advantageukraine[.]com,suspicious,2022-08-31
domain,advokat-ukraine[.]org[.]ua,suspicious,2022-06-16
