type,indicator,classification,detected_date
domain,postofficen-ing[.]top,suspicious,2023-08-14
domain,uspspackets[.]com,malicious,2023-06-11
domain,uspost[.]quest,malicious,2023-09-27
domain,gwz-postal[.]top,malicious,2023-09-23
domain,usyxqya[.]top,malicious,2023-10-18
domain,pliiaol-usps[.]shop,malicious,2023-10-18
domain,usptrackhke[.]top,malicious,2023-10-21
domain,ususbuhi[.]top,malicious,2023-10-21
domain,ususnida[.]top,malicious,2023-10-21
domain,usushuji[.]top,malicious,2023-10-21
domain,uspyrc[.]top,malicious,2023-10-21
domain,redelivg-usps[.]com,malicious,2023-10-24
domain,usps-dybj[.]top,malicious,2023-10-07
domain,ususcr[.]top,malicious,2023-09-19
domain,ususpp[.]top,malicious,2023-09-17
domain,ususngu[.]top,malicious,2023-09-25
domain,ususjki[.]top,malicious,2023-10-05
domain,usplyu[.]top,malicious,2023-09-09
domain,ususcs[.]top,malicious,2023-09-22
domain,usplng[.]top,malicious,2023-09-14
domain,ususjie[.]top,malicious,2023-10-07
domain,usplso[.]top,malicious,2023-09-14
domain,arriveze[.]top,malicious,2023-09-28
domain,usplzs[.]top,malicious,2023-10-02
domain,arriveik[.]top,malicious,2023-09-27
domain,usplcz[.]top,malicious,2023-09-14
domain,ususcdn[.]top,malicious,2023-10-03
domain,ususvvc[.]top,malicious,2023-10-04
domain,usplce[.]top,malicious,2023-09-12
domain,ususert[.]top,malicious,2023-10-08
domain,usplcy[.]top,malicious,2023-09-15
domain,ususooi[.]top,malicious,2023-10-12
domain,usptrackev[.]top,suspicious,2023-09-18
domain,usptracksr[.]top,suspicious,2023-09-18
domain,usptrackcv[.]top,suspicious,2023-09-18
domain,usptrackhy[.]top,suspicious,2023-09-18
domain,usptrackms[.]top,suspicious,2023-09-18
domain,usptrackfr[.]top,suspicious,2023-09-18
domain,ususrsv[.]top,suspicious,2023-09-19
domain,usptrackxn[.]top,suspicious,2023-09-19
domain,usptrackxf[.]top,suspicious,2023-09-19
domain,usptracknh[.]top,suspicious,2023-09-20
domain,usptrackvd[.]top,suspicious,2023-09-20
domain,usptrackhk[.]top,suspicious,2023-09-20
domain,usptrackoy[.]top,suspicious,2023-09-20
domain,usushuy[.]top,suspicious,2023-10-18
domain,ususzzo[.]top,suspicious,2023-10-18
domain,arriveoz[.]top,suspicious,2023-10-07
domain,uspjl[.]shop,suspicious,2023-10-19
domain,uspjh[.]shop,suspicious,2023-10-18
domain,usptrackjz[.]top,suspicious,2023-09-26
domain,ususeei[.]top,suspicious,2023-10-21
domain,ususcce[.]top,suspicious,2023-10-21
domain,uspsnelson56[.]top,suspicious,2023-10-03
domain,arriveog[.]top,suspicious,2023-10-04
domain,usphpin[.]top,suspicious,2023-10-04
domain,arriveck[.]top,suspicious,2023-10-04
domain,arriveaa[.]top,suspicious,2023-10-04
domain,usptrackxp[.]top,suspicious,2023-09-24
domain,usptrackru[.]top,suspicious,2023-09-24
domain,usptrackxg[.]top,suspicious,2023-09-24
domain,usptrackbi[.]top,suspicious,2023-09-24
domain,usptrackrr[.]top,suspicious,2023-09-24
domain,usptrackyg[.]top,suspicious,2023-09-24
domain,usps-dnuws[.]top,suspicious,2023-09-09
domain,uspsghrdsf[.]top,suspicious,2023-09-10
domain,uspstrackvn[.]top,suspicious,2023-09-10
domain,usps-falk[.]top,malicious,2023-09-12
domain,usptrackcg[.]top,suspicious,2023-09-27
domain,usptrackkr[.]top,suspicious,2023-09-27
domain,usptrackej[.]top,suspicious,2023-09-27
domain,usptrackti[.]top,suspicious,2023-09-27
domain,usptrackof[.]top,suspicious,2023-09-27
domain,usptrackqs[.]top,suspicious,2023-09-27
domain,uspostcheckrs[.]shop,suspicious,2023-08-15
domain,uspostcheckvn[.]shop,suspicious,2023-08-15
domain,uspserc[.]top,suspicious,2023-08-26
domain,usptrackjn[.]top,suspicious,2023-09-16
