type,indicator,classification,detected_date
domain,054ii[.]com,malicious,2025-06-15
domain,0b08aa0d-9271-4b19-a3a3-462340d59877[.]com,malicious,2024-11-26
domain,11ssq[.]com,malicious,2025-08-10
domain,1ondate[.]com,malicious,2024-12-24
domain,1osb[.]com,malicious,2025-06-15
domain,2495may2024[.]com,malicious,2024-10-23
domain,24wrdgfytu68798u[.]online,malicious,2024-02-09
domain,24wrdgfytu68798u[.]site,malicious,2024-02-09
domain,24wrdgfytu68798u[.]xyz,malicious,2024-02-09
domain,293mk[.]com,malicious,2025-05-14
domain,2x2mfeed[.]com,malicious,2024-12-20
domain,52zxz[.]com,malicious,2025-05-14
domain,58peiyou[.]com,malicious,2025-03-29
domain,58vpn[.]com,malicious,2025-05-22
domain,68s8[.]com,malicious,2025-07-07
domain,aadheestq[.]com,malicious,2023-10-22
domain,aaebwextlsrtmi[.]com,malicious,2023-05-27
domain,aaewwewxjlmadb[.]com,malicious,2025-06-08
domain,aaffskqnkbjhwvy[.]com,malicious,2025-02-24
domain,aagkwftygyxksq[.]com,malicious,2025-03-21
domain,aalawrjgamoeofv[.]com,malicious,2023-06-23
domain,aamrvlgindplivh[.]xyz,malicious,2024-10-08
domain,aamtvovlfmqef[.]com,malicious,2024-07-17
domain,aanrptehudhjxd[.]com,malicious,2024-03-31
domain,aaoniwmpd[.]com,malicious,2024-07-24
domain,aapfgkmi[.]com,malicious,2024-09-12
domain,aaseovhxkkggtxj[.]com,malicious,2023-09-26
domain,aatysdhjlbgwy[.]xyz,malicious,2023-10-07
domain,abailrakods[.]com,malicious,2024-05-29
domain,abbulpmwdrywth[.]com,malicious,2025-07-19
domain,abchlggtrd[.]com,malicious,2024-12-27
domain,abciwvjp[.]com,malicious,2024-11-12
domain,abcryogonalan[.]com,malicious,2024-04-06
domain,abdqkfdnfongl[.]com,malicious,2024-03-21
domain,abdwxhao[.]com,malicious,2025-03-06
domain,abeethoocmatsay[.]com,malicious,2025-01-02
domain,abenpugjvjcun[.]com,malicious,2024-04-26
domain,abetsurseepy[.]net,malicious,2024-09-30
domain,abfeebasa[.]com,malicious,2024-06-01
domain,abfewghfhssa[.]xyz,malicious,2025-08-22
domain,abfknmta[.]com,malicious,2023-10-13
domain,abijebseenaulr[.]net,malicious,2025-01-31
domain,ablehandbookrepugnant[.]com,malicious,2024-12-25
domain,abmewgivwiq[.]com,malicious,2024-02-03
domain,abmhfyoendbrio[.]com,malicious,2025-03-13
domain,abogoorudocka[.]com,malicious,2024-11-29
domain,abouhaursiki[.]net,malicious,2024-08-14
domain,abparasr[.]com,malicious,2023-11-16
domain,absmbkmbqqyo[.]com,malicious,2024-04-02
domain,abtyranitaror[.]com,malicious,2024-06-14
domain,acaimsausy[.]com,malicious,2025-01-15
domain,acaipsutchakoan[.]com,malicious,2024-12-28
domain,acaleftoosh[.]net,malicious,2025-05-30
domain,acaussee[.]net,malicious,2023-05-17
domain,acbdmojfyma[.]com,malicious,2025-03-29
domain,accaj[.]cn,malicious,2024-11-15
domain,accmwucfxpivw[.]com,malicious,2025-03-11
domain,accuracymangosixtyfold[.]com,malicious,2025-03-06
domain,acedhpcgakx[.]com,malicious,2023-06-15
domain,aceprodeliveries[.]com,malicious,2025-03-29
domain,acheecaipe[.]com,malicious,2025-02-02
domain,achezolu[.]top,malicious,2024-01-06
domain,achiptoath[.]com,malicious,2024-04-05
domain,acjlrotnjjjrobx[.]com,malicious,2023-06-30
domain,acktxhbe[.]xyz,malicious,2024-10-14
domain,ackuwxjbk[.]com,malicious,2024-11-22
domain,acootsaus[.]com,malicious,2024-04-08
domain,acoudsoarom[.]com,malicious,2024-03-14
domain,acrylic[.]mobi,malicious,2025-03-29
domain,acsdanhtgthu[.]com,malicious,2024-06-28
domain,acubbeamjtky[.]xyz,malicious,2025-07-10
domain,acufewyxcydg[.]com,malicious,2024-08-07
domain,acugnaum[.]top,malicious,2024-01-26
domain,acvtantqf[.]xyz,malicious,2023-11-01
domain,adaftegloomto[.]com,malicious,2025-03-02
domain,adappi[.]co,malicious,2023-05-25
domain,adfbybjrsn[.]net,malicious,2025-09-07
domain,adinjiuygya[.]com,malicious,2024-05-15
domain,adjtskaxoqguklo[.]com,malicious,2024-04-17
domain,admi2fib4exit[.]com,malicious,2025-01-17
domain,admosxjijj[.]xyz,malicious,2024-01-27
domain,adpefeoxlvfqtm[.]com,malicious,2025-07-01
domain,adrevboost[.]com,malicious,2025-02-27
domain,adserver[.]spb[.]ru,malicious,2022-06-24
domain,adventurawave[.]com,malicious,2024-09-05
domain,adxdlslgmo[.]com,malicious,2023-11-03
domain,adxproofcheck[.]com,malicious,2024-01-27
domain,aebfivjdwnwdcr[.]com,malicious,2024-05-16
domain,aedecmycpnxyrd[.]com,malicious,2025-04-26
domain,aedhbypu[.]com,malicious,2024-11-12
domain,aeefpine[.]com,malicious,2024-11-07
domain,aefkeuvt[.]com,malicious,2025-05-30
domain,aejifopo[.]xyz,malicious,2024-10-04
domain,aekhfdpxcw[.]com,malicious,2024-01-20
domain,aemxbkfele[.]xyz,malicious,2023-12-29
domain,aenwrgqsrsyxq[.]com,malicious,2025-01-29
domain,aerjnuloxlth[.]com,malicious,2023-12-22
domain,aesffnqforkve[.]com,malicious,2024-12-12
domain,aewjrptrslhf[.]com,malicious,2025-07-17
domain,aexfsrgev[.]com,malicious,2024-04-08
domain,afanfbqh[.]com,malicious,2024-11-10
domain,afdmwstmvocvq[.]xyz,malicious,2025-05-28
domain,afdtbfqqposs[.]com,malicious,2024-01-20
domain,afeerdah[.]net,malicious,2024-02-27
domain,affluentarmyequator[.]com,malicious,2024-09-28
domain,afhlnmbngh[.]com,malicious,2024-05-15
domain,afkowvtkq[.]com,malicious,2024-11-22
domain,afllggsvfc[.]com,malicious,2025-01-04
domain,aflpgocfgsd[.]com,malicious,2024-06-15
domain,afoaglux[.]com,malicious,2023-07-19
domain,afpvcpianib[.]com,malicious,2025-01-17
domain,afrpgdinm[.]com,malicious,2024-08-20
domain,aftdnuatcco[.]com,malicious,2025-03-29
domain,aftermostagrounduneasily[.]com,malicious,2024-10-19
domain,afuguskdk[.]com,malicious,2024-03-08
domain,afunyjoiynvsk[.]com,malicious,2024-04-15
domain,agaempoleonan[.]com,malicious,2024-05-11
domain,agalumineonr[.]com,malicious,2024-09-27
domain,agaquagsirean[.]com,malicious,2024-09-08
domain,ageexurssurvey[.]top,malicious,2023-07-21
domain,agehaeamilhfv[.]com,malicious,2024-04-30
domain,agileskincareunrented[.]com,malicious,2024-08-15
domain,agilmenteunmercifultrashify[.]monster,malicious,2025-02-13
domain,agkjgjts[.]com,malicious,2024-05-26
domain,aglauchuno[.]net,malicious,2025-08-22
domain,agleepeegleebiz[.]com,malicious,2024-11-01
domain,agleethoashu[.]com,malicious,2024-07-12
domain,aglihugreeh[.]net,malicious,2025-08-03
domain,aglouboamaugi[.]com,malicious,2025-03-27
domain,agpigcaggnexit[.]com,malicious,2024-10-05
domain,agrahobood[.]net,malicious,2025-02-08
domain,agraizaupta[.]com,malicious,2025-04-02
domain,agramaloaz[.]xyz,malicious,2024-10-28
domain,agrizoukoast[.]com,malicious,2024-07-08
domain,agroapousisy[.]com,malicious,2024-11-29
domain,agrophip[.]net,malicious,2024-01-28
domain,agruloajair[.]com,malicious,2024-04-04
domain,agryqein[.]com,malicious,2024-11-30
domain,agtwvigehvl[.]com,malicious,2024-02-21
domain,agumainamaig[.]net,malicious,2024-09-08
domain,aha-land-preview02[.]top,malicious,2025-03-08
domain,ahaphishon[.]net,malicious,2024-07-24
domain,ahebcrpbi[.]com,malicious,2025-02-03
domain,aheeltoaksauwi[.]net,malicious,2025-03-21
domain,ahhledkaiudoxw[.]com,malicious,2025-01-24
domain,ahkprfxqmg[.]com,malicious,2024-06-13
domain,ahnniqxhyuy[.]xyz,malicious,2023-11-02
domain,ahoaxautchu[.]com,malicious,2025-01-07
domain,ahockofting[.]com,malicious,2024-08-03
domain,ahoopiphoopsoa[.]net,malicious,2025-08-24
domain,ahxtstylfuram[.]com,malicious,2024-02-24
domain,ahybmsiqyr[.]com,malicious,2025-01-22
domain,aibaimaurseng[.]com,malicious,2025-03-27
domain,aibseensoo[.]net,malicious,2024-05-04
domain,aibsiboky[.]com,malicious,2024-09-08
domain,aichaudsouk[.]com,malicious,2024-08-22
domain,aicheeftoa[.]com,malicious,2024-04-13
domain,aicignaizetsosh[.]net,malicious,2025-08-31
domain,aickeevo[.]com,malicious,2024-05-16
domain,aickoograizon[.]net,malicious,2025-01-21
domain,aickoulru[.]com,malicious,2024-05-11
domain,aicmaifalr[.]com,malicious,2025-03-29
domain,aicmeegnegas[.]com,malicious,2024-11-21
domain,aicmoleeg[.]net,malicious,2024-04-21
domain,aicoamaipsoog[.]net,malicious,2025-01-02
domain,aidraidraipu[.]net,malicious,2024-03-29
domain,aidsairdul[.]net,malicious,2024-09-28
domain,aidsegheewed[.]net,malicious,2025-03-02
domain,aidsoong[.]com,malicious,2024-07-26
domain,aiefgbievohagmd[.]com,malicious,2025-06-02
domain,aifteexoumt[.]com,malicious,2024-11-09
domain,aiftoupsains[.]net,malicious,2025-06-19
domain,aiftuptout[.]com,malicious,2024-12-05
domain,aiftustu[.]com,malicious,2024-02-10
domain,aigamtelturt[.]com,malicious,2025-07-12
domain,aigheepsowufimp[.]com,malicious,2024-11-11
domain,aiglaibedie[.]com,malicious,2024-11-06
domain,aigloted[.]com,malicious,2025-03-27
domain,aignargothax[.]net,malicious,2025-02-07
domain,aigrache[.]com,malicious,2024-01-25
domain,aigraiposh[.]com,malicious,2024-06-25
domain,aigreeweep[.]net,malicious,2024-08-01
domain,aigretsulaups[.]net,malicious,2025-03-02
domain,aigroaveelr[.]com,malicious,2024-11-10
domain,aigruwaxeegluy[.]net,malicious,2025-01-19
domain,aihegleersirtee[.]com,malicious,2025-06-21
domain,aiithxmgjbgdma[.]com,malicious,2025-03-10
domain,aijoboomsu[.]com,malicious,2024-11-29
domain,aikraurtetheevi[.]net,malicious,2025-04-25
domain,aikrolilighazee[.]net,malicious,2024-11-06
domain,aikrudoy[.]com,malicious,2024-03-01
domain,aiksutoa[.]top,malicious,2024-01-18
domain,ailayntmkftprcg[.]com,malicious,2024-11-12
domain,ailreedait[.]com,malicious,2025-01-04
domain,ailrukroghy[.]com,malicious,2024-11-01
domain,aimaudooptecma[.]net,malicious,2024-10-11
domain,aiminupa[.]top,malicious,2024-02-12
domain,aimpeensee[.]com,malicious,2024-03-16
domain,aimpoordisto[.]net,malicious,2025-07-13
domain,aimpoossool[.]com,malicious,2024-05-12
domain,aimpunsie[.]com,malicious,2024-07-03
domain,aimsoang[.]top,malicious,2023-12-15
domain,aimtoackie[.]com,malicious,2024-10-22
domain,ainassolsou[.]net,malicious,2024-11-10
domain,aineetseeksoump[.]com,malicious,2025-01-09
domain,ainsekrurtulsex[.]com,malicious,2024-11-01
domain,ainsoassoogloob[.]com,malicious,2025-04-03
domain,ainsoortek[.]com,malicious,2025-01-11
domain,ainvmfaybd[.]com,malicious,2025-04-06
domain,aipaitha[.]com,malicious,2024-04-28
domain,aipethauftu[.]net,malicious,2024-08-22
domain,aiphaumtojigry[.]com,malicious,2024-11-30
domain,aiphoheg[.]com,malicious,2025-03-27
domain,aiphoopseelre[.]com,malicious,2024-10-14
domain,aiphoubi[.]top,malicious,2023-09-27
domain,aipiwhoate[.]com,malicious,2024-04-07
domain,aipseerd[.]top,malicious,2024-01-23
domain,aipsikoo[.]top,malicious,2023-10-08
domain,aipsoteegalrist[.]com,malicious,2024-12-15
domain,aiptaignishoud[.]com,malicious,2024-11-06
domain,aiptoalaix[.]com,malicious,2024-11-11
domain,aiptuthaukr[.]net,malicious,2025-04-17
domain,aiqksuvlulvj[.]com,malicious,2024-09-06
domain,aiqyylcdfvdqpek[.]com,malicious,2025-05-13
domain,airdauwoump[.]net,malicious,2024-05-14
domain,airdohaifapse[.]com,malicious,2025-04-02
domain,airgeecigee[.]net,malicious,2025-08-24
domain,airgehagrushie[.]com,malicious,2024-12-13
domain,airgoocauto[.]com,malicious,2025-03-09
domain,airon[.]online,malicious,2025-03-29
domain,airoordeemtou[.]com,malicious,2024-11-03
domain,airsabsudauthe[.]net,malicious,2024-10-28
domain,airsauja[.]top,malicious,2024-01-14
domain,airtoupsify[.]com,malicious,2024-06-16
domain,aishuvongeel[.]com,malicious,2025-07-14
domain,aismtrbmx[.]com,malicious,2025-06-01
domain,aisougnorda[.]com,malicious,2024-04-09
domain,aissawhasurvey[.]top,malicious,2023-05-26
