type,indicator,classification,detected_date
sha256,0592aad472bbadeb6edc55573d7bcd2cff560504de5c94d8e1600188f143e523,malware,2025-04-24
domain,ac101[.]net,malware,2025-04-24
domain,yts79y3-zew6s.p0bgceeug-l[.]com,malware,2025-04-24
domain,ex5n-pt6g-b6g7.iy7mljjr68h[.]com,malware,2025-04-24
domain,zw6q9v-k6vczr[.]com,malware,2025-04-24
domain,qzvj52cv-typf[.]com,malware,2025-04-24
domain,mzim-e83ja-5wm[.]com,malware,2025-04-24
domain,fvwy-i65-82meq[.]com,malware,2025-04-24
domain,c2a-ut9fj-2v7m[.]com,malware,2025-04-24
domain,b9gw-g5p-9x7mq[.]com,malware,2025-04-24
domain,d1ko2n56twscbk.cloudfront[.]net,malware,2025-04-24
domain,ub.zhanglijuanlawyer[.]com,malware,2025-04-24
domain,chu-shi-biao.s3-website.ap-northeast-2.amazonaws[.]com,malware,2025-04-24
domain,d38z5zttlbg669.cloudfront[.]net,malware,2025-04-24
domain,cdn.mr3yh8er[.]com,malware,2025-04-24
domain,cdn.n4dhx7bt[.]com,malware,2025-04-24
domain,phone589[.]com,malware,2025-04-24
domain,ag04vip[.]com,malware,2025-04-24
domain,boss04vip[.]com,malware,2025-04-24
domain,ub66[.]net,malware,2025-04-24
domain,ub66[.]io,malware,2025-04-24
domain,ub66[.]me,malware,2025-04-24
domain,huanyuliulanqi[.]com,malware,2025-04-24
domain,eamix[.]cn,malware,2025-04-24
domain,650llq[.]cm,malware,2025-04-24
domain,ub66[.]com,malware,2025-04-24
domain,g1uvvowzz2.bzta2gq4[.]com,malware,2025-04-24
domain,hmbmmmuztj.wajn69nk[.]com,malware,2025-04-24
domain,ywguo31mtu.z3wr37yr[.]com,malware,2025-04-24
domain,xn--29s7ix44lsga.ub66[.]com,malware,2025-04-24
domain,xn--29s7i934gspn.ub66[.]com,malware,2025-04-24
domain,xn--29s7inly9ib.ub66[.]com,malware,2025-04-24
url,h9pvs-2eanqhz.csqq2g-fzc5i5[.]com/mysteries-pages/418.html,malware,2025-04-24
url,zc9-32a4-hsa34.fd7wt9-3f-7nin[.]com/mysteries-page/418.html,malware,2025-04-24
ipv4,120[.]79[.]173[.]34,malware,2025-04-24
ipv4,120[.]79[.]197[.]209,malware,2025-04-24
ipv4,47[.]107[.]42[.]176,malware,2025-04-24
ipv4,47[.]106[.]118[.]53,malware,2025-04-24
ipv4,47[.]243[.]69[.]88,malware,2025-04-24
ipv4,47[.]243[.]172[.]76,malware,2025-04-24
ipv4,146[.]88[.]164[.]244,malware,2025-04-24
ipv4,146[.]88[.]165[.]78,malware,2025-04-24
