type,indicator,classification,detected_date
domain,abledoctorprobable[.]top,ddga,2022-04-08
domain,ableladysame[.]top,ddga,2022-04-08
domain,ablelineblack[.]club,ddga,2022-04-08
domain,aboutbetweenboat[.]top,ddga,2022-04-08
domain,aboutdayheard[.]xyz,ddga,2022-05-01
domain,aboutfactseat[.]top,ddga,2022-04-08
domain,aboutfastboth[.]top,ddga,2022-04-08
domain,aboutmorningnow[.]top,ddga,2022-04-08
domain,aboutpatternweek[.]top,ddga,2022-04-08
domain,aboutsomebodywild[.]top,ddga,2022-04-08
domain,aboutstoreless[.]top,ddga,2022-04-08
domain,abouttopoften[.]top,ddga,2022-04-08
domain,abouttreedirect[.]top,ddga,2022-04-06
domain,abovelotwhen[.]xyz,ddga,2022-06-05
domain,abovesurepast[.]club,ddga,2022-04-08
domain,actbrokeresult[.]xyz,ddga,2022-04-19
domain,actrepresentsmile[.]top,ddga,2022-04-08
domain,addbestlegal[.]top,ddga,2022-04-08
domain,addcottonmeat[.]top,ddga,2022-04-08
domain,addinchdo[.]xyz,ddga,2022-06-05
domain,addjoinpick[.]top,ddga,2022-04-08
domain,addvisitocean[.]top,ddga,2022-04-08
domain,afraidownorgan[.]top,ddga,2022-04-08
domain,afterhurrylate[.]top,ddga,2022-04-08
domain,afterseedsound[.]top,ddga,2022-04-08
domain,aftershouldersmean[.]top,ddga,2022-04-08
domain,afterteamsafe[.]xyz,ddga,2022-06-05
domain,aftertreatwith[.]top,ddga,2022-04-08
domain,againfigurecame[.]xyz,ddga,2022-05-01
domain,againfinebrown[.]top,ddga,2022-04-08
domain,againgrandmoment[.]club,ddga,2022-04-08
domain,againmountleave[.]xyz,ddga,2022-04-08
domain,againstbookfree[.]top,ddga,2022-04-08
domain,againsteveningabout[.]top,ddga,2022-04-08
domain,againstsearchhappy[.]top,ddga,2022-04-08
domain,againstskyremember[.]top,ddga,2022-04-08
domain,againstyardsight[.]top,ddga,2022-04-08
domain,ageinsectyou[.]top,ddga,2022-04-08
domain,agepersonbank[.]top,ddga,2022-04-08
domain,agepriceclean[.]top,ddga,2022-04-08
domain,ageusheard[.]top,ddga,2022-04-08
domain,agochargegentle[.]top,ddga,2022-04-08
domain,agoeyewant[.]top,ddga,2022-04-08
domain,agofeetshape[.]top,ddga,2022-04-08
domain,agorantwenty[.]top,ddga,2022-04-08
domain,agovisitdivide[.]club,ddga,2022-04-08
domain,agowirenoun[.]top,ddga,2022-04-08
domain,agreecomeabout[.]top,ddga,2022-04-08
domain,agreeironcross[.]xyz,ddga,2022-06-05
domain,agreelifemarket[.]top,ddga,2022-04-08
domain,agreeproperbut[.]top,ddga,2022-04-08
domain,agreeremovefamous[.]xyz,ddga,2022-06-05
domain,airpathinch[.]xyz,ddga,2022-05-26
domain,airweatherdrive[.]top,ddga,2022-04-08
domain,allbasicclock[.]top,ddga,2022-04-08
domain,allearsay[.]top,ddga,2022-04-08
domain,allenginesegment[.]xyz,ddga,2022-04-08
domain,allowbithigh[.]top,ddga,2022-04-08
domain,allowyoutown[.]xyz,ddga,2022-04-08
domain,aloneairreply[.]top,ddga,2022-04-06
domain,alonehavesegment[.]xyz,ddga,2022-05-10
domain,alonelevelact[.]top,ddga,2022-04-08
domain,alonemajorsure[.]top,ddga,2022-04-08
domain,alonenounmiddle[.]club,ddga,2022-04-08
domain,alonescoretype[.]xyz,ddga,2022-05-01
domain,aloneshallsquare[.]xyz,ddga,2022-06-05
domain,alsoevensecond[.]xyz,ddga,2022-06-05
domain,alsospaceat[.]top,ddga,2022-04-06
domain,alwaysfirstopen[.]top,ddga,2022-04-08
domain,alwaysinterestcent[.]xyz,ddga,2022-05-20
domain,alwaysspeedweight[.]xyz,ddga,2022-05-17
domain,alwayswentright[.]top,ddga,2022-04-08
domain,amdifferwear[.]top,ddga,2022-04-08
domain,ammileblow[.]live,ddga,2022-04-08
domain,amongmilkregion[.]top,ddga,2022-04-08
domain,amongyearterm[.]xyz,ddga,2022-06-05
domain,amtroublecompare[.]xyz,ddga,2022-04-08
domain,amwhitevalley[.]top,ddga,2022-04-08
domain,amwinindustry[.]xyz,ddga,2022-04-14
domain,anbadmorning[.]xyz,ddga,2022-04-08
domain,anbebut[.]top,ddga,2022-04-08
domain,anddistantequate[.]top,ddga,2022-04-08
domain,andfamouswhich[.]top,ddga,2022-04-08
domain,andivisionborn[.]top,ddga,2022-04-08
domain,andtroublespoke[.]club,ddga,2022-04-08
domain,angerfeeltouch[.]xyz,ddga,2022-05-26
domain,angerfrienddetermine[.]top,ddga,2022-04-08
domain,angershapebrown[.]top,ddga,2022-04-05
domain,animalbelltrain[.]top,ddga,2022-04-08
domain,animaldependdevelop[.]top,ddga,2022-04-08
domain,animalfairproduce[.]top,ddga,2022-04-08
domain,animalformsilver[.]top,ddga,2022-04-06
domain,animalmountaingone[.]xyz,ddga,2022-05-13
domain,animalsizeif[.]top,ddga,2022-04-08
domain,animalsuddenindustry[.]top,ddga,2022-04-08
domain,anresult-pretty[.]top,ddga,2022-04-05
domain,answergreenmeasure[.]top,ddga,2022-04-08
domain,appearbelieveparent[.]top,ddga,2022-04-06
domain,appleairyour[.]top,ddga,2022-04-08
domain,applebeginheart[.]top,ddga,2022-04-08
domain,appleinstantcolony[.]top,ddga,2022-04-08
domain,appleloststrange[.]top,ddga,2022-04-08
domain,applemajorfew[.]xyz,ddga,2022-04-08
domain,applenewseven[.]xyz,ddga,2022-05-01
domain,applewasfinger[.]xyz,ddga,2022-05-12
domain,areashiprather[.]top,ddga,2022-04-08
domain,arebrighthead[.]top,ddga,2022-04-06
domain,arefinalwear[.]xyz,ddga,2022-05-26
