type,indicator,classification,notes,references,detected_date
domain,womanflirting[.]life,malicious,A domain used by VexTrio's TDS that shows a keyword label related to dating.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-08-04
domain,bonustop-price[.]life,malicious,A domain used by VexTrio's TDS that shows a keyword label related to awards.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-08-24
domain,allprizeshub[.]life,malicious,A domain used by VexTrio's TDS that shows a keyword label related to awards.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-11-20
domain,greatbonushere[.]top,malicious,A domain used by VexTrio's TDS that shows a keyword label related to awards.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-10-16
domain,prizes-topwin[.]life,malicious,A domain used by VexTrio's TDS that shows a keyword label related to awards.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-09-06
domain,a[.]crystalcraft[.]top,malicious,A VexTrio TDS domain that is primarily used in VexTrio robot CAPTCHA campaigns.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2024-01-10
domain,logsmetrics[.]com,malicious,A domain assigned to a DNS-based TDS server that is operated by VexTrio.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-12-25
domain,webdatatrace[.]com,malicious,VexTrio's DNS-based TDS servers redirect compromised web traffic to this HTTP-based TDS server.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-10-08
domain,marybskitchen[.]com,malicious,A domain assigned to a TDS server operated by ClearFake actors.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-11-29
domain,prom-gg[.]com,malicious,ClearFake redirected victims to this gambling landing webpage.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-05-27
domain,go[.]clicksme[.]org,malicious,ClearFake redirected victims to this gambling landing webpage.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2024-01-09
domain,machinetext[.]org,malicious,A domain assigned to a TDS server operated by SocGholish actors.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-11-14
domain,getquery[.]org,malicious,A domain assigned to a TDS server operated by SocGholish actors.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-04-15
domain,quaryget[.]org,malicious,A domain assigned to a TDS server operated by SocGholish actors.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-04-16
domain,greenpapers[.]org,malicious,A domain assigned to a TDS server operated by SocGholish actors.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-04-29
domain,dailytickyclock[.]org,malicious,A domain assigned to a TDS server operated by SocGholish actors.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-11-14
domain,tiktok[.]megastok[.]top,malicious,TikTok lookalike domains registered by a VexTrio affiliate.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2024-01-09
domain,tiktok[.]supersbows[.]us,malicious,TikTok lookalike domains registered by a VexTrio affiliate.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2024-01-09
domain,tiktok[.]tomorrows[.]top,malicious,TikTok lookalike domains registered by a VexTrio affiliate.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2024-01-09
domain,tiktok[.]superbowsm[.]top,malicious,TikTok lookalike domains registered by a VexTrio affiliate.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2024-01-09
url,https://tinyurl[.]com/2ykfey8v,malicious,Shortened URLs generated by a VexTrio affiliate.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2024-01-23
url,https://tinyurl[.]com/288tobvb,malicious,Shortened URLs generated by a VexTrio affiliate.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2024-01-23
url,https://t[.]co/YbupnnMAtX,malicious,Shortened URLs generated by a VexTrio affiliate.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2024-01-23
url,https://t[.]co/MmMkTCn6Kd,malicious,Shortened URLs generated by a VexTrio affiliate.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2024-01-23
url,https://is[.]gd/l3S7qf,malicious,Shortened URLs generated by a VexTrio affiliate.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2024-01-23
domain,antibotcloud[.]com,malicious,Anti-bot lookalike domain registered by a VexTrio affiliate.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2024-01-09
domain,hixastump[.]com,malicious,SMS scam content websites operated by a VexTrio downstream threat actor.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2023-12-16
domain,d[.]strouchridun[.]top,malicious,SMS scam content websites operated by a VexTrio downstream threat actor.,https://blogs.infoblox.com/cyber-threat-intelligence/cybercrime-central-vextrio-operates-massive-criminal-affiliate-program,2024-01-11
