type,indicator,classification,detected_date
domain,belzoravin[.]my,vextrio,2025-06-21
domain,bloshiny[.]rest,vextrio,2025-07-08
domain,cilorexia[.]my,vextrio,2025-06-11
domain,gralonexi[.]my,vextrio,2025-06-13
domain,groovefun[.]live,vextrio,2025-05-14
domain,heartbeatlive[.]live,vextrio,2025-05-13
domain,luxaframe[.]rest,vextrio,2025-05-05
domain,luxavontel[.]my,vextrio,2025-06-21
domain,meetandmatch[.]live,vextrio,2025-05-13
domain,mirazova[.]my,vextrio,2025-07-12
domain,mytroneza[.]my,vextrio,2025-06-10
domain,nivoreltuma[.]my,vextrio,2025-07-21
domain,prettyscout[.]my,vextrio,2025-07-04
domain,trentovira[.]my,vextrio,2025-06-21
domain,vexolurnia[.]my,vextrio,2025-06-29
domain,xulorentavi[.]my,vextrio,2025-07-24
domain,zernivalox[.]my,vextrio,2025-06-22
domain,aura-ladyfinder[.]com,vextrio,2025-07-15
domain,creatfolk[.]my,vextrio,2025-06-05
domain,fexomuse[.]my,vextrio,2025-07-13
domain,joinmenta[.]my,vextrio,2025-06-05
domain,joinvanta[.]my,vextrio,2025-06-06
domain,kelvorian[.]my,vextrio,2025-06-13
domain,laughmore[.]live,vextrio,2025-05-14
domain,matchliveyou[.]live,vextrio,2025-05-13
domain,modylixa[.]my,vextrio,2025-07-12
domain,purelook[.]rest,vextrio,2025-07-25
domain,tandemm[.]my,vextrio,2025-03-13
domain,wyleronix[.]my,vextrio,2025-06-12
domain,brelonita[.]my,vextrio,2025-06-14
domain,codemorph[.]my,vextrio,2025-06-08
domain,desirematch[.]live,vextrio,2025-05-12
domain,firalunex[.]my,vextrio,2025-07-31
domain,flexpoint[.]pro,vextrio,2025-06-19
domain,glosshaus[.]rest,vextrio,2025-05-05
domain,kindfacepl[.]my,vextrio,2025-07-27
domain,love-that-lasts[.]com,vextrio,2025-06-13
domain,lymonarexi[.]my,vextrio,2025-06-29
domain,quvenorlita[.]my,vextrio,2025-07-24
domain,savolurexia[.]digital,vextrio,2025-07-23
domain,sovralutex[.]my,vextrio,2025-06-22
domain,tarnoveli[.]my,vextrio,2025-06-12
domain,zelymuse[.]rest,vextrio,2025-07-08
domain,zernotiva[.]my,vextrio,2025-06-12
domain,zurnalexio[.]rest,vextrio,2025-07-01
domain,datewomen-search[.]com,vextrio,2025-07-27
domain,farlonuvia[.]my,vextrio,2025-06-18
domain,fynalevon[.]my,vextrio,2025-06-09
domain,inviticaa[.]my,vextrio,2025-06-04
domain,luximira[.]my,vextrio,2025-07-12
domain,modaplush[.]rest,vextrio,2025-05-05
domain,musemoda[.]my,vextrio,2025-07-07
domain,mytralovex[.]my,vextrio,2025-06-25
domain,pure-thelady-site[.]com,vextrio,2025-07-27
domain,savolurexi[.]my,vextrio,2025-06-24
domain,sexylinkup[.]com,vextrio,2025-07-08
domain,shinepurez[.]my,vextrio,2025-07-27
domain,trylunexio[.]rest,vextrio,2025-07-01
domain,virelliq[.]my,vextrio,2025-07-13
domain,alchemyhothookups[.]com,vextrio,2025-06-27
domain,datelivetoday[.]live,vextrio,2025-05-13
domain,dralunexy[.]my,vextrio,2025-06-14
domain,fanclavey[.]my,vextrio,2025-06-06
domain,gentgala[.]rest,vextrio,2025-07-26
domain,heartlink[.]live,vextrio,2025-05-13
domain,helvireon[.]my,vextrio,2025-06-11
domain,hookuplive[.]live,vextrio,2025-05-12
domain,lilsarcasme[.]shop,vextrio,2025-07-22
domain,lovemodsz[.]rest,vextrio,2025-07-26
domain,lovemomentat[.]live,vextrio,2025-05-14
domain,lurellia[.]my,vextrio,2025-07-12
domain,meluronitax[.]my,vextrio,2025-07-24
domain,modelariax[.]my,vextrio,2025-07-07
domain,modelverse[.]my,vextrio,2025-07-03
domain,navorexila[.]my,vextrio,2025-06-21
domain,nuvatone[.]my,vextrio,2025-06-07
domain,skuravelin[.]my,vextrio,2025-06-29
domain,smilealways[.]live,vextrio,2025-05-14
domain,soulconnection[.]live,vextrio,2025-05-13
domain,syronutavex[.]my,vextrio,2025-07-21
domain,tarnuvorexa[.]my,vextrio,2025-06-19
domain,trilovexa[.]my,vextrio,2025-06-10
domain,virelonex[.]my,vextrio,2025-06-13
domain,zoluresta[.]my,vextrio,2025-06-10
domain,zoluretvani[.]my,vextrio,2025-07-24
domain,bestconnectionsweet[.]com,vextrio,2025-06-30
domain,brentovixa[.]my,vextrio,2025-06-30
domain,dailywork[.]rest,vextrio,2025-07-25
domain,frelybrix[.]my,vextrio,2025-07-28
domain,happybeat[.]live,vextrio,2025-05-14
domain,kavylyn[.]my,vextrio,2025-07-09
domain,lovenowember[.]live,vextrio,2025-05-13
domain,mediaking[.]rest,vextrio,2025-07-25
domain,runicforgecrafter[.]com,vextrio,2025-06-10
domain,securecommerce[.]shop,vextrio,2024-11-30
domain,softnexis[.]my,vextrio,2025-06-08
domain,vaultfeed[.]my,vextrio,2025-06-06
domain,vokamina[.]my,vextrio,2025-06-07
domain,xylorevian[.]my,vextrio,2025-06-21
domain,zoltrevia[.]my,vextrio,2025-06-14
domain,coretrail[.]rest,vextrio,2025-05-10
domain,festdance[.]live,vextrio,2025-05-14
domain,firstdateme[.]live,vextrio,2025-05-13
domain,gralunexia[.]my,vextrio,2025-06-18
domain,kamirexol[.]my,vextrio,2025-07-31
