type,indicator,classification,detected_date
domain,157[.]mk,suspicious,2024-07-19
domain,22887788[.]com,suspicious,2024-07-19
domain,fun138[.]com,suspicious,2024-07-19
domain,kbvip240[.]vip,suspicious,2024-07-19
domain,kyty1[.]com,suspicious,2024-02-19
domain,obvip3683[.]com,suspicious,2024-02-19
domain,scname[.]com,malicious,2023-12-02
domain,yabo123456[.]com,suspicious,2024-07-19
domain,yb[.]com,suspicious,2024-07-19
domain,bb66636[.]com,suspicious,2024-02-19
domain,bgqn[.]trade,suspicious,2024-07-19
domain,kb[.]com,suspicious,2023-12-26
domain,kb913[.]vip,suspicious,2023-05-17
domain,u12222[.]com,suspicious,2023-12-10
domain,u69888[.]com,suspicious,2024-02-19
domain,w5551[.]vip,suspicious,2023-07-21
domain,yb3338[.]com,suspicious,2024-07-19
domain,ybvipdns[.]com,suspicious,2023-12-26
domain,yibo2588[.]com,suspicious,2024-02-19
domain,bb88878[.]com,suspicious,2023-11-15
domain,cname520[.]com,malicious,2023-12-23
domain,hth888[.]cn,suspicious,2024-07-19
domain,hthbet601[.]com,suspicious,2024-02-19
domain,k8vip[.]com,suspicious,2023-12-24
domain,kaiyun[.]com,suspicious,2024-02-19
domain,kbbet47[.]com,suspicious,2024-02-19
domain,mip4tr[.]vip,suspicious,2024-02-19
domain,obbet3177[.]com,suspicious,2024-02-19
domain,oubao[.]com,suspicious,2024-07-19
domain,yibobet2032[.]com,suspicious,2024-02-19
domain,193hthvip[.]com,suspicious,2024-02-19
domain,fun118[.]com,suspicious,2024-02-19
domain,fun555[.]com,suspicious,2024-02-19
domain,hth9[.]uk,suspicious,2024-07-19
domain,j9[.]com,suspicious,2024-02-19
domain,kbbet86[.]com,suspicious,2024-02-19
domain,kbet668[.]com,suspicious,2024-02-19
domain,obbet1628[.]com,suspicious,2024-02-19
domain,w5553[.]vip,suspicious,2023-07-21
domain,w5553[.]vip,suspicious,2023-07-21
domain,yabo1898[.]com,suspicious,2024-07-19
domain,yabo1993[.]com,suspicious,2024-07-19
domain,yb1444[.]com,suspicious,2024-07-19
domain,yibo898[.]com,suspicious,2024-07-19
domain,8279[.]hk,suspicious,2024-07-19
domain,baibo[.]com,suspicious,2024-02-19
domain,baibo55[.]com,suspicious,2024-02-19
domain,hth67888[.]com,suspicious,2024-07-19
domain,kb1009[.]vip,suspicious,2023-07-09
domain,kb643[.]vip,suspicious,2024-07-19
domain,kyty6[.]com,suspicious,2024-02-19
domain,kyty77[.]com,suspicious,2024-02-19
domain,ob5725[.]com,suspicious,2024-02-19
domain,ob5727[.]com,suspicious,2024-02-19
domain,yabo1218[.]com,suspicious,2024-07-19
