type,indicator,classification,references
domain,smsw1[.]xyz,smishing,
domain,mfso1[.]xyz,smishing,
domain,pely2[.]xyz,smishing,
domain,wtwx2[.]xyz,smishing,
domain,khed3[.]xyz,smishing,
domain,mgdi3[.]xyz,smishing,
domain,laea4[.]xyz,smishing,
domain,omyq4[.]xyz,smishing,
domain,qyef5[.]xyz,smishing,
domain,idvk5[.]xyz,smishing,
domain,dqvy6[.]xyz,smishing,
domain,dnmc6[.]xyz,smishing,
domain,igtf7[.]xyz,smishing,
domain,kiwv7[.]xyz,smishing,
domain,jjao8[.]xyz,smishing,
domain,kvde8[.]xyz,smishing,
domain,okil9[.]xyz,smishing,
domain,harn9[.]xyz,smishing,
domain,nill10[.]xyz,smishing,
domain,ulht10[.]xyz,smishing,
domain,nijf11[.]xyz,smishing,
domain,qgjt11[.]xyz,smishing,
domain,hcip12[.]xyz,smishing,
domain,jcal12[.]xyz,smishing,
domain,rezb13[.]xyz,smishing,
domain,tslz13[.]xyz,smishing,
domain,hlns14[.]xyz,smishing,
domain,izhm14[.]xyz,smishing,
domain,bgfv15[.]xyz,smishing,
domain,jbeq15[.]xyz,smishing,
domain,mbdq16[.]xyz,smishing,
domain,acgv16[.]xyz,smishing,
domain,nkeh17[.]xyz,smishing,
domain,wzae17[.]xyz,smishing,
domain,rtpe18[.]xyz,smishing,
domain,yhan18[.]xyz,smishing,
domain,yamn19[.]xyz,smishing,
domain,sjwf19[.]xyz,smishing,
domain,zdip20[.]xyz,smishing,
domain,culs20[.]xyz,smishing,
domain,ezks21[.]xyz,smishing,
domain,ysfz21[.]xyz,smishing,
domain,cmrc22[.]xyz,smishing,
domain,vuau22[.]xyz,smishing,
domain,jqiz23[.]xyz,smishing,
domain,hadq23[.]xyz,smishing,
domain,ixyv24[.]xyz,smishing,
domain,lhkp24[.]xyz,smishing,
domain,hpfd25[.]xyz,smishing,
domain,vjhk25[.]xyz,smishing,
domain,uyqb26[.]xyz,smishing,
domain,chkn26[.]xyz,smishing,
domain,aust27[.]xyz,smishing,
domain,ltsg27[.]xyz,smishing,
domain,lcsh28[.]xyz,smishing,
domain,aqfo28[.]xyz,smishing,
domain,erae29[.]xyz,smishing,
domain,mgjg29[.]xyz,smishing,
domain,ithn30[.]xyz,smishing,
domain,qinh30[.]xyz,smishing,
domain,mszp31[.]xyz,smishing,
domain,pomz31[.]xyz,smishing,
domain,ciww32[.]xyz,smishing,
domain,nooa32[.]xyz,smishing,
domain,mvfe33[.]xyz,smishing,
domain,zmtt33[.]xyz,smishing,
domain,jzwc34[.]xyz,smishing,
domain,ktfu34[.]xyz,smishing,
domain,opdb35[.]xyz,smishing,
domain,rrhn35[.]xyz,smishing,
domain,gptp36[.]xyz,smishing,
domain,dtus36[.]xyz,smishing,
domain,qjag37[.]xyz,smishing,
domain,swbt37[.]xyz,smishing,
domain,upah38[.]xyz,smishing,
domain,ixbc38[.]xyz,smishing,
domain,qfac39[.]xyz,smishing,
domain,xifj39[.]xyz,smishing,
domain,aped40[.]xyz,smishing,
domain,jaig40[.]xyz,smishing,
domain,ckex41[.]xyz,smishing,
domain,wgrp41[.]xyz,smishing,
domain,hegz42[.]xyz,smishing,
domain,ciuu42[.]xyz,smishing,
domain,lawn43[.]xyz,smishing,
domain,zoqw43[.]xyz,smishing,
domain,zcyj44[.]xyz,smishing,
domain,qbas44[.]xyz,smishing,
domain,usha45[.]xyz,smishing,
domain,zvlg45[.]xyz,smishing,
domain,zlxg46[.]xyz,smishing,
domain,qhrq46[.]xyz,smishing,
domain,fuir47[.]xyz,smishing,
domain,ixsf47[.]xyz,smishing,
domain,vtpf48[.]xyz,smishing,
domain,ejia48[.]xyz,smishing,
domain,pvut49[.]xyz,smishing,
domain,sgqz49[.]xyz,smishing,
domain,glju50[.]xyz,smishing,
domain,zmxu50[.]xyz,smishing,
domain,hggq1[.]xyz,smishing,
domain,wkcq2[.]xyz,smishing,
domain,vfar3[.]xyz,smishing,
domain,svgd4[.]xyz,smishing,
domain,fgoy5[.]xyz,smishing,
domain,gvhj6[.]xyz,smishing,
domain,bepf7[.]xyz,smishing,
domain,vkri8[.]xyz,smishing,
domain,eknz9[.]xyz,smishing,
domain,mslx10[.]xyz,smishing,
domain,dfys11[.]xyz,smishing,
domain,djzy12[.]xyz,smishing,
domain,gytr13[.]xyz,smishing,
domain,qhdd14[.]xyz,smishing,
domain,sbqs15[.]xyz,smishing,
domain,pmlx16[.]xyz,smishing,
domain,iphk17[.]xyz,smishing,
domain,opqk18[.]xyz,smishing,
domain,ntfr19[.]xyz,smishing,
domain,cvwm20[.]xyz,smishing,
domain,wtmz1[.]xyz,smishing,
domain,xwjv1[.]xyz,smishing,
domain,nyxk2[.]xyz,smishing,
domain,pwnx2[.]xyz,smishing,
domain,dbmy3[.]xyz,smishing,
domain,nvso4[.]xyz,smishing,
domain,vooy4[.]xyz,smishing,
domain,hzkr5[.]xyz,smishing,
domain,gddr6[.]xyz,smishing,
domain,hhjx7[.]xyz,smishing,
domain,shcw7[.]xyz,smishing,
domain,oxwe8[.]xyz,smishing,
domain,rpws8[.]xyz,smishing,
domain,aqsz9[.]xyz,smishing,
domain,ijph9[.]xyz,smishing,
domain,sqyc10[.]xyz,smishing,
domain,wszd10[.]xyz,smishing,
domain,cegs11[.]xyz,smishing,
domain,odkp11[.]xyz,smishing,
domain,gshu12[.]xyz,smishing,
domain,tfll12[.]xyz,smishing,
domain,dysj13[.]xyz,smishing,
domain,tbsb13[.]xyz,smishing,
domain,ccpt14[.]xyz,smishing,
domain,oyfn14[.]xyz,smishing,
domain,fgvz15[.]xyz,smishing,
domain,hquu15[.]xyz,smishing,
domain,jenh16[.]xyz,smishing,
domain,nrfe16[.]xyz,smishing,
domain,fjow17[.]xyz,smishing,
domain,flgk17[.]xyz,smishing,
domain,anwa18[.]xyz,smishing,
domain,dtxp18[.]xyz,smishing,
domain,inen19[.]xyz,smishing,
domain,ozhn19[.]xyz,smishing,
domain,avyc20[.]xyz,smishing,
domain,oifc21[.]xyz,smishing,
domain,ukuu21[.]xyz,smishing,
domain,dcdh22[.]xyz,smishing,
domain,htur22[.]xyz,smishing,
domain,ohmv23[.]xyz,smishing,
domain,qflr24[.]xyz,smishing,
domain,xnrh24[.]xyz,smishing,
domain,snqu25[.]xyz,smishing,
domain,hklk26[.]xyz,smishing,
domain,vqsr26[.]xyz,smishing,
domain,ahct27[.]xyz,smishing,
domain,umlp27[.]xyz,smishing,
domain,kdvi28[.]xyz,smishing,
domain,xuuv28[.]xyz,smishing,
domain,lefx29[.]xyz,smishing,
domain,atsk30[.]xyz,smishing,
domain,vflu31[.]xyz,smishing,
domain,zhnv32[.]xyz,smishing,
domain,xdhh33[.]xyz,smishing,
domain,refp34[.]xyz,smishing,
domain,rczt35[.]xyz,smishing,
domain,gxkk36[.]xyz,smishing,
domain,gmec37[.]xyz,smishing,
domain,ahur38[.]xyz,smishing,
domain,asqb39[.]xyz,smishing,
domain,bjas40[.]xyz,smishing,
domain,jnmj41[.]xyz,smishing,
domain,mfis42[.]xyz,smishing,
domain,tyer43[.]xyz,smishing,
domain,spmu44[.]xyz,smishing,
domain,bxqi45[.]xyz,smishing,
domain,islf46[.]xyz,smishing,
domain,gjdl47[.]xyz,smishing,
domain,ztib48[.]xyz,smishing,
domain,ytqk49[.]xyz,smishing,
domain,cepf50[.]xyz,smishing,
domain,kcap51[.]xyz,smishing,
domain,dfeo52[.]xyz,smishing,
domain,lcrn53[.]xyz,smishing,
domain,tgav54[.]xyz,smishing,
domain,sctn56[.]xyz,smishing,
domain,cfzb57[.]xyz,smishing,
domain,lpdl60[.]xyz,smishing,
domain,bikm61[.]xyz,smishing,
domain,doif62[.]xyz,smishing,
domain,ovel63[.]xyz,smishing,
domain,bkhr64[.]xyz,smishing,
domain,vhjp65[.]xyz,smishing,
domain,guxv66[.]xyz,smishing,
domain,qgud67[.]xyz,smishing,
domain,ngkl68[.]xyz,smishing,
