type,indicator,classification,references
domain,yikilanbinalar.com.tr,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,enkazbildirim.org,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,howtohelpturkey-syriaearthquakevictims.org,legitimate,
domain,hepsiemlak.com,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,kizilay.org.tr,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,misafirimol.trair.com.tr,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,depremihtiyac.com,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,akut.org.tr,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,adresdeprem.com,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,earthquaketurkey.com,legitimate,
domain,depremyardim.com,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,ahbap.org,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,yakinimibul.net,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,afad.gov.tr,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,magdur.com,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,deprem.basarsoft.com.tr,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,ihtiyacharitasi.org,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,beniyiyim.com,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,jotform.com,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,afetharita.com,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,stream.epctex.com,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,afetbilgi.com,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,deprem.io,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
domain,depremyardim.org,legitimate,https://github.com/SOCRadar/TurkeyEarthquakeIntel/blob/main/TrustedList.txt
