"type","indicator","classification","references"
"domain","007-service-ua[.]site","phishing","Iris search: U2FsdGVkX19fCcXlzseNw4IfOkzqBKkAiPoedUicb/AYoq+UvFwM2qbr9fox6DVN6dIqabSixoaFQ4OoyHultJiIemRWuhL++Ec8B6pt5GAridYwOdZlA5mAs9chnk6khJ0Xmrd9sdkgj7ryW89f1qbA4AfsnXl6gRLdotM1fSHIxT8RxuiSoWk9bpej9OHQE03mGQEVpQsToEtxNwNjQlJOUN5okeG6MO2yaZQCbk/ULbTbjuyCybWLVCO6uCrlBPMcp2trq0KwfHAHhyoxWbCBVBXtyeDg4mFk3Z+3K7OytyXqKq90EXbzEz/zvmnERMBhMDFF7OXobE563xusxwunOl+kWspp0V2weo6C9MT6XHwob33HCcMTGNYqaEv0vGe36XFMQa5h+R5QI3Y5YWMp3B8P6ETeGwiGH85VIARi/JB0nTbOwF/QMPGWeJTbBRwjhf8E3R2qTeX50FK9zjFL8HcnQczFuxy9Gyku24z/h6AiArp4mwNWqh5fSFe2ngeu04I+d4OEnf9uSPGh75q6dpTmXLCmXtFuqhuimcGsNnJsdcjk2EuQm8f/n8Wqj9wpJL/VGwKbdEVdCnglo28iJx4jv0EH5hqP8LKb/1rFvZVle13A2SzT+f07mqK+/RAw8GbHX/pyktmWnMyqmC002daPQvBUxCmGe4jqOjPBrecyHvmk+uWFXOpi6DH/7RWZdiUiak1t5gtIGqaFHHyOzvB9lUXF0E7bPZaSKiZ7tv/Cn6wXkZQR5EwBVSBzDDxFJQZ/L8SuM2AplQS96iENe2vbPjmbkgNcLpTb6NYWcLJtm9MiXdoogYyl9n4n"
"domain","1-helpukrainejews[.]faireee[.]com","phishing","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/ukrainian-support-fraud/"
"domain","101food-ukraine[.]com","parked",""
"domain","10[.]slaveukrain[.]cc","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","10forukraine[.]org","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","112ukraine[.]rulife[.]info","suspicious","https://urlscan.io/result/05db8060-9ca1-4570-9e9c-e0cb8254e607/"
"domain","11[.]slaveukrain[.]cc","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","1[.]slaveukrain[.]cc","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","1violettepourlukraine[.]fr","parked",""
"domain","200rfukraine[.]com","parked","https://urlscan.io/result/b2a6b6b2-46b9-4c18-bfcc-6784a4888ee3/"
"domain","2402helpukraine[.]in[.]ua","suspicious","https://urlscan.io/result/8206fb8e-bdf9-4f4e-9ace-733a370d15c3/"
"domain","2[.]slaveukrain[.]cc","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","365ukrainenews[.]com","unavailable",""
"domain","3ywg4544y3[.]xyz","malware",""
"domain","4-ukraine[.]com","phishing",""
"domain","4-ukraine[.]eu","parked",""
"domain","4464u4jhw4[.]xyz","malware",""
"domain","487jw34e[.]xyz","malware",""
"domain","4ukraine[.]net","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","4x4s4ukraine[.]net","parked",""
"domain","789o8lm[.]xyz","malware",""
"domain","Sortie-Crise-Economique-Ukraine[.]com","phishing","https://whois.domaintools.com/sortie-crise-economique-ukraine.com 

https://www.economie.gouv.fr/ukraine-soutiens-entreprises-francaises-impactees-economiquement#
"
"domain","_bimi[.]godsafeukraine[.]com","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","_dmarc[.]godsafeukraine[.]com","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
